 	papa	m'	a	déjà	donné	de	l'	argent	</S>
d	0.852733	0.133437	0.00906521	0.00050181	0.000962437	0.000938287	0.00221836	5.35132e-05	9.00424e-05
a	0.992101	0.00504975	0.000713037	9.87401e-05	0.000324807	0.000531771	0.000349704	0.000267217	0.00056429
a	0.980262	0.0145012	0.00315164	0.000799384	0.000395232	0.000290553	0.000169764	0.000126991	0.000303072
d	0.826652	0.0473343	0.0557433	0.0178561	0.00584034	0.00419939	0.00101376	0.000113148	0.0412475
á	0.811127	0.064841	0.0240042	0.00224399	0.00413426	0.00668546	0.00445058	0.00489848	0.0776152
á	0.139378	0.273834	0.368263	0.0847687	0.0177664	0.00845858	0.00632262	0.000547826	0.10066
m	0.0119829	0.0483594	0.277852	0.525279	0.103707	0.0162112	0.00527133	0.000951809	0.0103855
i	0.00934813	0.251022	0.271412	0.421288	0.0202993	0.0128399	0.00370366	0.0026945	0.00739242
s	0.00153555	0.00251156	0.0740263	0.82256	0.0843373	0.00891739	0.00104387	0.000307991	0.00475962
í	0.0260129	0.00735316	0.0616622	0.794684	0.0717158	0.0212016	0.00273124	0.00273092	0.0119087
á	0.0298981	0.0569936	0.170945	0.45341	0.0718257	0.028504	0.01688	0.00347762	0.168066
o	0.0049654	0.0771646	0.244303	0.14107	0.30718	0.0900202	0.0956074	0.0219954	0.0176941
p	0.0206787	0.00158043	0.00790212	0.160004	0.486958	0.231451	0.0120267	0.0702361	0.00916311
έ	0.000633064	0.000494479	0.00729132	0.0593928	0.514493	0.323031	0.0265378	0.0294041	0.0387223
n	0.0187054	0.0521558	0.117183	0.0393918	0.290616	0.203518	0.066732	0.0305904	0.181108
g	0.00694257	0.0823887	0.0819872	0.058274	0.308813	0.176597	0.0867671	0.0261994	0.172031
á	0.018206	0.325811	0.0863782	0.0131332	0.0633327	0.055194	0.0857158	0.13251	0.219718
m	0.00222106	0.00467125	0.00732866	0.00375723	0.0590708	0.258738	0.335994	0.203496	0.124723
b	0.00371638	0.0269878	0.0041423	0.000918351	0.00316934	0.0663433	0.158576	0.519603	0.216543
ó	9.13565e-05	0.00130269	0.000117772	5.88947e-05	0.00067563	0.0196548	0.0200547	0.947447	0.0105969
n	0.000598934	0.00233222	0.00771468	0.00516543	0.0148057	0.0705431	0.05074	0.788906	0.0591944
g	0.0134099	0.00958839	0.0132489	0.00223984	0.0262081	0.120599	0.172	0.445281	0.197426
ω	0.000501364	0.0199866	0.00551422	0.000375216	0.0087111	0.0214069	0.0422493	0.838401	0.062854
</S>	0.00088351	0.00509007	0.040217	0.00785385	0.0482479	0.0856772	0.224751	0.0985512	0.488729
