 	ta	femme	est	en	train	de	ligoter	des	fagots	de	bois	</S>
n	0.604501	0.0952227	0.052273	0.118719	0.0326433	0.0148474	0.015337	0.039418	0.0117235	0.0125341	0.00123093	0.00154953
ω	0.914721	0.0796667	0.00195524	0.00201892	1.02625e-05	0.000199116	0.000253158	0.000274713	0.000546008	0.000263187	8.25855e-05	9.09934e-06
m	0.140188	0.80627	0.0209768	0.0190969	0.00303168	0.000960114	0.0035081	0.000266714	0.0013315	0.000313767	0.00368118	0.00037502
w	0.00955888	0.582209	0.0869779	0.099503	0.0406167	0.144068	0.00981214	0.00942902	0.000782636	0.00133916	0.00272255	0.012981
á	0.00514262	0.326962	0.385991	0.10365	0.00388553	0.0852501	0.0685267	0.0124795	0.000549776	0.000853559	0.00246275	0.00424613
s	0.325162	0.0883827	0.158395	0.235788	0.0513087	0.0556203	0.00727996	0.0311095	0.000160014	0.0068471	0.000932325	0.0390148
í	0.230126	0.486078	0.0896975	0.0420045	0.00560066	0.0199697	0.0385945	0.011657	0.00502585	0.00404061	0.00675893	0.0604464
b	0.279706	0.017661	0.201251	0.291677	0.0728817	0.0823386	0.0120441	0.0245421	0.00213172	0.00606701	0.0010586	0.00864149
ó	0.0888878	0.0119002	0.184627	0.245831	0.121012	0.278527	0.00898861	0.0344445	0.00153077	0.00986034	0.00413001	0.0102617
l	0.2132	0.0118031	0.0613334	0.265705	0.130375	0.11335	0.020679	0.110583	0.024703	0.0278565	0.00450054	0.0159119
á	0.388448	0.00307827	0.0696248	0.0618617	0.0191797	0.105113	0.0728987	0.130729	0.0158114	0.0263172	0.0116023	0.0953362
a	0.246465	0.0182218	0.198868	0.115739	0.091804	0.164081	0.114338	0.0293591	0.00403934	0.00335259	0.00277368	0.0109584
k	0.0501295	0.0249492	0.0972266	0.0168315	0.00209871	0.156053	0.5637	0.0202215	0.05239	0.00152721	0.00967141	0.00520107
a	0.000141368	0.000305894	0.0164214	0.00369414	0.000351225	0.0362994	0.91295	0.0168726	0.00449089	0.00101822	0.00286853	0.00458678
n	7.18936e-05	0.000317428	0.0135571	0.00293476	0.00115735	0.0205489	0.931757	0.00903786	0.0104326	0.000463663	0.0019452	0.00777584
g	0.000387309	0.000141744	0.0250392	0.00539945	0.000535129	0.148406	0.681251	0.100808	0.00958295	0.00474912	0.0037528	0.0199478
á	0.000332789	9.3535e-05	0.0267573	0.0549068	0.00823753	0.259941	0.155233	0.282873	0.00914751	0.0290653	0.011158	0.162254
á	0.00224975	3.85033e-05	0.00513841	0.00796311	0.000879293	0.0300469	0.0153594	0.455099	0.269427	0.165808	0.0385708	0.00942089
k	0.00566072	0.00028019	0.00396545	0.00294783	0.000174884	0.00964492	0.00596113	0.135888	0.352162	0.357106	0.106835	0.0193737
ó	0.00195126	5.60451e-05	0.0154153	0.00348707	0.000876688	0.00491632	0.0710702	0.0363932	0.126841	0.0338933	0.628198	0.076902
n	0.000236271	1.38495e-05	0.0121943	0.0138576	0.00818341	0.0101184	0.0317313	0.0436799	0.303122	0.0265036	0.486799	0.0635599
y	0.000364851	5.90961e-05	0.00715599	0.00738558	0.00241145	0.0122466	0.0751753	0.0575633	0.358284	0.125647	0.246763	0.106944
í	0.000204716	2.84455e-05	0.00413069	0.00162664	0.000107972	0.00303165	0.0108192	0.0145031	0.242045	0.0963374	0.391986	0.235179
</S>	0.00300036	2.51121e-05	0.00339253	0.00597587	0.00125023	0.00602382	0.00208237	0.0442769	0.0440722	0.315904	0.14701	0.426986
