 	nous	sommes	en	train	de	causer	sous	le	manguier	</S>
b	0.599813	0.331344	0.0403893	0.0078546	0.00624239	0.000375486	0.00277867	0.0057264	0.00531734	0.000159017
í	0.874151	0.027122	0.0339009	0.0595741	0.0011636	0.000854286	0.000226651	0.00220145	0.00072238	8.3774e-05
s	0.910507	0.0437207	0.0354628	0.00997198	5.83917e-05	0.000118765	1.77048e-05	3.08811e-05	0.000107374	3.94671e-06
í	0.142197	0.621628	0.146313	0.0339495	0.00150331	0.00204662	0.00154366	0.00364887	0.0429625	0.00420818
b	0.0121233	0.231287	0.439051	0.13469	0.0173958	0.0189221	0.00384058	0.00226494	0.00198174	0.138444
ó	0.00750865	0.148196	0.330352	0.105571	0.0658044	0.0157666	0.047858	0.120563	0.0435638	0.114816
l	0.00731022	0.0755493	0.360039	0.30477	0.153427	0.0348553	0.00592113	0.0106968	0.00695203	0.040479
é	0.00478815	0.046049	0.134027	0.139757	0.31473	0.0622728	0.0806825	0.0450755	0.0905278	0.0820906
e	0.00245337	0.0165046	0.0662848	0.162574	0.447453	0.267854	0.0148552	0.00573995	0.00816847	0.00811129
m	0.000238969	0.00315201	0.0103039	0.0155433	0.323681	0.622687	0.0116963	0.00242276	0.00304958	0.00722564
ω	0.000157173	0.00143677	0.00338792	0.00487496	0.044452	0.910379	0.0197085	0.0071563	0.00570335	0.00274447
ώ	1.85407e-05	0.000329042	0.000827599	0.000410134	0.065814	0.892466	0.0266359	0.00424743	0.00106659	0.00818442
ó	4.84085e-05	0.000549868	0.00250108	0.000637428	0.0673824	0.161935	0.514858	0.190702	0.00983278	0.0515524
t	2.49895e-05	0.000732349	0.00238355	0.00179196	0.0117698	0.134402	0.610689	0.0737732	0.157956	0.00647675
s	0.000224123	0.00504936	0.00672155	0.00353292	0.0221558	0.0983366	0.788977	0.0301538	0.01896	0.025889
é	8.97802e-05	0.00266473	0.00386054	0.00156613	0.00543968	0.0163939	0.935729	0.0222962	0.0058788	0.00608071
y	0.00102014	0.00107825	0.00156118	0.000754853	0.00264729	0.00548541	0.645784	0.100379	0.0372004	0.20409
ó	0.000111481	0.00175872	0.00191016	0.000405498	0.00501416	0.0116418	0.321823	0.371236	0.129239	0.15686
m	0.000820746	0.000394437	0.000790021	0.000536758	0.00158694	0.00129648	0.0628932	0.377745	0.517491	0.0364459
b	0.00109453	7.68807e-05	4.63958e-05	8.59296e-05	0.000107862	0.000963406	0.00399781	0.0621781	0.916521	0.0149282
á	0.000120684	7.99506e-06	3.64858e-06	9.98091e-05	3.32017e-06	0.000197286	0.000921097	0.00142899	0.996147	0.00107012
n	0.000843122	7.45064e-05	7.11551e-05	0.000248673	4.42284e-05	0.000282984	0.00582443	0.0298819	0.948066	0.0146635
g	0.000594743	0.00495396	0.00300534	0.0025466	0.00226687	0.00401645	0.0216132	0.132483	0.788485	0.0400349
é	9.02955e-05	6.77407e-05	2.05906e-05	8.01848e-05	4.24598e-05	0.000290821	0.00174083	0.0107287	0.927495	0.0594431
</S>	9.28192e-05	0.000337857	0.000492898	0.000230482	0.00197256	0.00190731	0.0230428	0.137214	0.196235	0.638474
