 	le	footballeur	a	beaucoup	transpiré	</S>
o	0.912339	0.0545789	0.0179822	0.0130358	0.00146562	0.000598816
b	0.0238608	0.961848	0.00447175	0.00210451	0.00687149	0.000843109
έ	0.00380526	0.987104	0.00172878	0.00265669	0.00334164	0.00136328
r	0.047343	0.750552	0.067609	0.0614749	0.0264348	0.0465867
i	0.399998	0.168921	0.0757531	0.116646	0.118759	0.119923
d	0.548145	0.0375742	0.150851	0.080799	0.0304213	0.152209
i	0.681199	0.022994	0.0536654	0.0651057	0.0146156	0.162421
n	0.554263	0.00821687	0.145336	0.148023	0.0226192	0.121542
g	0.684359	0.0121498	0.047862	0.106323	0.0122263	0.13708
a	0.26351	0.313339	0.15307	0.109027	0.019552	0.141501
l	0.128388	0.0766345	0.241572	0.279287	0.0899816	0.184136
í	0.164339	0.0802013	0.344354	0.122728	0.0875701	0.200807
m	0.130315	0.00873034	0.259098	0.324695	0.221686	0.0554763
b	0.271407	0.00421235	0.311722	0.335811	0.0341168	0.0427306
ώ	0.0166677	0.00570799	0.413329	0.308192	0.0941212	0.161982
n	0.0372007	0.0074623	0.632241	0.26618	0.00995146	0.046965
d	0.0314656	0.0208796	0.440761	0.309554	0.0568094	0.14053
ώ	0.0301928	0.0201337	0.356484	0.32913	0.128008	0.136051
á	0.0239777	0.00542682	0.270884	0.471863	0.174061	0.0537871
m	0.0056454	0.00394747	0.251191	0.50333	0.118197	0.117689
i	0.00639599	0.000483327	0.232434	0.467128	0.0382136	0.255345
p	0.0034926	0.00169949	0.105632	0.35273	0.191656	0.34479
ω	0.000233975	0.00291459	0.0376414	0.141687	0.680626	0.136898
m	0.000824265	0.00487482	0.0557128	0.103631	0.74077	0.0941872
ω	0.000492411	4.00295e-05	0.022019	0.073314	0.569313	0.334822
n	0.00276792	5.58753e-05	0.072413	0.331569	0.175961	0.417233
d	0.0103813	0.00501693	0.0460319	0.274122	0.274798	0.38965
é	0.0021016	0.000887451	0.00403788	0.0484754	0.192152	0.752346
n	0.00114078	0.00127417	0.0518608	0.261865	0.149976	0.533883
g	0.00518068	0.00471003	0.0246835	0.154208	0.18323	0.627989
é	0.00588561	0.00278984	0.00859056	0.0694857	0.367558	0.54569
é	0.00539161	0.000252364	0.0304973	0.161009	0.114787	0.688063
t	0.00853667	0.00111582	0.0939055	0.194247	0.0817839	0.620412
s	0.00109794	0.00154438	0.0277832	0.165616	0.32878	0.475178
ω	0.0030755	0.00118909	0.0158352	0.19717	0.346911	0.435819
</S>	0.00644492	0.000858387	0.0167886	0.161024	0.0950499	0.719834
