 	attention	à	ce	que	tu	fais	</S>
ω	0.425878	0.479527	0.0552042	0.0220804	0.0145552	0.00213438	0.000621241
b	0.222244	0.659514	0.0604881	0.0158179	0.00416074	0.0192821	0.0184938
á	0.098014	0.788762	0.0294381	0.0513726	0.00234789	0.0204079	0.00965749
r	0.0741337	0.545352	0.0582838	0.071194	0.00648092	0.0537459	0.19081
a	0.477423	0.408515	0.0364973	0.0275856	0.00636518	0.00608415	0.03753
a	0.44604	0.362457	0.115339	0.046095	0.013677	0.00523599	0.0111562
l	0.0761349	0.156965	0.224079	0.208525	0.0852115	0.0684607	0.180623
á	0.0336868	0.0772662	0.17874	0.153838	0.0569244	0.0627085	0.436835
n	0.127749	0.0854662	0.353126	0.180185	0.19172	0.0178645	0.0438899
ω	0.014596	0.0169304	0.0538318	0.0681735	0.832246	0.00950734	0.00471538
m	0.0406506	0.0721914	0.280659	0.279826	0.199675	0.0403114	0.0866873
ó	0.0809075	0.189837	0.544072	0.056355	0.00375293	0.0149254	0.11015
y	0.11096	0.0904659	0.407092	0.21636	0.0470743	0.0937918	0.0342561
έ	0.0167168	0.0678708	0.390366	0.182491	0.0550805	0.265288	0.022187
έ	0.00680596	0.0261371	0.420557	0.234221	0.0862533	0.128366	0.0976599
k	0.00143441	0.00547994	0.0329504	0.0745528	0.0483367	0.692008	0.145237
y	0.00240687	0.00295304	0.00650273	0.0801555	0.0136836	0.637683	0.256616
á	0.00662867	0.00609807	0.0208491	0.152464	0.053153	0.501012	0.259795
n	0.00230796	0.00934251	0.0414198	0.112606	0.132186	0.334393	0.367745
ω	0.00234854	0.00751615	0.0151218	0.0828896	0.576629	0.147736	0.167758
</S>	0.00243359	0.00469321	0.0429507	0.0774197	0.0747819	0.102268	0.695453
