 	il	n'	a	pas	d'	amour	pour	ses	enfants	</S>
p	0.229358	0.0787786	0.0553627	0.0398974	0.0552164	0.107505	0.226378	0.198118	0.007346	0.00204009
ó	0.117457	0.060137	0.0349905	0.0502881	0.0810936	0.133117	0.248863	0.173949	0.0757017	0.0244026
s	0.028472	0.151341	0.084932	0.0311641	0.0214899	0.0461004	0.0314507	0.0172006	0.0119158	0.575934
á	0.00826243	0.0424473	0.029494	0.0401652	0.0411995	0.103385	0.22772	0.0992484	0.0301672	0.377911
y	0.2353	0.0453125	0.0501349	0.0251475	0.0273608	0.080373	0.075126	0.202616	0.163382	0.0952468
á	0.124004	0.261084	0.159182	0.0260927	0.025361	0.125514	0.0234214	0.0347389	0.00943776	0.211165
b	0.243753	0.0166826	0.0343936	0.0144322	0.0138263	0.0423107	0.0298706	0.177015	0.403497	0.02422
á	0.0359211	0.00175765	0.00181132	0.000740138	0.000863251	0.000328805	0.00894534	0.047725	0.900556	0.00135143
n	0.0285579	0.0045351	0.00845546	0.00796207	0.00789833	0.00186301	0.0273674	0.106424	0.793869	0.0130681
a	0.115583	0.0148123	0.0533947	0.0242925	0.0201422	0.00473886	0.0280046	0.0785227	0.566596	0.0939129
é	0.01758	0.0975369	0.164222	0.0997264	0.11342	0.177692	0.143076	0.130416	0.0237549	0.0325758
d	0.00511759	0.0432676	0.163444	0.252622	0.158459	0.141368	0.0682677	0.0691956	0.0155487	0.0827097
í	0.000190555	0.00454216	0.0194579	0.0619417	0.0719594	0.101594	0.0478698	0.025249	0.00192705	0.665269
l	0.00129786	0.0052352	0.0308175	0.103121	0.140542	0.228439	0.0898207	0.100387	0.013825	0.286515
a	0.00364097	0.0167483	0.0347674	0.0542857	0.0707251	0.0650383	0.0541761	0.0981712	0.0298411	0.572606
w	0.00267255	0.00271149	0.0058652	0.0137423	0.0374842	0.072683	0.102112	0.120322	0.507743	0.134664
á	0.00415519	0.00357492	0.00624494	0.0113136	0.013219	0.00659414	0.0380919	0.200812	0.657417	0.0585778
k	0.0039925	0.00159838	0.00625467	0.0114475	0.0224325	0.0133305	0.0575134	0.0877495	0.270957	0.524724
a	0.000279508	0.000397447	0.00103496	0.00759068	0.0119451	0.00996218	0.0458313	0.120793	0.625332	0.176834
á	3.42237e-05	0.000300998	0.000755981	0.0048041	0.00725505	0.00695806	0.0346881	0.0564571	0.132945	0.755801
</S>	0.00528524	0.0157502	0.0377759	0.0306214	0.0286639	0.0191508	0.0301955	0.0797939	0.0234486	0.729315
