 	leur	père	a	porté	un	cache-sexe	</S>
t	0.352939	0.614501	0.0236028	0.00251467	0.00538704	0.000908251	0.000147037
á	0.455122	0.447528	0.0346658	0.00795993	0.0280889	0.0204928	0.00614254
á	0.194953	0.5653	0.0752132	0.027693	0.0233543	0.044792	0.0686951
y	0.664778	0.17269	0.0796277	0.0123172	0.00724428	0.00295248	0.0603901
a	0.186126	0.422845	0.101816	0.0221506	0.0241486	0.104147	0.138767
b	0.850122	0.0300418	0.0409948	0.00965037	0.00469724	0.027807	0.036687
á	0.964803	0.025933	0.00657579	0.000701557	0.000810596	0.000437222	0.00073923
a	0.986195	0.00702372	0.00363525	0.000645451	0.000573789	0.000628426	0.00129807
á	0.0296334	0.0715111	0.698325	0.100317	0.0480582	0.0050375	0.0471186
m	0.00166922	0.04729	0.257398	0.638774	0.0332461	0.0022422	0.0193811
i	0.00102697	0.00601912	0.204004	0.445747	0.29844	0.00592617	0.0388362
l	6.02779e-05	0.00325195	0.0517242	0.867964	0.056482	0.00443313	0.0160843
á	0.00039792	0.00711255	0.0223506	0.890147	0.0420648	0.00525117	0.032676
r	0.0142367	0.0266416	0.232418	0.445292	0.164013	0.0346878	0.0827113
á	0.0941294	0.0764764	0.124585	0.114815	0.199669	0.269275	0.121051
l	0.00918392	0.00970242	0.12697	0.0511237	0.533345	0.243014	0.0266604
e	0.0178778	0.00833745	0.0363354	0.0476788	0.287046	0.512451	0.0902732
n	0.003459	0.00405599	0.028486	0.0458359	0.290256	0.4949	0.133007
g	0.00410466	0.000406537	0.00375733	0.03729	0.151284	0.72991	0.073247
w	0.00208969	0.000400359	0.00548324	0.0155463	0.0468506	0.877463	0.0521667
á	0.000238521	0.000267457	0.000931821	0.00460936	0.0629114	0.860188	0.0708535
n	0.00110477	0.00167561	0.0111254	0.0180039	0.108081	0.136062	0.723948
d	0.000445321	0.000501419	0.00395817	0.0143149	0.0722509	0.467746	0.440783
a	0.000414049	0.000371656	0.00280139	0.018982	0.0407468	0.304781	0.631903
</S>	0.000950584	0.00313761	0.0416147	0.0891873	0.11832	0.0870241	0.659766
