 	il	faut	te	couvrir	avec	un	pagne	quand	il	fait	froid	</S>
n	0.600762	0.365363	0.00521909	0.00765345	0.0041098	0.0092744	0.00589382	0.000926291	0.000252301	0.000332009	0.000163924	4.9825e-05
ω	0.198701	0.411873	0.366999	0.00346351	0.00823479	0.00992415	0.000338204	0.00013739	4.62771e-05	0.000207914	5.2317e-05	2.21071e-05
k	0.178452	0.686164	0.0753921	0.0227747	0.0193413	0.0126425	0.00327734	0.000983668	0.000361094	0.00045797	4.08035e-05	0.000112696
á	0.21194	0.225521	0.0273921	0.105744	0.0367686	0.0384395	0.0723085	0.0912208	0.135499	0.0147276	0.0084895	0.0319498
a	0.157182	0.192454	0.0723291	0.173255	0.0587713	0.0317239	0.0187263	0.0279295	0.0735041	0.0439511	0.0342379	0.115936
l	0.0388152	0.0553832	0.419527	0.325198	0.0628981	0.0227401	0.0104841	0.0141791	0.0109588	0.0113091	0.00269999	0.0258076
ó	0.0149263	0.0125888	0.171184	0.240195	0.203697	0.102356	0.0394614	0.0364135	0.0432185	0.0380027	0.00101531	0.0969414
o	0.206138	0.0585039	0.173172	0.0910173	0.163629	0.142674	0.0874024	0.0349234	0.0119806	0.00540284	0.000721087	0.0244349
f	0.000362618	0.000475566	0.00911685	0.387177	0.349255	0.104427	0.131119	0.0102301	0.00207262	0.00164671	0.00158045	0.00253589
ú	0.000166808	0.000530386	0.000708845	0.171793	0.10234	0.101156	0.578688	0.0277795	0.00647162	0.00265206	0.0030326	0.00468093
á	0.000268847	0.0020964	0.00173386	0.166004	0.145147	0.156419	0.498674	0.0103311	0.00242968	0.00182605	0.00163916	0.0134314
i	0.00105878	0.000558307	0.0535882	0.0441038	0.267646	0.369817	0.160424	0.0778013	0.0119979	0.00751	0.00213113	0.00336388
p	0.000718161	0.000352212	0.00278652	0.02831	0.137388	0.221363	0.324607	0.191997	0.046078	0.0148812	0.0087089	0.0228111
f	0.000118435	0.000205227	0.000627347	0.0125666	0.0300496	0.0736438	0.710685	0.114433	0.0335005	0.00480234	0.0155251	0.00384274
ú	7.2999e-05	5.98123e-05	0.000311158	0.0460517	0.0485224	0.108947	0.577288	0.179716	0.0187076	0.00496334	0.00920582	0.00615349
t	0.00312025	0.00388682	0.00435419	0.0270069	0.0459148	0.167295	0.610211	0.0992962	0.0171266	0.00357828	0.00793098	0.0102785
a	0.00703204	0.0016716	0.00223898	0.0139131	0.0107874	0.0333313	0.698715	0.110391	0.0640613	0.00445664	0.0233057	0.0300954
ó	0.00127753	0.000129809	0.00762458	0.00772343	0.0323856	0.0633703	0.0518727	0.403479	0.263111	0.107128	0.0205922	0.0413054
n	0.0018381	0.00103461	0.0132622	0.0301185	0.0273659	0.0127071	0.00438482	0.188451	0.228992	0.382703	0.0576792	0.0514636
d	0.0018585	0.000905414	0.319872	0.0095331	0.0287126	0.0208576	0.00686886	0.0563	0.118564	0.171713	0.00976838	0.255046
z	0.000226131	0.000251834	0.0469483	0.00596456	0.0563796	0.0797823	0.0657984	0.116088	0.147098	0.226817	0.0460215	0.208625
ó	0.00024692	0.000806533	0.0109171	0.00654906	0.0689348	0.221238	0.3559	0.0743927	0.0329615	0.0601841	0.0594776	0.108391
r	0.000752158	0.000564579	0.0198511	0.0304371	0.112092	0.16788	0.13535	0.077782	0.0535462	0.0812095	0.038045	0.282491
o	0.000319922	0.000417847	0.00127247	0.00673893	0.0451098	0.170369	0.309825	0.110089	0.0665704	0.0965889	0.055962	0.136736
b	0.000824488	0.000292576	0.0067207	0.00769953	0.0252148	0.0370396	0.0213162	0.144369	0.198316	0.204278	0.0180571	0.335871
v	0.010169	0.00504151	0.00275776	0.00753398	0.00752698	0.0114058	0.0106455	0.0568401	0.231954	0.23197	0.199747	0.224408
ú	0.00396879	0.000328457	0.00189555	0.00457568	0.00643835	0.0114899	0.0111574	0.0330483	0.183615	0.206179	0.292191	0.245113
s	0.000376259	0.000307771	0.000510305	0.00158212	0.00391591	0.0146906	0.0181495	0.0368139	0.0983086	0.240008	0.290635	0.294702
á	0.00156508	0.00110358	0.00129495	0.00315111	0.00786475	0.0238822	0.0448858	0.0448832	0.0628367	0.132041	0.435909	0.240582
b	0.00545236	0.000621694	0.00587875	0.00400228	0.00629613	0.00984785	0.00721541	0.0400844	0.0632125	0.213418	0.163742	0.480228
á	0.00982139	0.00344844	0.00474219	0.0060921	0.00836792	0.0134956	0.00984694	0.0267311	0.0886371	0.284527	0.398397	0.145894
p	0.0134304	0.00547632	0.00595791	0.00233389	0.00883987	0.00815106	0.00626155	0.0222664	0.168667	0.222115	0.25806	0.278441
y	0.00722476	0.00833137	0.00205013	0.00605368	0.00438411	0.00607135	0.00724755	0.0193759	0.083708	0.142805	0.490929	0.22182
é	0.00109818	0.000357123	0.000381569	0.0026647	0.00171358	0.00258738	0.0137661	0.0126179	0.0828311	0.111976	0.561577	0.208429
b	8.06754e-05	2.77123e-05	0.000109146	0.00116136	0.000531559	0.000638854	0.00186526	0.00446461	0.0260495	0.0596756	0.582607	0.322789
h	0.000180171	6.69541e-05	0.000146541	0.000846127	0.000481147	0.00102421	0.00267747	0.00566384	0.0322225	0.0911333	0.464708	0.40085
i	0.000756016	0.000161196	0.000159882	0.00634523	0.00357907	0.00457252	0.00859904	0.0139188	0.0222254	0.0364747	0.110413	0.792796
</S>	0.000485874	0.000205333	0.00183568	0.0128602	0.0148954	0.0279828	0.0164658	0.0271069	0.0286766	0.180096	0.127448	0.561942
