 	arrange	les	affaires	dans	la	case	</S>
l	0.887814	0.103431	0.00401157	0.00188327	0.00250283	0.000328159	2.93212e-05
o	0.794757	0.0893081	0.0705596	0.0155654	0.0207321	0.00447473	0.00460281
n	0.932432	0.0126854	0.0371315	0.00518609	0.000952629	0.00105509	0.0105569
d	0.709332	0.142424	0.107129	0.0131072	0.0129618	0.00620167	0.00884463
á	0.655709	0.143995	0.0762325	0.0170453	0.00685619	0.0152698	0.0848923
m	0.103585	0.731279	0.130333	0.020413	0.00729939	0.002978	0.00411281
y	0.00164897	0.48308	0.297343	0.143833	0.0469671	0.00743336	0.0196943
e	0.0104071	0.0364106	0.802542	0.0852899	0.0142607	0.0394067	0.0116828
r	0.0288626	0.0788451	0.693004	0.15199	0.0186654	0.00676748	0.0218654
é	0.111866	0.21211	0.482667	0.124416	0.0185786	0.0300885	0.0202745
s	0.0174002	0.224777	0.0559848	0.538994	0.109	0.0129621	0.0408822
á	0.00423546	0.0737368	0.0671749	0.272101	0.245474	0.138182	0.199096
n	0.0050759	0.0285121	0.061252	0.173378	0.168781	0.518955	0.0440463
d	0.000707268	0.00196379	0.00288267	0.0219265	0.0259759	0.938304	0.00824016
é	0.000733761	0.00111856	0.00338362	0.0100028	0.0169298	0.957677	0.0101545
e	0.00262813	0.00332708	0.0431475	0.0662072	0.0560725	0.680712	0.147906
</S>	0.00258806	0.0355012	0.0226304	0.23628	0.290426	0.169539	0.243036
