 	apporte-moi	une	grappe	des	fruits	koi	</S>
y	0.980447	0.00915794	0.000658063	0.00440364	0.0048118	0.000435569	8.62442e-05
a	0.98489	0.0095859	0.000197004	0.00252073	0.00212735	0.00016132	0.000517961
á	0.790938	0.162164	0.0303359	0.00837831	0.00267509	0.0011699	0.00433854
n	0.538443	0.324157	0.0185244	0.0129601	0.0302011	0.0243323	0.0513821
g	0.789332	0.139162	0.00164443	0.0282976	0.00950793	0.000616692	0.0314397
á	0.842689	0.147469	0.00483382	0.0021134	0.00100841	0.000214469	0.00167142
l	0.0160111	0.605904	0.135685	0.0922266	0.0478863	0.012593	0.0896943
e	0.0400711	0.810686	0.0506715	0.0246663	0.00388966	0.00212599	0.067889
y	0.035842	0.5939	0.248583	0.0210918	0.00485204	0.00473158	0.0909992
a	0.00455195	0.206022	0.741097	0.0220144	0.000976648	5.60359e-05	0.0252819
n	0.00405861	0.163483	0.541543	0.0808906	0.00759965	0.000454399	0.201971
g	0.00746693	0.139874	0.738638	0.0696857	0.0132002	0.000582433	0.0305527
o	0.0318363	0.133035	0.67002	0.0822056	0.0248748	0.0190673	0.0389612
y	0.000817719	0.0967659	0.225141	0.441533	0.13946	0.028028	0.0682553
á	0.00233112	0.104986	0.309922	0.3826	0.0304827	0.000913291	0.168765
k	0.00916267	0.0211044	0.121469	0.400553	0.300908	0.064766	0.0820372
ω	0.00194078	0.00578902	0.162367	0.202036	0.227968	0.308901	0.0909982
í	0.00014541	0.00377889	0.00507837	0.0219671	0.118317	0.824584	0.0261288
</S>	8.47064e-05	0.00476078	0.00994967	0.0549485	0.0639234	0.0240989	0.842234
