 	il	a	enterré	un	fétiche	au	milieu	de	la	route	ensuite	il	m'	a	maudit	</S>
w	0.656801	0.121007	0.0519873	0.0244729	0.0148259	0.0217103	0.0148966	0.0293458	0.0327003	0.0158428	0.00385935	0.00498406	0.00306078	0.00396884	0.000427098	0.000110455
a	0.623688	0.120539	0.00936172	0.02523	0.027768	0.0465746	0.0551231	0.0479649	0.0229969	0.00238832	0.00156785	0.00351702	0.00586169	0.00472908	0.00256857	0.000120762
á	0.0899468	0.47317	0.121449	0.0357765	0.00994683	0.029841	0.0383645	0.0303369	0.0499419	0.0197721	0.015337	0.0366294	0.0141313	0.019771	0.0027594	0.0128263
k	0.0334518	0.315452	0.475462	0.0231809	0.0211952	0.014514	0.0114593	0.00736736	0.0136726	0.0126116	0.00538009	0.00515349	0.00786305	0.0285897	0.00662728	0.0180198
u	0.00630995	0.0371989	0.738968	0.0441759	0.0831242	0.0331694	0.00660659	0.0126018	0.0127092	0.0038222	0.000764331	0.00560704	0.00154925	0.00494606	0.00092061	0.0075259
n	0.000939573	0.0146969	0.887969	0.0345414	0.021798	0.0160762	0.00231891	0.00377346	0.00525079	0.0029302	0.00390212	0.000464087	5.04492e-05	0.000238742	0.00355058	0.00149903
d	0.0105536	0.0630521	0.481931	0.157228	0.0398883	0.0720551	0.0795232	0.023574	0.0179557	0.00429023	0.00328096	0.00509399	0.00197765	0.00652309	0.00375522	0.0293177
u	0.0442413	0.112483	0.330889	0.240659	0.0615299	0.0648255	0.0726518	0.0212422	0.0168198	0.00223251	0.00193801	0.00812726	0.00664006	0.00676482	0.00124639	0.00770995
b	0.00600802	0.015258	0.0326175	0.332802	0.256559	0.178101	0.0538746	0.0489209	0.0263529	0.0148519	0.00405693	0.0143991	0.00620722	0.00299664	0.00199616	0.0049982
v	0.0196772	0.0248781	0.00686293	0.054338	0.415933	0.189844	0.0694023	0.118941	0.0320543	0.0108068	0.00820307	0.0288766	0.0147269	0.00173677	0.00262484	0.00109422
e	0.000569217	0.00210685	0.0157076	0.0542693	0.509363	0.19822	0.0419771	0.090717	0.0345451	0.00704216	0.00443672	0.0251797	0.00671427	0.00219386	0.00468735	0.00227045
r	0.000265177	0.00208326	0.00967154	0.069525	0.433139	0.222119	0.0933478	0.111392	0.0325225	0.00461797	0.00185099	0.0108777	0.00128936	0.00126155	0.00169148	0.00434593
é	0.000647084	0.00186895	0.00439736	0.0729768	0.0362962	0.166302	0.307859	0.109481	0.0439417	0.00281727	0.0447469	0.0208496	0.0152163	0.00496733	0.00503259	0.1626
ó	0.00426162	0.010871	0.00838036	0.0914375	0.0918842	0.17462	0.167694	0.178648	0.121272	0.0326042	0.0279126	0.0305438	0.0046622	0.0150027	0.00615943	0.0340463
s	0.00115298	0.00576756	0.0124753	0.0199024	0.0400773	0.151815	0.126058	0.116269	0.151966	0.265744	0.073768	0.0132509	0.000546435	0.00493722	0.0118445	0.00442509
w	0.000506587	0.00227064	0.00173967	0.00516404	0.00741474	0.072748	0.548274	0.0676948	0.0849847	0.0450197	0.064461	0.0113169	0.00372749	0.00765135	0.0207585	0.0562681
έ	0.000538954	0.000363748	0.000368438	0.0149169	0.00368328	0.081738	0.630959	0.080848	0.0502652	0.0185555	0.083179	0.0194856	0.00134061	0.0017927	0.00636845	0.00559677
b	5.21387e-05	0.000485046	0.00103339	0.0269128	0.0263372	0.088347	0.170384	0.166745	0.199068	0.0856396	0.094686	0.0457307	0.00198119	0.0138146	0.0106158	0.0681672
h	0.00116559	0.00192247	0.00285932	0.0143341	0.107857	0.121759	0.143135	0.210367	0.182277	0.0838284	0.0181765	0.0569049	0.0093808	0.0226493	0.00334333	0.0200399
έ	0.00016386	0.00024175	0.00218301	0.0109145	0.113011	0.0815483	0.116804	0.213554	0.18712	0.0624038	0.034007	0.112814	0.0167983	0.0152539	0.00740031	0.0257814
