 	va	jusqu'	au	bout	de	la	route	</S>
d	0.888592	0.00771108	0.0246064	0.00606924	0.00796304	0.0628414	0.00185352	0.000363806
z	0.878995	0.0226101	0.00501782	0.00738429	0.0112315	0.0145253	0.0186291	0.0416074
w	0.893503	0.0725579	0.0036724	0.0121247	0.00709595	0.00223262	0.00358157	0.00523201
a	0.68226	0.0570457	0.0139602	0.0485917	0.0141009	0.00751891	0.00564654	0.170876
á	0.035891	0.214281	0.0325736	0.0229802	0.0286822	0.0170485	0.00158843	0.646955
t	0.0592398	0.560265	0.283796	0.0450262	0.0134337	0.00916169	0.00150131	0.0275766
é	0.0769038	0.723935	0.122123	0.0291819	0.0160295	0.0018255	0.00471387	0.0252879
é	0.0580577	0.425042	0.285312	0.109652	0.0325488	0.0067099	0.00478376	0.0778941
i	0.00642043	0.0604532	0.472833	0.303576	0.108268	0.0234107	0.00226318	0.0227761
s	0.00826742	0.0289642	0.247315	0.462051	0.188458	0.0165751	0.0215887	0.0267807
ú	0.000991462	0.0651662	0.085144	0.613518	0.168923	0.0182755	0.0289275	0.0190548
u	0.00632535	0.0651448	0.185989	0.447962	0.207351	0.0476959	0.0191158	0.020416
l	0.00043813	0.00524205	0.0982266	0.136936	0.307767	0.385025	0.0316554	0.03471
á	0.00373094	0.015837	0.160787	0.165309	0.214126	0.269861	0.0638608	0.106488
p	0.0014789	0.00276718	0.036601	0.10007	0.102346	0.264633	0.471346	0.0207573
o	0.00217897	0.0210117	0.0203049	0.11465	0.103526	0.0372432	0.66186	0.0392255
o	0.000453137	0.00428269	0.011218	0.052047	0.0768432	0.032666	0.758449	0.064041
</S>	0.000493015	0.00470925	0.0333718	0.0387224	0.105477	0.294703	0.305824	0.216699
