 	le	boy	prépare	le	repas	</S>
b	0.521424	0.473488	0.000765933	0.00324597	0.000970868	0.00010609
ώ	0.0478312	0.932984	0.00194006	0.00419409	0.0126657	0.000385287
y	0.0454128	0.927266	0.00647987	0.0158074	0.00432155	0.00071194
i	0.798553	0.11264	0.0156594	0.0380928	0.0140613	0.0209934
b	0.283966	0.402824	0.0454453	0.065289	0.00795141	0.194524
ó	0.0813847	0.586936	0.0160273	0.203248	0.0491891	0.0632152
b	0.167367	0.538568	0.0960824	0.119571	0.00833142	0.07008
ó	0.16274	0.687486	0.0324065	0.0854202	0.0184435	0.0135034
o	0.2348	0.393296	0.165787	0.170295	0.0113939	0.0244289
l	0.0370712	0.00991818	0.809756	0.105859	0.00248991	0.0349053
á	0.0201514	0.0162107	0.893069	0.0383187	0.00406618	0.0281845
m	0.103776	0.125411	0.432261	0.161273	0.0502871	0.126992
b	0.0580779	0.0629845	0.217801	0.262756	0.143405	0.254976
á	0.0301004	0.193171	0.0311734	0.17241	0.363852	0.209293
b	0.00718925	0.0206733	0.00690391	0.110962	0.718833	0.135439
e	0.00549318	0.144238	0.0249736	0.0286315	0.785595	0.0110691
a	0.00257759	0.0478668	0.0177545	0.0546887	0.754193	0.12292
</S>	0.00666917	0.00255864	0.0157094	0.136794	0.125353	0.712916
