 	j'	ai	découvert	le	baiseur	de	ta	femme	</S>
n	0.919148	0.0373055	0.00580919	0.0117968	0.00900213	0.00599671	0.0107395	0.000132559	6.912e-05
g	0.987797	0.00582551	0.000903264	0.00100177	8.05119e-06	0.000131953	0.00427845	4.81679e-05	6.25674e-06
á	0.943511	0.0316912	0.00868912	0.00219389	0.000458379	0.000933088	0.00567033	0.00674529	0.000107346
í	0.154907	0.283674	0.112418	0.172596	0.0395647	0.0404349	0.0492243	0.0282474	0.118933
m	0.0710659	0.544017	0.311495	0.0135767	0.0101729	0.00697138	0.00297133	0.00544542	0.0342845
i	0.000758692	0.686854	0.16907	0.057902	0.00880784	0.0100436	0.00229295	0.0467242	0.0175471
k	0.000449791	0.108894	0.853653	0.0122396	0.0146514	0.00185	0.00029276	0.000772302	0.00719705
ú	7.71509e-05	0.0136179	0.925152	0.00722381	0.0471408	0.00172748	8.18742e-05	8.19284e-05	0.00489737
n	0.000118439	0.0037823	0.953422	0.0129548	0.0196208	0.00297741	0.000536798	9.62769e-05	0.00649162
d	0.00520336	0.0134398	0.844809	0.0747832	0.0256584	0.0200537	0.000913843	0.000349914	0.0147892
á	0.0107257	0.0224473	0.483476	0.357359	0.0486811	0.0574787	0.00656152	0.00164956	0.0116217
o	0.0157902	0.03123	0.0956563	0.539128	0.201454	0.0610995	0.0447585	0.00693796	0.00394565
k	0.000127913	0.00654355	0.204642	0.108624	0.640685	0.0140381	0.000670804	0.00893446	0.015734
w	1.54968e-05	0.000679424	0.142929	0.031011	0.79643	0.012913	0.000411861	0.000289738	0.0153212
é	0.000510337	0.000718313	0.0967961	0.0708352	0.723928	0.049407	0.00619108	0.000682926	0.0509308
e	0.000112486	0.00193397	0.0449084	0.241636	0.552104	0.105535	0.00977373	0.00165389	0.0423419
m	4.23079e-05	0.00127144	0.00969471	0.0636575	0.360134	0.459638	0.0132449	0.00506517	0.0872513
w	8.26874e-05	0.000444852	0.000533786	0.0152381	0.122786	0.156524	0.0107461	0.569234	0.12441
á	9.86906e-05	0.00028065	0.00376222	0.0070142	0.228918	0.0533513	0.00776562	0.679834	0.0189756
s	0.00243068	0.00339145	0.00545416	0.0633807	0.0946355	0.331132	0.402514	0.0435214	0.0535403
í	0.00310669	0.00132882	0.020554	0.043203	0.16931	0.257438	0.221721	0.103182	0.180156
y	0.00262805	0.00507751	0.00250615	0.0597984	0.0432206	0.337085	0.354184	0.0359169	0.159583
a	0.00144952	0.0131834	0.0202193	0.0739621	0.152829	0.382792	0.143356	0.113609	0.0986001
n	0.000630195	0.00263811	0.00132803	0.0168798	0.0151072	0.152473	0.705826	0.0619879	0.04313
ω	0.0122792	0.00176921	0.00619537	0.0123215	0.00286421	0.136492	0.649144	0.109949	0.0689852
</S>	0.000593846	0.00148995	0.00117166	0.0202895	0.0298767	0.15535	0.044438	0.13406	0.612731
