 	je	n'	accepte	pas	de	partir	à	la	chasse	avec	toi	car	tu	es	faible	</S>
n	0.685308	0.0367832	0.0468119	0.0239553	0.038941	0.0169645	0.0303625	0.0263119	0.0328673	0.0255241	0.0111844	0.0142613	0.00843502	0.00176396	0.00048716	3.83576e-05
g	0.951969	0.00304179	0.000354535	0.0010506	0.00112279	0.000196951	0.000638261	0.00119481	0.000269457	0.00144889	0.0264495	0.00101806	0.00804153	0.00234249	0.000828177	3.33464e-05
á	0.901158	0.0262231	0.0011449	0.000903141	0.000620312	0.000256025	0.000537068	0.000981954	0.000361018	0.00158329	0.0346477	0.00213084	0.0113969	0.0122431	0.00579559	1.66173e-05
i	0.0833864	0.190705	0.0130237	0.0134571	0.0283892	0.0236137	0.0369829	0.0559363	0.0103498	0.0796321	0.132684	0.0452094	0.0701322	0.0516449	0.0531161	0.111737
d	0.0884674	0.659664	0.0682414	0.0204546	0.00918393	0.0102767	0.00883542	0.0106507	0.0114298	0.00792651	0.00893514	0.00743877	0.0131587	0.015316	0.0133804	0.0466406
i	0.0296778	0.682667	0.0585525	0.0109155	0.00327711	0.011309	0.0100093	0.0175395	0.00726534	0.0216973	0.0189205	0.0186156	0.00741886	0.0134682	0.0205737	0.0680928
o	0.00659136	0.316917	0.314278	0.110303	0.039106	0.0733387	0.0290264	0.0214341	0.00829897	0.00933331	0.00329393	0.00764502	0.00156358	0.00266756	0.0116877	0.0445148
b	0.00122925	0.123878	0.63617	0.0750868	0.0221542	0.115851	0.00678851	0.00445392	0.00403685	0.00163325	0.00101967	0.000912591	0.000166987	0.000865927	0.00403189	0.00172099
é	0.000151362	0.0449682	0.650684	0.0739314	0.0317103	0.0773763	0.0179456	0.0155722	0.0552767	0.014497	0.00226118	0.00232042	0.000515688	0.000695048	0.00856743	0.00352656
n	0.000968596	0.0266455	0.486282	0.0901629	0.0658707	0.121392	0.0575295	0.0445522	0.0319785	0.016762	0.00529765	0.00340456	0.000754677	0.000572505	0.00664885	0.0411774
y	0.00247347	0.0450529	0.317039	0.174088	0.0977133	0.175106	0.055849	0.0314561	0.02103	0.0144803	0.00474332	0.00726279	0.000768528	0.000889069	0.00478324	0.0472649
á	0.00125369	0.0185307	0.100283	0.108676	0.0773909	0.242	0.124344	0.0587495	0.0277171	0.0241444	0.00868371	0.0103307	0.00178169	0.00198838	0.0152753	0.17885
