 	les	hommes	se	rendent	dans	le	sanctuaire	du	kyebhe-kyebhe	</S>
a	0.463972	0.506193	0.0159083	0.00238964	0.00479929	0.00340124	0.00126193	0.00197753	7.17642e-05	2.47319e-05
b	0.156731	0.686492	0.0858426	0.0525548	0.00724373	0.0043506	0.00108292	0.000648221	0.00450979	0.000544207
a	0.0712088	0.746588	0.111752	0.0292332	0.0130679	0.0119931	0.00257318	0.00707314	0.000186145	0.00632467
a	0.166539	0.578293	0.11936	0.0156864	0.0430416	0.0239622	0.00510196	0.0114684	0.000375419	0.0361724
b	0.0974501	0.259537	0.486716	0.0102611	0.03119	0.0144182	0.00439449	0.0316794	0.000890905	0.0634628
ó	0.0411754	0.185191	0.522535	0.054278	0.0419174	0.0540205	0.00960176	0.0521529	0.000713374	0.0384147
b	0.117253	0.165651	0.566547	0.0311242	0.0572588	0.0190226	0.00660437	0.013525	0.000331203	0.0226822
á	0.25751	0.249533	0.350952	0.0562806	0.0236051	0.0334932	0.0112563	0.0113648	0.000844244	0.00516033
a	0.280376	0.227055	0.294549	0.0326571	0.0544462	0.0482777	0.00706337	0.0229207	0.00320647	0.0294481
d	0.00256901	0.0206333	0.318161	0.587341	0.0312258	0.016772	0.00479118	0.00366214	0.00213698	0.0127076
z	0.00014966	0.000627135	0.0481448	0.903018	0.0250867	0.00979713	0.00339972	0.00096263	2.76642e-05	0.00878698
w	0.00156199	0.00199676	0.0738828	0.896456	0.0179702	0.0059263	0.00046186	0.000314336	5.11811e-06	0.00142464
a	0.0250318	0.00874463	0.163143	0.283548	0.296522	0.122386	0.00534928	0.029903	0.000998904	0.0643737
s	0.00218817	0.000608857	0.0377703	0.16426	0.547079	0.104987	0.0226844	0.043106	0.0090047	0.0683109
ó	0.0109923	0.00234473	0.030637	0.288468	0.360671	0.159983	0.0503364	0.0248291	0.00121172	0.0705266
y	0.00391727	0.0037657	0.0746163	0.411003	0.220127	0.156717	0.0926589	0.0193136	0.00748336	0.0103977
w	0.00164489	0.00128399	0.0269426	0.689669	0.122261	0.0899906	0.0419822	0.00941571	0.000450307	0.0163595
e	0.000423339	0.000121816	0.00601361	0.709905	0.157797	0.0756222	0.0336346	0.0041927	0.00158328	0.0107072
m	0.000301871	0.000588392	0.0156758	0.146929	0.321806	0.277855	0.11355	0.0395992	0.00296454	0.0807299
á	0.00383179	0.00253512	0.0234897	0.128153	0.413121	0.246552	0.0148522	0.0974634	0.000136478	0.0698652
k	0.00421476	0.00109197	0.016777	0.0495955	0.32333	0.259963	0.161057	0.116685	0.0353643	0.0319211
y	0.000686249	0.00226038	0.00309998	0.0357539	0.0127557	0.0532558	0.386732	0.0292277	0.436039	0.0401888
e	0.000642882	0.000468229	0.00089521	0.00914644	0.00681107	0.0343522	0.43908	0.0328495	0.440024	0.0357311
b	3.24977e-05	8.83121e-05	0.00158067	0.011816	0.0233945	0.0726216	0.275736	0.112484	0.359597	0.142649
h	0.000169873	9.4989e-05	0.000670717	0.014646	0.0273219	0.0776363	0.236851	0.108607	0.0889186	0.445084
é	0.00735245	0.0108428	0.00721261	0.0343749	0.130654	0.17242	0.195464	0.143543	0.043938	0.254199
k	0.000394219	0.000342424	0.0046697	0.00428912	0.0374155	0.0654986	0.0594149	0.367835	0.0793113	0.380829
y	0.000504243	0.00146429	0.00272668	0.00391374	0.00600055	0.025572	0.210203	0.0723819	0.477214	0.200019
e	0.000279917	0.000223381	0.000835185	0.00336058	0.00261418	0.0128937	0.127155	0.0440111	0.739444	0.0691819
b	3.05521e-05	5.53721e-05	0.00036796	0.0043115	0.0118266	0.0285783	0.0723997	0.0872742	0.392601	0.402555
h	0.000125407	0.00016167	0.000791242	0.00725404	0.0190061	0.0781591	0.161604	0.158877	0.18366	0.390361
é	0.0179922	0.0114918	0.00931212	0.0221772	0.109089	0.0869206	0.0718754	0.169405	0.0321827	0.469554
</S>	0.00147752	0.000840316	0.00843012	0.00603659	0.0231042	0.0373826	0.0523167	0.265042	0.0448191	0.560551
