 	il	traverse	le	ruisseau	en	plongée	</S>
w	0.981586	0.00656409	0.00435818	0.00243052	0.00407479	0.000878438	0.000108054
a	0.937809	0.00156637	0.00411262	0.00266029	0.0445311	0.00918718	0.000133367
l	0.617659	0.187655	0.107233	0.0270998	0.0145593	0.0037344	0.0420599
á	0.247304	0.0620076	0.112451	0.033857	0.0431355	0.0341297	0.467115
a	0.601007	0.0351774	0.119577	0.0264564	0.0438791	0.0469484	0.126954
k	0.0112744	0.960222	0.0187513	0.00583443	0.000482124	0.000475922	0.00295975
y	0.0014433	0.986221	0.00895205	0.00219577	0.00043799	8.39351e-05	0.000666012
é	0.0106209	0.899821	0.0418362	0.0381401	0.00128414	0.0034699	0.00482743
n	0.0449546	0.170259	0.413594	0.210337	0.0657899	0.00907512	0.0859896
á	0.0382056	0.333407	0.409786	0.111016	0.0357985	0.00619669	0.0655904
o	0.0670481	0.0115078	0.383016	0.262569	0.220747	0.0368695	0.0182423
k	0.00295318	0.0345459	0.0795633	0.693617	0.0914492	0.0875389	0.0103321
y	0.000517207	0.0516473	0.0562881	0.696073	0.0396195	0.120467	0.0353877
ε	0.00198958	0.111266	0.182735	0.510737	0.0196411	0.102347	0.0712839
s	0.000254974	0.00994167	0.142633	0.468374	0.140852	0.11669	0.121255
í	0.000897846	0.00450411	0.126606	0.426004	0.0632176	0.0832537	0.295516
m	0.0043491	0.000676953	0.0544769	0.06705	0.403021	0.219964	0.250462
ó	0.0233163	0.00254792	0.0545253	0.0747712	0.268888	0.428535	0.147416
s	0.0103127	0.000239045	0.0220677	0.0295296	0.190747	0.669206	0.0778976
ω	0.00125324	0.00208972	0.0193873	0.0681857	0.108177	0.72115	0.0797564
n	0.00013295	0.000200806	0.00470752	0.0217951	0.0308394	0.752807	0.189517
g	9.65665e-05	0.000833226	0.00985851	0.0597742	0.0386832	0.754233	0.136521
í	0.000336993	0.000206944	0.00254171	0.0152768	0.0164835	0.746686	0.218469
</S>	0.000848405	0.00192667	0.0231646	0.0349447	0.0825198	0.244238	0.612358
