 	il	a	gardé	ses	outils	de	travail	en	forêt	</S>
w	0.962536	0.0141888	0.0120347	0.00282887	0.00302929	0.00386681	0.000109508	0.00120004	0.000153055	5.30012e-05
a	0.689566	0.0535439	0.0168566	0.0572312	0.140263	0.0314013	0.000382206	0.00535407	0.00537783	2.40086e-05
á	0.0908604	0.836353	0.0399741	0.0173651	0.00537674	0.00273087	0.00135714	0.00476672	0.000681391	0.000534939
b	0.0085731	0.272743	0.628746	0.0308557	0.0178176	0.00309484	0.0204894	0.00996227	0.00144525	0.00627293
v	0.00619733	0.0446367	0.785804	0.0928127	0.0348781	0.00796426	0.0080559	0.00249239	0.000451402	0.016707
u	0.00353534	0.056165	0.801827	0.0746389	0.057343	0.00124318	0.00316039	0.00056679	8.21864e-05	0.00143837
u	0.0132448	0.0447267	0.129216	0.204529	0.434254	0.0349989	0.0236447	0.010915	0.0160508	0.0884191
s	0.00684361	0.0339683	0.018684	0.486934	0.349711	0.0556681	0.0135312	0.0084566	0.00833524	0.0178685
u	0.00319878	0.0227826	0.000939068	0.532003	0.283156	0.0966246	0.0282819	0.0152747	0.00188975	0.0158491
i	0.00488082	0.00780826	0.00136844	0.21279	0.559783	0.168706	0.0237169	0.00947453	0.0062453	0.00522669
t	0.000740456	0.00241689	0.00457067	0.204488	0.443767	0.1919	0.105278	0.0130498	0.0215742	0.0122153
ú	0.000220748	0.00118818	0.00360517	0.204203	0.339697	0.263381	0.128174	0.00544815	0.0368971	0.0171853
n	0.000392756	0.000840667	0.00121221	0.110752	0.234703	0.30776	0.105462	0.0126022	0.0501788	0.176096
g	0.00110824	0.00293993	0.00297426	0.123481	0.376551	0.258412	0.0389568	0.0187448	0.0317189	0.145114
á	0.00291613	0.00438239	0.00126515	0.0830947	0.219936	0.576465	0.0189082	0.0110424	0.0276429	0.0543472
b	0.00106381	0.00706648	0.00291819	0.0935443	0.214741	0.224293	0.222463	0.193829	0.00937119	0.0307101
á	0.0051754	0.00239573	0.00142128	0.0792557	0.34982	0.279004	0.17455	0.0396895	0.0351046	0.0335838
w	0.00780965	0.00368523	0.00286911	0.0353508	0.220051	0.205509	0.338809	0.0515748	0.0697053	0.0646364
a	0.0265962	0.0115646	0.0256186	0.0402957	0.176232	0.392392	0.120441	0.0873945	0.045739	0.073727
b	0.000655919	0.000373036	0.000101604	0.0109435	0.0426342	0.2418	0.309885	0.28897	0.0730305	0.0316063
í	0.000318053	0.000672265	0.00165868	0.0433253	0.247096	0.360312	0.195095	0.0536745	0.0495391	0.0483093
s	0.000361627	0.000872706	0.000520622	0.0108241	0.0586563	0.0974207	0.298386	0.177888	0.172853	0.182218
á	0.000418889	0.00125799	0.000208335	0.0234566	0.0877649	0.126355	0.231932	0.2086	0.13611	0.183895
l	0.00223169	0.00129442	0.000307314	0.010261	0.0412896	0.0504066	0.0320093	0.139083	0.673926	0.0491919
a	0.00269166	0.0054908	0.00052397	0.0134645	0.020126	0.0607344	0.104613	0.209579	0.330295	0.252481
ó	0.000468371	0.00081599	9.67796e-05	0.00249885	0.00402796	0.0200036	0.0314189	0.149295	0.687077	0.104298
k	4.77471e-05	0.00185337	0.00310851	0.011127	0.0176478	0.01171	0.0350375	0.118727	0.75558	0.0451617
ω	8.79565e-06	0.000242047	0.00249341	0.00415481	0.0108586	0.00590338	0.0152264	0.0259262	0.903316	0.0318703
</S>	2.24352e-05	0.000161016	0.00268449	0.00180115	0.00854472	0.0201531	0.0146112	0.0288929	0.848228	0.0749011
