 	cette	femme	qui	allaite	son	bébé	a	des	pieds	enflés	</S>
b	0.35759	0.0322445	0.117007	0.191411	0.121959	0.0360393	0.0701183	0.0534328	0.0154836	0.00215872	0.00255478
v	0.105033	0.340712	0.102722	0.0422928	0.0681092	0.157917	0.0630843	0.0967713	0.00816387	0.00457957	0.0106149
a	0.00409831	0.00636433	0.0240221	0.0479516	0.239169	0.129308	0.215472	0.216455	0.0724014	0.0224113	0.0223482
é	0.0275963	0.179603	0.215091	0.149051	0.0948857	0.0296288	0.041857	0.0328365	0.01361	0.0100085	0.205833
b	0.163812	0.0228934	0.369161	0.163059	0.0799294	0.02486	0.0352023	0.0200558	0.0008672	0.00056472	0.119595
v	0.0139211	0.00245531	0.202464	0.439926	0.104707	0.0236583	0.0689256	0.0420605	0.00256219	0.00293305	0.096387
ú	0.04095	0.00150517	0.0840274	0.0631379	0.50109	0.110552	0.103548	0.0627204	0.00334407	0.00249678	0.0266284
ó	0.192678	0.0281144	0.282994	0.0944033	0.211266	0.128411	0.0257005	0.0291392	0.00275526	0.00211186	0.00242731
m	0.0902287	0.00229386	0.174035	0.24599	0.255616	0.0912481	0.0815656	0.0297261	0.00342641	0.00155238	0.0243177
i	0.184817	0.0395959	0.0409969	0.0357888	0.190185	0.225718	0.0927023	0.107615	0.00790863	0.0196754	0.0549972
y	0.0425296	0.0109897	0.0318182	0.0941469	0.209302	0.263622	0.177581	0.0993847	0.0354544	0.0126859	0.0224855
í	0.0200828	0.00266931	0.0445993	0.0573663	0.159555	0.0895237	0.108712	0.0728244	0.228581	0.158311	0.0577757
n	0.0280624	0.0015367	0.0633006	0.0673722	0.190542	0.0692521	0.144063	0.125162	0.0560065	0.0909986	0.163704
á	0.0318093	0.00110714	0.0558652	0.0160833	0.264719	0.197845	0.152422	0.112078	0.0558037	0.0292683	0.0829983
m	0.0218234	0.0011713	0.0477872	0.0399842	0.148562	0.109937	0.222132	0.324026	0.0252292	0.0285556	0.0307914
í	0.0282168	0.0354426	0.00258791	0.00297011	0.0691599	0.251574	0.107506	0.325247	0.0111013	0.0469714	0.119223
m	0.00753881	0.00141751	0.00440793	0.0105403	0.0467439	0.0395408	0.105339	0.233091	0.268081	0.221271	0.0620281
b	0.0010095	0.0247813	0.000820511	0.000369044	0.0122069	0.134136	0.078797	0.489213	0.0513684	0.112944	0.0943544
ώ	0.000321802	0.00377616	0.00066332	0.00064619	0.013002	0.142475	0.0450729	0.155066	0.225122	0.365272	0.048583
n	0.000239395	0.000479036	0.00364199	0.0062277	0.0282097	0.079708	0.146698	0.402103	0.0876652	0.179658	0.0653711
d	0.00115222	0.000200772	0.00228272	0.00196476	0.0110421	0.0123596	0.0746792	0.125121	0.44469	0.233153	0.0933549
ώ	0.0013316	0.000116058	0.000948675	0.00028238	0.00659552	0.00646229	0.0164427	0.0359006	0.25251	0.596146	0.0832637
</S>	0.00383236	5.88144e-05	0.0132258	0.00489413	0.0279861	0.0109433	0.164443	0.222766	0.0716917	0.0621014	0.418057
