 	je	ne	veux	pas	dire	au-	revoir	à	ma	mère	</S>
n	0.765282	0.084752	0.0509293	0.061581	0.00536235	0.0250505	0.00178533	0.00114783	0.00397182	8.08027e-05	5.75172e-05
g	0.939691	0.00695126	0.00039978	0.000742663	0.000278432	0.0128229	0.0228898	0.000139756	0.0150831	0.000997315	4.11462e-06
á	0.872573	0.0354948	0.000577283	0.00107779	0.000760231	0.0123299	0.0208566	0.000289814	0.0064843	0.0495373	1.9363e-05
i	0.161117	0.514454	0.0985614	0.0817631	0.0173875	0.0300973	0.0146905	0.0075353	0.0166139	0.018546	0.0392344
d	0.0388428	0.299364	0.336105	0.0447077	0.0472993	0.00893397	0.00981492	0.0386038	0.00372821	0.00762967	0.164971
i	0.187589	0.436508	0.064764	0.0235424	0.102112	0.00163089	0.00352902	0.0668635	0.00367828	0.00313103	0.106652
p	0.00966343	0.225623	0.564912	0.0878987	0.0595035	0.00445833	0.000523922	0.0152855	0.00151506	0.000119921	0.0304959
ó	0.0106749	0.0660602	0.758698	0.0568113	0.0308779	0.012484	0.00151093	0.0238503	0.000660033	0.000630178	0.0377423
s	0.00273672	0.0584727	0.627362	0.160225	0.0687146	0.0167279	0.00278035	0.0155804	0.00368426	0.00272168	0.0409945
á	0.00190594	0.0357089	0.632793	0.130924	0.10515	0.0269612	0.00358332	0.0257368	0.00660813	0.000749838	0.0298776
o	0.0223027	0.0406771	0.110955	0.264804	0.137227	0.29369	0.0626802	0.0205008	0.0352555	0.00620825	0.00569947
l	0.00058773	0.00475206	0.028531	0.0467216	0.895969	0.0100813	0.00132659	0.00797786	0.000102419	0.000785353	0.00316491
a	0.000442166	0.00379203	0.0121721	0.0127549	0.924525	0.00970699	0.000808994	0.0107994	0.000256105	0.00121309	0.0235289
a	0.000337258	0.0096306	0.070026	0.0616507	0.762464	0.0261253	0.0013257	0.0139544	0.000860182	0.00102834	0.0525978
n	0.00097108	0.0112666	0.0248174	0.161105	0.121834	0.432767	0.107607	0.0792602	0.0391791	0.00430924	0.016883
á	0.00668779	0.00269502	0.00140475	0.0110476	0.0309765	0.601182	0.178549	0.0698852	0.0404529	0.0172327	0.0398867
l	0.000487312	0.00115171	0.00475078	0.0153293	0.0280747	0.281319	0.273643	0.221851	0.0816997	0.0444863	0.0472075
a	0.00146753	0.00143232	0.001517	0.00369658	0.0326331	0.21998	0.192718	0.311228	0.0377876	0.0342101	0.16333
n	0.000778199	0.0022359	0.00235921	0.00965122	0.0106706	0.210435	0.147853	0.283765	0.191337	0.101101	0.0398153
g	0.00348801	7.63529e-05	3.55027e-05	0.000237338	0.00098482	0.0739683	0.595775	0.0212611	0.0808397	0.219303	0.00403105
ó	0.000615786	4.13941e-05	2.32433e-05	0.000287093	0.000581835	0.0670444	0.332302	0.00649603	0.0335284	0.553821	0.00525886
o	9.51386e-05	6.02172e-05	7.30646e-05	0.000448535	0.00180181	0.0322542	0.109918	0.00801061	0.022473	0.804672	0.0201935
k	0.000235385	0.000665563	0.000747233	0.00962496	0.00268554	0.0957546	0.285167	0.107287	0.162373	0.217904	0.117555
a	0.000523797	0.000849402	0.00517557	0.00515955	0.0059333	0.2789	0.0520199	0.157067	0.170773	0.00952282	0.314076
á	0.00022175	0.000176831	0.00472364	0.00402708	0.00822973	0.0388349	0.0212198	0.091572	0.18304	0.0570879	0.590867
</S>	0.000176009	0.000803805	0.00126982	0.00263956	0.00476287	0.00805055	0.0176469	0.0902487	0.0534702	0.0542978	0.766634
