 	le	cabri	est	attaché	au	piquet	</S>
m	0.911398	0.0511587	0.0255886	0.00932121	0.00197918	0.000474145	8.01671e-05
b	0.0219287	0.955609	0.0129704	0.00712795	0.00150825	4.12259e-05	0.000814719
ó	0.272205	0.678763	0.0247632	0.0191317	0.00309055	0.00105045	0.000996584
s	0.252661	0.704823	0.0164004	0.0205968	0.00293315	0.000773239	0.00181262
i	0.57259	0.0977461	0.113725	0.156907	0.0165569	0.00607276	0.0364019
a	0.129039	0.0116881	0.673555	0.105811	0.0534918	0.0120091	0.0144064
d	0.151835	0.00179865	0.290397	0.343441	0.134423	0.0372062	0.040899
i	0.0884835	0.00265681	0.196421	0.402517	0.177027	0.0142571	0.118638
m	0.0642121	0.0044119	0.164491	0.307818	0.332108	0.019277	0.107682
ó	0.0610731	0.095124	0.155026	0.193483	0.258222	0.00415885	0.232912
i	0.146076	0.022758	0.0921932	0.245652	0.313083	0.15697	0.0232677
k	0.00315037	0.000999882	0.013319	0.117058	0.22366	0.602247	0.0395661
í	0.00458416	0.000125924	0.00615664	0.037133	0.0295038	0.902125	0.0203718
é	0.00338477	0.000414311	0.00975459	0.0318151	0.0196366	0.86539	0.0696049
</S>	0.00104864	1.72846e-05	0.00568509	0.0520917	0.099664	0.543836	0.297658
