 	cet	enfant	ennuie	sa	maman	</S>
m	0.799099	0.181813	0.0105681	0.00799057	3.44313e-05	0.000494686
w	0.338568	0.656619	0.000993934	0.00248947	9.82817e-05	0.00123105
á	0.0110812	0.986922	0.001567	0.000325701	7.68105e-05	2.79168e-05
n	0.113153	0.851314	0.00475635	0.00476819	0.000140814	0.0258669
a	0.328422	0.358021	0.0822404	0.0368093	0.0101169	0.184391
w	0.916832	0.0302408	0.00829486	0.0321482	0.0014156	0.0110682
ó	0.327866	0.0354448	0.135628	0.222467	0.0200997	0.258494
l	0.290155	0.0970186	0.104875	0.17938	0.0147207	0.313851
á	0.155975	0.0188414	0.0956054	0.0783195	0.0314624	0.619796
a	0.533003	0.106723	0.157554	0.092958	0.0112846	0.0984783
b	0.067288	0.116548	0.669352	0.00753896	0.0461122	0.0931611
h	0.0299058	0.0260046	0.900043	0.0110463	0.0037797	0.0292205
ω	0.0215221	0.00843624	0.957408	0.00128411	0.00114819	0.0102014
m	0.00427238	0.00360882	0.976265	0.00363406	0.00105024	0.0111697
b	0.0182782	0.00339836	0.829329	0.105467	0.00188326	0.0416442
í	0.00737418	0.00846152	0.885704	0.0731502	0.000561397	0.0247485
s	0.00982525	0.00360439	0.175027	0.745043	0.00532996	0.0611698
ω	0.00723912	0.00057248	0.389044	0.399489	0.0450742	0.158581
n	0.00828774	0.00227885	0.223027	0.549428	0.183066	0.0339126
g	0.0109338	0.00404724	0.100097	0.433442	0.401272	0.0502083
ó	0.00155891	0.000562881	0.00773453	0.0767558	0.908507	0.00488093
o	0.0034093	0.0030655	0.0248905	0.11844	0.800011	0.0501842
</S>	0.00560274	0.00174817	0.0243145	0.20832	0.228031	0.531983
