 	hier	j'	ai	mangé	les	haricots	</S>
l	0.902315	0.0788413	0.0133723	0.00299165	0.00159413	0.000590974	0.000294103
a	0.881498	0.0708258	0.0365888	0.00100299	0.00517684	0.00288404	0.00202352
p	0.853716	0.0364088	0.0540385	0.0338044	0.00763963	0.00498099	0.00941211
ó	0.787737	0.0186	0.020686	0.0275925	0.0120029	0.023476	0.109905
a	0.554743	0.0273684	0.163448	0.0644621	0.0328683	0.0174335	0.139676
n	0.0489354	0.255074	0.612761	0.0421798	0.0200585	0.00100054	0.0199907
g	0.0308873	0.748341	0.158964	0.0320227	0.0095044	0.00159372	0.0186867
á	0.0504539	0.863204	0.0522803	0.0243459	0.00452308	0.00145663	0.00373615
í	0.027975	0.0505124	0.77158	0.0153448	0.0911446	0.00947034	0.0339727
d	0.00449824	0.0276188	0.263059	0.236006	0.33574	0.0763004	0.0567776
z	0.000173262	0.00315812	0.0483728	0.645944	0.0982565	0.0679487	0.136147
é	0.000906972	0.00254613	0.02377	0.951557	0.00602821	0.013362	0.00182953
e	0.00138651	0.00906669	0.0556255	0.0649557	0.119398	0.314956	0.434611
a	0.00111388	0.0048075	0.0104669	0.0054952	0.254618	0.59664	0.126858
d	0.00048688	0.000724051	0.00669209	0.00389789	0.166959	0.637956	0.183284
ε	1.85837e-05	3.43627e-05	0.00060028	0.00497069	0.0459304	0.784176	0.164269
s	2.08638e-05	9.83031e-05	0.00161473	0.000810966	0.0854768	0.604399	0.307579
u	4.73759e-05	0.000121642	0.000621875	0.000232162	0.0372034	0.731787	0.229987
</S>	1.36674e-05	6.14599e-05	0.0010474	0.000107563	0.0479964	0.242974	0.707799
