 	le	filet	pour	la	chasse	aux	buffles	est	fabriqué	avec	l'	écorce	de	l'	arbuste	leposo	</S>
o	0.497065	0.328206	0.0330369	0.0122988	0.0584522	0.0333645	0.0219282	0.00718923	0.000979251	0.00117576	0.000550816	0.000103242	0.000874564	0.00071298	0.00238872	0.00163666	3.67275e-05
k	0.0149973	0.964915	0.00433963	0.00137664	0.0088344	0.000551549	0.00116878	0.000193581	0.000306317	0.000185538	0.00019976	0.000201408	0.000285522	0.000413404	0.000327612	0.00102597	0.00067772
i	0.00226535	0.921025	0.00159433	0.00169433	0.0451441	0.00056302	0.000223173	0.000226451	0.00103478	0.000200823	0.000156547	0.00138527	0.000526734	0.0004383	0.000260788	0.0220478	0.00121301
a	0.0678978	0.630518	0.0943299	0.0456321	0.0678384	0.0115437	0.00486662	0.0106062	0.021146	0.00442318	0.00348536	0.00636127	0.00301548	0.00192339	0.000791292	0.0208735	0.00474825
m	0.298342	0.0224689	0.415138	0.106845	0.00735058	0.0605184	0.0120435	0.0363361	0.00303376	0.0165055	0.005885	0.00290666	0.00305944	0.00110635	0.00114019	0.000172807	0.00714656
á	0.109673	0.0050589	0.208314	0.136644	0.0182061	0.107276	0.190444	0.0965283	0.00940983	0.0215396	0.0192351	0.00144815	0.0053305	0.00637731	0.0177645	0.00458881	0.0421626
n	0.278565	0.0160162	0.146476	0.144454	0.0447065	0.105782	0.190213	0.0299584	0.0120269	0.0096326	0.00474046	0.00181673	0.00262552	0.00297397	0.00221799	0.00266643	0.00512836
d	0.154144	0.00829928	0.122482	0.126269	0.0494749	0.0931662	0.275131	0.0202704	0.0487795	0.0138983	0.0181193	0.00248284	0.0122555	0.0240547	0.00667297	0.00225534	0.0222448
z	0.0156403	0.00278095	0.10934	0.212255	0.0418718	0.0411345	0.483571	0.0134976	0.03549	0.00707643	0.00878236	0.0018162	0.00292135	0.00732258	0.001465	0.0045657	0.0104692
á	0.00901093	0.00231045	0.0631262	0.149741	0.0720392	0.0237833	0.511492	0.0116012	0.041053	0.00609122	0.0209334	0.00172567	0.00678822	0.0190315	0.00246972	0.0154018	0.0434017
a	0.0092397	0.0151508	0.0841411	0.135431	0.323536	0.0969677	0.0294004	0.0813483	0.0759101	0.0241488	0.0213868	0.0153719	0.014588	0.015313	0.00477306	0.0154764	0.0378174
b	0.00948607	0.00117336	0.118997	0.155974	0.047696	0.356563	0.0263474	0.189632	0.0187338	0.0268785	0.015579	0.00667275	0.00845081	0.00468153	0.00574843	0.00076938	0.00661741
á	0.0275519	0.000773903	0.0606503	0.0661101	0.0187764	0.174414	0.0519328	0.205088	0.0508013	0.074668	0.0466472	0.0160427	0.0405798	0.0317597	0.117245	0.00248681	0.0144717
a	0.0108996	0.0010522	0.0928519	0.096649	0.0391074	0.16326	0.0946233	0.271688	0.0960856	0.043849	0.0239311	0.0202992	0.0111486	0.00780971	0.00923549	0.00861049	0.00889966
t	0.00332569	0.0144224	0.0195796	0.0418438	0.229553	0.0798195	0.0534767	0.152255	0.234063	0.0327952	0.0288637	0.0756711	0.00668722	0.00318427	0.00174776	0.0122447	0.0104675
i	0.000502046	0.00176223	0.0113255	0.0451508	0.33987	0.0167203	0.0189729	0.0266544	0.363157	0.013063	0.0108019	0.122571	0.00445734	0.00196176	0.00049193	0.0171286	0.00540919
m	0.000888879	0.0011815	0.0309399	0.088638	0.189642	0.0633548	0.0385859	0.108396	0.298979	0.034598	0.0285959	0.083883	0.012015	0.00475929	0.00135254	0.0098639	0.00432688
b	0.00367293	0.00014896	0.0203497	0.0900792	0.0343526	0.093366	0.225151	0.0689138	0.059812	0.0414061	0.110162	0.0320427	0.0365305	0.0361215	0.0129849	0.0588301	0.0760759
á	0.00345383	0.000549635	0.0307687	0.0794761	0.0478594	0.0737754	0.116658	0.0636522	0.113696	0.0450208	0.0510894	0.0113902	0.063788	0.0579305	0.0319663	0.0240054	0.184921
m	0.0014954	4.37297e-05	0.00800352	0.0167718	0.00191047	0.0791887	0.094619	0.131147	0.0430067	0.219509	0.141722	0.0192971	0.0554041	0.0367154	0.101019	0.0325126	0.0176346
ó	0.00104591	4.56139e-05	0.00311164	0.00451077	0.00131643	0.00770743	0.139751	0.0331752	0.0380513	0.097691	0.176474	0.013387	0.0423785	0.0647416	0.10754	0.177074	0.091999
p	0.00118326	0.000429104	0.00203528	0.00221683	0.00455092	0.0038356	0.0044622	0.00566747	0.0164046	0.0184454	0.0288708	0.0434872	0.0162	0.0177973	0.00959394	0.80926	0.01556
ω	0.000146038	0.00033274	0.000688521	0.00150758	0.00877813	0.00112413	0.000315433	0.00136202	0.00636825	0.00615119	0.00976129	0.273159	0.0212625	0.0166867	0.00430068	0.639895	0.00816081
s	3.61348e-05	6.67012e-05	0.000123875	0.000503457	0.003482	0.00110704	0.00038151	0.00185828	0.00900142	0.00606167	0.00965993	0.233541	0.045819	0.0510992	0.0267257	0.602939	0.00759458
ώ	3.94802e-05	0.000462335	0.000563767	0.0015279	0.00839673	0.00230431	0.000429978	0.00236216	0.0181629	0.0207247	0.0252255	0.376113	0.0536995	0.0487027	0.00848863	0.367975	0.064822
</S>	0.00110143	3.89322e-05	0.00256472	0.00345039	0.000541213	0.00697617	0.00160166	0.0101731	0.00117458	0.036039	0.0576262	0.0535168	0.185195	0.153136	0.216207	0.0378765	0.232782
