 	nous	dormons	dans	la	barge	</S>
b	0.950077	0.00886095	0.00487779	0.0211114	0.0139465	0.00112632
í	0.978299	0.0103393	0.00244301	0.00600979	0.00265415	0.00025445
s	0.92198	0.0620922	0.0096704	0.00177482	0.000468669	0.00401363
í	0.908479	0.0482197	0.0246467	0.0122594	0.000921467	0.00547387
l	0.15062	0.386754	0.0338232	0.0253854	0.00355766	0.39986
é	0.0336339	0.181812	0.0440853	0.0567876	0.00234482	0.681337
e	0.0326767	0.852593	0.0891075	0.0148356	0.000270907	0.0105164
b	0.00285153	0.871001	0.106913	0.00619141	0.000560576	0.0124821
v	0.00409135	0.858521	0.129938	0.00471898	0.00018161	0.00254981
á	0.00404284	0.899145	0.0876172	0.00787206	0.000464888	0.000858157
f	0.00197564	0.100268	0.574438	0.167685	0.0372772	0.118356
u	0.0075634	0.0492268	0.322733	0.3088	0.234444	0.0772329
l	0.00122625	0.0102095	0.120466	0.519621	0.237311	0.111167
ú	0.000207605	0.0128282	0.37759	0.476366	0.0790916	0.0539161
s	0.00144631	0.00613627	0.168194	0.567949	0.121547	0.134728
á	0.00131609	0.00351575	0.137087	0.379539	0.231753	0.246789
k	0.00731222	0.000616712	0.0146059	0.230809	0.69482	0.0518356
w	0.000184593	4.89055e-05	0.000705919	0.00883971	0.984464	0.00575721
e	0.000880974	0.000348439	0.00426343	0.0129383	0.959088	0.022481
b	1.28411e-05	0.00106893	0.0122152	0.0618418	0.757738	0.167124
h	3.94326e-05	0.0010804	0.00407716	0.021633	0.783074	0.190096
é	0.000585462	0.0102328	0.0339865	0.0499032	0.338131	0.567161
</S>	5.80843e-05	0.0059802	0.0191263	0.0674637	0.218136	0.689236
