 	il	est	borgne	de	naissance	</S>
w	0.935616	0.0233362	0.0106438	0.0167133	0.0133724	0.000318311
a	0.778859	0.012047	0.00750671	0.0711393	0.129922	0.000525776
a	0.245589	0.620688	0.0774786	0.0282191	0.00321647	0.0248081
d	0.0617399	0.627976	0.177315	0.0664571	0.00939557	0.0571164
i	0.0255456	0.399901	0.428123	0.0271446	0.00394642	0.115339
d	0.00326125	0.071566	0.515609	0.163128	0.00574138	0.240695
í	0.00218741	0.0332328	0.823931	0.0462723	0.000724463	0.0936521
s	0.00147126	0.0242295	0.502375	0.116852	0.0155477	0.339524
i	0.0029987	0.0216185	0.681295	0.156393	0.0163189	0.121376
i	0.00142624	0.0260577	0.388415	0.191795	0.224934	0.167372
b	0.00349376	0.0110979	0.0514634	0.0922303	0.553784	0.287931
h	0.0128165	0.0106108	0.0761013	0.185029	0.661415	0.054027
ω	0.000533309	0.00297339	0.0446655	0.0338316	0.821715	0.0962816
ώ	0.00158467	0.00698938	0.0366264	0.106824	0.239417	0.608559
</S>	0.00511627	0.0124366	0.0407935	0.219455	0.176059	0.54614
