 	ossoa	a	été	ordonné	prêtre	à	boundji	</S>
o	0.929014	0.0648225	0.001016	7.22038e-05	0.000712102	0.00296187	0.000705938	0.000695134
s	0.924358	0.0644394	0.00294833	0.00140929	0.00180486	0.00101327	0.00248118	0.00154536
o	0.979455	0.0165487	0.00181662	0.000640287	0.000871561	0.000275283	2.79932e-05	0.000364598
a	0.81288	0.0866134	0.0222316	0.00695869	0.00665252	0.00561819	0.00485163	0.054194
á	0.0263129	0.692773	0.250373	0.00677871	0.00198927	0.00190367	0.00052553	0.0193446
l	0.00396811	0.0460459	0.417561	0.516693	0.0109541	0.00195693	0.000238314	0.00258312
é	0.00285705	0.0644675	0.429245	0.476577	0.00767326	0.0061908	0.0013307	0.011659
á	0.00933788	0.0337968	0.290566	0.593258	0.0487041	0.0115511	0.00114045	0.011646
o	0.00230686	0.0229678	0.203599	0.360777	0.176115	0.16626	0.0137183	0.0542559
p	0.00316589	0.00152104	0.018302	0.126648	0.512013	0.25275	0.0710142	0.014586
έ	0.000719856	0.00384589	0.0437689	0.167253	0.681127	0.038603	0.0305725	0.0341105
l	0.0360219	0.0529689	0.105843	0.0535575	0.371546	0.0840895	0.105183	0.190791
ε	0.0100814	0.019188	0.0585385	0.0530911	0.327378	0.192521	0.129996	0.209206
ó	0.000684619	0.00312917	0.0144778	0.0090866	0.251359	0.51858	0.0849229	0.11776
m	0.00105586	0.000539599	0.00167226	0.0040176	0.21052	0.489471	0.258892	0.0338316
b	0.00594788	0.00374168	0.00182238	0.000730443	0.0250028	0.261571	0.527146	0.174038
o	0.0035406	0.00081272	0.000736878	0.000305748	0.0225725	0.148976	0.737427	0.085628
n	0.00169821	0.00115332	0.00385017	0.00160121	0.0374137	0.0894012	0.552533	0.31235
d	0.00463615	0.00334263	0.00355225	0.00243745	0.13511	0.222565	0.272039	0.356318
z	0.00186615	0.00283786	0.0047531	0.00487939	0.12275	0.0902785	0.522662	0.249973
i	0.00102875	0.00113796	0.00124505	0.00231468	0.150391	0.0398783	0.571512	0.232491
</S>	0.000258244	0.00228349	0.00521751	0.00374375	0.0490073	0.0540529	0.175466	0.70997
