 	l'	activité	commerciale	de	cette	femme	a	fait	faillite	</S>
o	0.760989	0.156972	0.00513433	0.0371723	0.0321116	0.000934009	0.00330942	0.0025359	0.000513545	0.000327116
y	0.135506	0.756683	0.0453442	0.00878126	0.00166943	0.00825438	0.00839507	0.0106573	0.0172954	0.00741375
ú	0.181492	0.669322	0.0912951	0.0173464	0.021126	0.0147832	0.0010601	0.00152965	0.00013678	0.00190861
r	0.424179	0.393983	0.0597478	0.0409184	0.0231511	0.00172233	0.00228999	0.0171495	0.00059032	0.0362687
u	0.453454	0.395201	0.0491794	0.0535466	0.0174404	0.00111719	0.00330527	0.0129573	0.0018995	0.0118986
w	0.336793	0.456152	0.0879077	0.0272544	0.0162442	0.00780552	0.0224158	0.0157793	0.00220542	0.0274432
ó	0.159991	0.138551	0.0573569	0.0908545	0.054867	0.00899286	0.178474	0.139137	0.0157426	0.156034
o	0.133671	0.13023	0.261001	0.121831	0.027678	0.0261772	0.108655	0.0469696	0.00406745	0.13972
m	0.025193	0.00496905	0.740049	0.0528592	0.00845968	0.0404181	0.0333924	0.0493476	0.0083494	0.0369627
b	0.0121052	0.0121619	0.838037	0.0487809	0.00787161	0.0778131	0.00114395	0.000495065	0.000381289	0.00120999
ó	0.000596166	0.000661495	0.924934	0.059761	0.00202025	0.00654848	0.00157379	0.000515915	0.00115917	0.00223012
n	0.060884	0.0217614	0.705466	0.15052	0.0171664	0.0299199	0.00253654	0.00183778	0.00159785	0.00830941
g	0.128009	0.122513	0.281181	0.247626	0.0776392	0.0397646	0.00957891	0.00516815	0.00154375	0.0869772
o	0.442789	0.0597138	0.149197	0.185303	0.143872	0.00918612	0.00115165	0.000295988	0.000302974	0.00818823
ó	0.00680215	0.0204239	0.124603	0.327322	0.118705	0.209843	0.134703	0.0415441	0.00276783	0.0132854
m	0.0233695	0.00498955	0.0763016	0.200001	0.124408	0.304726	0.157835	0.0856972	0.00890428	0.0137682
i	0.00969092	0.00389661	0.132592	0.194735	0.0961879	0.161247	0.122145	0.127554	0.00687088	0.145081
s	0.00766603	0.00317772	0.113974	0.214595	0.131256	0.158857	0.136963	0.1137	0.0102633	0.109547
á	0.00802102	0.00217453	0.0410361	0.296917	0.400218	0.014599	0.109808	0.0407535	0.00290552	0.0835665
á	0.00504881	0.0016498	0.00885311	0.144133	0.580255	0.0529757	0.145588	0.0448496	0.00344599	0.0132011
o	0.00539808	0.0019778	0.00788095	0.0587909	0.20912	0.100864	0.291768	0.20897	0.0635678	0.0516625
b	0.00295135	0.0016081	0.0210427	0.0215669	0.00473832	0.0409622	0.13917	0.291698	0.424134	0.0521271
v	0.00045865	0.000155924	0.0040533	0.0150065	0.00195193	0.000944081	0.0262728	0.0658748	0.870919	0.0143625
a	0.000396139	2.39295e-05	0.000663555	0.012855	0.00183268	0.000185313	0.0294552	0.0638724	0.872099	0.0186174
</S>	0.00124835	0.000234171	0.00110989	0.0114913	0.0158639	0.000366601	0.0424062	0.218692	0.152741	0.555846
