 	la	maison	que	tu	as	construite	a	une	courte	largeur	</S>
n	0.496202	0.410259	0.0565107	0.0156554	0.00625538	0.00353489	0.00536816	0.00271356	0.00269807	0.000634602	0.000168494
d	0.0702652	0.874842	0.00415378	0.0228537	0.0274917	0.000198726	6.75994e-05	5.60684e-05	4.59396e-05	1.71564e-05	8.4366e-06
é	0.048783	0.868739	0.00807352	0.0257887	0.0429549	0.00464833	0.000527918	0.000268931	5.34821e-05	4.03665e-05	0.000121379
e	0.118638	0.356757	0.168115	0.158224	0.121495	0.0707475	0.00217425	0.00118909	0.00101797	0.000139033	0.00150257
y	0.193703	0.0250795	0.552477	0.0623051	0.0628572	0.0441357	0.0225326	0.00779886	0.00369105	0.005951	0.0194687
é	0.324313	0.0603864	0.398756	0.0728482	0.0371062	0.0715995	0.0146308	0.00651677	0.00114572	0.000770709	0.0119261
é	0.196877	0.15962	0.319314	0.186887	0.0882523	0.033787	0.00698424	0.00234069	0.000282996	0.000155072	0.00550053
t	0.0230554	0.0071641	0.162857	0.0564419	0.147527	0.485973	0.0312309	0.0183511	0.00434891	0.00626396	0.0567859
ó	0.00148865	0.000164541	0.0335233	0.00582505	0.00984803	0.904374	0.0195627	0.00995462	0.00116059	0.00352735	0.010571
n	0.00521893	0.000632146	0.0624791	0.0183554	0.0219313	0.850571	0.0205252	0.00662045	0.00293135	0.000919041	0.00981588
g	0.0356889	0.0120207	0.0925349	0.0430178	0.0403255	0.698395	0.0346786	0.00912953	0.00172371	0.00356302	0.0289227
í	0.056661	0.00804892	0.17393	0.080471	0.0541257	0.586226	0.0146461	0.00456162	0.00191817	0.00165972	0.0177518
n	0.0333814	0.00483737	0.211747	0.278058	0.258278	0.0839318	0.101528	0.0125136	0.00234874	0.00218607	0.0111908
ω	0.00847851	0.0335652	0.0404029	0.405063	0.486898	0.01507	0.00586277	0.00136493	0.000251381	0.000191205	0.00285152
y	0.0030647	0.00369749	0.0762786	0.0615236	0.258397	0.220383	0.323451	0.0256606	0.00673738	0.00274173	0.018065
é	0.0942721	0.00351202	0.0609749	0.00956547	0.0429958	0.406354	0.304209	0.0472066	0.00333682	0.00982024	0.0177532
é	0.0209297	0.000988772	0.0661839	0.0583162	0.0967179	0.0450836	0.531614	0.132673	0.0211152	0.00775921	0.0186182
d	0.00910218	0.000841298	0.0287479	0.00669044	0.0507609	0.0324439	0.36947	0.388004	0.0522772	0.0294024	0.0322601
í	0.00473442	0.000356121	0.00250012	0.00116188	0.00499223	0.00407852	0.13716	0.424352	0.131391	0.0349912	0.254282
i	0.00286306	0.000281186	0.00171793	0.00212497	0.00392214	0.00183379	0.0857248	0.372211	0.362867	0.090727	0.0757271
b	0.0019634	0.000396484	0.0013014	0.000673658	0.00190051	0.0091535	0.0263514	0.179725	0.28264	0.297992	0.197903
a	0.000967851	0.000463498	0.000604919	0.000382827	0.000412087	0.00216895	0.00300936	0.0266362	0.182646	0.740416	0.0422921
a	0.000100078	2.69426e-05	0.000157579	0.000176028	0.000334136	0.00072594	0.00521761	0.0491669	0.422631	0.410347	0.111116
i	0.000427408	3.72979e-05	0.0012984	0.00064856	0.00122596	0.000247731	0.00882121	0.0697743	0.669839	0.103796	0.143884
k	0.00557195	0.000230906	0.00427585	0.000539327	0.00238497	0.0106247	0.0244676	0.059691	0.202121	0.384935	0.305157
í	0.000254752	2.64506e-05	0.000587328	9.5647e-05	0.000175276	0.00735916	0.00314651	0.022491	0.313525	0.582149	0.07019
ε	0.000934622	6.25148e-05	0.000822025	0.000458011	0.000359287	0.00258822	0.00315382	0.0182335	0.11885	0.532263	0.322275
έ	0.00187725	0.000128766	0.00110627	0.000378826	0.000752256	0.000672009	0.0111265	0.0486877	0.444215	0.153511	0.337545
</S>	0.00719184	0.000345896	0.00534208	0.000580327	0.00306616	0.00934318	0.0473808	0.0818618	0.102575	0.0542286	0.688085
