 	il	y	a	beaucoup	de	fougères	à	l'	entrée	de	notre	village	</S>
m	0.036624	0.113945	0.0655037	0.0468113	0.0648675	0.0753086	0.229666	0.203114	0.0244294	0.0869261	0.0393262	0.00703143	0.00644781
ó	0.000799889	0.00141051	0.00430074	0.0141061	0.0321683	0.110129	0.102655	0.116687	0.30338	0.133077	0.154521	0.0191478	0.00761778
n	0.00718991	0.00603734	0.00518787	0.0126635	0.00899779	0.0504432	0.0898161	0.0758178	0.376972	0.181917	0.0148365	0.14049	0.0296302
ω	0.00281127	0.00140328	0.00124654	0.00552605	0.0118903	0.0125464	0.0146303	0.0390317	0.465516	0.0266006	0.301321	0.0282736	0.0892033
ω	0.00418812	0.0149565	0.0108668	0.0318401	0.0514921	0.0324796	0.062633	0.122443	0.409997	0.103724	0.0462102	0.0049606	0.104208
m	0.0100533	0.0830157	0.170727	0.109388	0.0579772	0.0398654	0.0624287	0.111932	0.158262	0.0610536	0.0288955	0.0456264	0.0607749
á	0.0106654	0.0119555	0.0671814	0.041728	0.0597282	0.0682945	0.0276737	0.0540168	0.124903	0.119723	0.0229724	0.00773756	0.383421
p	0.0611252	0.0388917	0.0848029	0.0542568	0.0426579	0.0444313	0.0405665	0.0608081	0.0783989	0.0307301	0.140655	0.252226	0.0704503
o	0.0038406	0.0123209	0.0331918	0.0226163	0.00760181	0.00628984	0.0118249	0.0155979	0.0233455	0.0189541	0.010235	0.819406	0.0147752
o	0.000671043	0.00362316	0.0133363	0.0186813	0.0280023	0.0124463	0.0259926	0.0852615	0.172449	0.0808699	0.00776088	0.535673	0.0152326
y	0.00391677	0.0151527	0.0462511	0.0371075	0.0576699	0.0489959	0.0663505	0.100992	0.0655198	0.172707	0.198043	0.0136509	0.173643
á	0.00958689	0.0241158	0.0394171	0.0524905	0.131147	0.104053	0.0644943	0.157908	0.135048	0.104191	0.0900355	0.0514141	0.036098
b	0.00743831	0.0052823	0.0184443	0.021108	0.0731413	0.0324798	0.0253897	0.0591845	0.022544	0.0353192	0.597784	0.0356115	0.066273
í	0.0046029	0.00122971	0.00252242	0.00276445	0.00254568	0.000959693	0.00681417	0.00408451	0.00098422	0.0139904	0.950853	0.00495984	0.00368949
s	0.00178869	0.000393926	0.000772255	0.00142871	0.00227387	0.000897248	0.00296119	0.000963255	0.000464106	0.0025735	0.984017	0.000605916	0.000860541
í	0.00238086	0.00290052	0.00688416	0.0176373	0.0151595	0.00400097	0.0130148	0.0141537	0.035305	0.0448807	0.768347	0.00741234	0.0679229
é	0.000756214	0.00391934	0.0104076	0.0116678	0.0081772	0.00572597	0.0194938	0.0247658	0.0372263	0.168165	0.0558728	0.0332964	0.620525
d	0.00445133	0.0449203	0.18793	0.0472917	0.00899193	0.00363593	0.0113414	0.0206385	0.0586654	0.186596	0.0692754	0.00596099	0.350301
í	0.00021185	0.00214418	0.0108974	0.0167639	0.00440347	0.00399082	0.00475595	0.00854895	0.0172103	0.104039	0.137843	0.00115624	0.688034
l	0.00164188	0.00841292	0.0340945	0.0450435	0.039291	0.0112495	0.0171914	0.0468256	0.0113479	0.0962758	0.352752	0.00631864	0.329555
i	0.00676386	0.016853	0.0568258	0.0560788	0.017059	0.0089182	0.0165981	0.0168954	0.0190743	0.0647025	0.305259	0.00562606	0.409346
s	0.00151935	0.0087299	0.0216834	0.05045	0.0324808	0.0124249	0.013344	0.0418804	0.0250404	0.114056	0.520975	0.027268	0.130148
y	0.000145066	0.0023092	0.00906675	0.0236823	0.0134745	0.0155716	0.0037013	0.0261698	0.0767653	0.107206	0.499598	0.0174864	0.204824
έ	0.000453273	0.00177898	0.00579165	0.0195132	0.0145244	0.030401	0.00609463	0.0238743	0.125509	0.239612	0.241748	0.0457101	0.244989
έ	8.98684e-05	0.000780768	0.00376101	0.00892576	0.00969508	0.0101541	0.00954336	0.0162195	0.0800125	0.408906	0.0559929	0.00256621	0.393353
l	0.000570225	0.0082614	0.0281447	0.0333584	0.0273082	0.0271775	0.0323137	0.0413068	0.0562524	0.186512	0.107338	0.00297585	0.448481
έ	0.00214623	0.0123832	0.029331	0.0329508	0.0139738	0.0111222	0.0257757	0.0139265	0.0323464	0.149717	0.149315	0.00974672	0.517265
</S>	0.00063588	0.00339472	0.00921696	0.0122877	0.0171755	0.00574225	0.00623479	0.0088885	0.00564646	0.0402755	0.668603	0.00303905	0.21886
