 	cet	enfant	grignotte	le	repas	</S>
m	0.862335	0.127503	0.00319041	0.00559404	0.00132491	5.3094e-05
w	0.103976	0.878307	0.00955441	0.00346972	0.000179939	0.00451275
á	0.00337707	0.996437	0.000159303	5.14432e-06	1.86334e-05	3.14848e-06
n	0.147211	0.847115	0.00195051	0.000674623	0.000481668	0.00256749
a	0.0284552	0.946045	0.00162521	0.000965695	0.00188636	0.0210224
w	0.794415	0.0382447	0.075328	0.0726327	0.0134551	0.00592437
ó	0.543258	0.0584068	0.17627	0.0699626	0.0693508	0.082752
l	0.237279	0.0186733	0.233328	0.176131	0.0591737	0.275414
á	0.0418304	0.010888	0.0983117	0.159844	0.0376827	0.651443
a	0.42792	0.0486346	0.159633	0.224298	0.0826471	0.0568674
t	0.00560667	0.00575235	0.948842	0.0134854	0.00209866	0.0242149
u	0.00157148	0.000125157	0.976059	0.00736828	0.00208848	0.0127877
n	0.0110197	0.000375587	0.890546	0.0328241	0.00824908	0.0569858
y	0.0350855	0.00289929	0.799212	0.104617	0.0276374	0.0305492
á	0.04684	0.00771752	0.42811	0.272521	0.174066	0.0707463
á	0.0211721	0.0028254	0.0812337	0.45419	0.400747	0.0398309
b	0.00932995	0.00312465	0.0385259	0.437287	0.320091	0.191641
e	0.00115515	0.00168473	0.00291565	0.0466219	0.936745	0.010878
a	0.000985168	0.000498861	0.0247233	0.0892774	0.464986	0.41953
</S>	0.00191345	0.000116106	0.0174222	0.149097	0.179475	0.651976
