 	les	bananes	sont	mures	</S>
a	0.467509	0.515612	0.0158504	0.000948164	8.01336e-05
k	0.0831985	0.826959	0.0467214	0.0392404	0.00388122
ω	0.0239625	0.935937	0.00771013	0.0276395	0.00475148
á	0.118994	0.440105	0.339196	0.0447474	0.056958
m	0.13008	0.00474153	0.788927	0.0110736	0.0651774
i	0.112649	0.000949875	0.336006	0.12036	0.430035
b	0.147877	0.00971187	0.156984	0.406154	0.279273
ε	0.035125	0.00439632	0.0234982	0.911776	0.0252045
n	0.056508	0.0253991	0.0568236	0.733022	0.128247
g	0.654185	0.0198494	0.0537724	0.220827	0.0513655
ε	0.768962	0.00628635	0.00996462	0.164883	0.0499039
</S>	0.125152	0.00256631	0.236244	0.108992	0.527046
