 	le	cabri	qui	sera	offert	aux	beaux-parents	est	attaché	</S>
m	0.710266	0.0818319	0.126741	0.0458971	0.00575962	0.00997039	0.011025	0.00668529	0.00104521	0.000778251
b	0.0328313	0.940404	0.0117846	0.00623298	0.000375503	0.00142148	7.18608e-05	0.000157642	0.000182959	0.00653761
ó	0.0301337	0.909703	0.01823	0.0336983	0.00655817	0.00101625	0.000170509	3.90126e-05	0.000291232	0.000159633
s	0.078051	0.84946	0.014923	0.040995	0.0128684	0.00223343	9.6497e-05	8.44135e-05	0.000320447	0.000968107
i	0.426817	0.144385	0.117901	0.239596	0.0338679	0.0104105	0.00136834	0.00169927	0.00897082	0.0149849
y	0.0888889	0.0468624	0.586427	0.188532	0.0404924	0.0336272	0.00497156	0.00589624	0.000238925	0.00406336
i	0.310013	0.146055	0.347268	0.151826	0.00609857	0.0169694	0.00040977	0.00514497	0.00290301	0.0133121
y	0.166376	0.0271356	0.490157	0.241095	0.00952148	0.0353118	0.00147201	0.00961224	0.00244706	0.0168722
a	0.166135	0.185306	0.47226	0.14428	0.0053899	0.010874	0.000294857	0.00184027	0.00170896	0.0119112
m	0.296478	0.0251915	0.364472	0.245418	0.00598574	0.0371309	0.000702538	0.00425661	0.00280566	0.0175604
b	0.365191	0.328461	0.0220518	0.140695	0.033363	0.0972374	0.000239502	0.000570735	0.000100622	0.0120902
a	0.0803086	0.235958	0.0121168	0.187944	0.301446	0.125736	0.0026796	0.00149847	0.000590415	0.0517226
l	0.114738	0.0856691	0.030385	0.231463	0.261826	0.20973	0.0119707	0.00391154	0.000282813	0.0500235
á	0.104216	0.0183874	0.22544	0.262459	0.0966841	0.169882	0.0269522	0.00980086	0.00192371	0.0842546
a	0.0219172	0.000668497	0.065939	0.158807	0.0877589	0.382575	0.153568	0.110819	0.00657132	0.0113762
b	0.00407942	0.000851851	0.006201	0.0482549	0.161138	0.179188	0.443775	0.115753	0.0250019	0.0157566
v	0.00651989	0.000399529	0.00118842	0.0342506	0.406074	0.0959447	0.413128	0.0331586	0.0029866	0.00634894
ú	0.00501618	0.000364736	0.00291488	0.0314882	0.227889	0.241674	0.32758	0.133532	0.00517556	0.0243644
ε	0.0154092	0.00200305	0.00961915	0.0445072	0.0457975	0.258959	0.176988	0.270479	0.0827875	0.09345
a	0.00126996	0.000344936	0.00342216	0.00676548	0.00387268	0.0768467	0.141051	0.6098	0.111418	0.0452092
d	0.00487351	0.0021125	0.00390618	0.00950626	0.0111584	0.0263811	0.0448479	0.527019	0.322547	0.047648
í	0.00846377	0.00660415	0.00243178	0.00299549	0.000824789	0.0101854	0.00367673	0.360447	0.265718	0.338652
o	0.00173009	0.00023624	0.00217623	0.0031143	0.0011673	0.0215979	0.0290838	0.360796	0.320391	0.259707
k	0.00155064	0.00198651	0.000235685	0.00110577	0.00221093	0.00137346	0.00481536	0.0373938	0.902268	0.0470593
ó	0.000501384	0.000309783	0.000305626	0.00258196	0.00633797	0.00144721	0.0756788	0.0281855	0.855789	0.0288622
r	0.00280438	0.000212022	0.000661352	0.00367469	0.00404556	0.0160507	0.102321	0.111505	0.672585	0.0861411
á	0.00154985	0.000370254	0.00053109	0.00298534	0.00197028	0.00690588	0.0192737	0.0570165	0.744158	0.165239
k	0.0174799	0.00291465	0.00866107	0.0138665	0.0034646	0.0312262	0.00816261	0.194898	0.218403	0.500924
o	0.00989586	0.0119605	0.0180634	0.00715975	0.00499182	0.011358	0.171672	0.15057	0.260832	0.353497
r	0.00496879	0.00604399	0.00116877	0.0090339	0.0129292	0.0145931	0.0251274	0.0284872	0.704407	0.19324
a	0.000812972	0.00125017	0.000388417	0.0031033	0.00181754	0.00515047	0.00619123	0.0159167	0.70373	0.261639
</S>	0.0132435	0.00643125	0.0125341	0.0238683	0.00385321	0.0225463	0.0145378	0.0671315	0.392928	0.442926
