 	elle	était	au	bord	des	larmes	</S>
w	0.963387	0.024672	0.00772447	0.00161136	0.0023711	9.38888e-05	0.00014051
a	0.855213	0.0342112	0.0713365	0.00716413	0.0315731	0.000282232	0.000220151
a	0.344053	0.36976	0.204473	0.0252789	0.0288288	0.0046264	0.0229798
b	0.124982	0.249899	0.381851	0.118088	0.0556385	0.0233815	0.0461594
h	0.0502935	0.0890863	0.488693	0.24948	0.0422996	0.00343617	0.0767117
i	0.0375789	0.0840602	0.561871	0.205172	0.0527828	0.00352808	0.0550064
l	0.0879269	0.114172	0.487678	0.193874	0.0405386	0.00346318	0.0723463
á	0.127317	0.0589041	0.364843	0.169953	0.0765663	0.025854	0.176562
a	0.1911	0.0921579	0.217196	0.252122	0.141249	0.0719595	0.0342158
y	0.00340111	0.0890295	0.266978	0.406033	0.0277707	0.185197	0.0215896
é	0.000366544	0.166741	0.120514	0.0844322	0.0291803	0.542998	0.0557677
n	0.00037209	0.00786593	0.193358	0.162631	0.100632	0.218041	0.3171
g	0.00275907	0.0189839	0.284676	0.26122	0.213488	0.137649	0.0812249
á	0.114294	0.0539793	0.411633	0.193632	0.105243	0.0392072	0.0820118
o	0.0148245	0.0050527	0.0708807	0.101171	0.273425	0.338465	0.196181
l	0.000889398	0.023769	0.0384888	0.0317922	0.149647	0.654023	0.10139
e	0.00119482	0.0476699	0.0770885	0.0257648	0.177581	0.488643	0.182057
a	0.000208007	0.00730059	0.0264995	0.0179551	0.0837084	0.119107	0.745221
</S>	0.00386415	0.0016836	0.0261657	0.0139927	0.243284	0.125915	0.585095
