 	cet	assesseur	a	le	pouvoir	mystique	de	retenir	les	faits	</S>
o	0.601866	0.314425	0.0374287	0.0183814	0.00806514	0.00139816	0.0122743	0.00392374	0.00211257	6.24363e-05	6.19799e-05
b	0.0876205	0.838548	0.0361764	0.0107525	0.00455453	0.00345431	0.00464519	0.0104221	0.000872855	0.000459145	0.00249438
é	0.108561	0.673512	0.015248	0.0135382	0.169651	0.00699966	0.00216928	0.00496677	0.000880857	0.0036708	0.000802851
l	0.0245105	0.642625	0.0660911	0.04358	0.100735	0.010057	0.00544554	0.0214448	0.0019593	0.00523136	0.0783203
a	0.45429	0.363557	0.0650218	0.0351236	0.0165137	0.009029	0.012119	0.0126515	0.00521726	0.00129022	0.0251863
m	0.294458	0.127274	0.364766	0.101168	0.0133449	0.0224079	0.00531572	0.00158206	0.0094836	0.00224765	0.057952
ú	0.57935	0.0100994	0.244287	0.0945643	0.00874541	0.00616524	0.00912957	0.00056897	0.0207845	0.00328565	0.0230201
ó	0.116184	0.026602	0.491201	0.289873	0.0144942	0.0135632	0.0152929	0.00237828	0.00605345	0.0108732	0.0134851
m	0.0146005	0.0185001	0.41981	0.353618	0.120428	0.0382891	0.00607154	0.00496008	0.00297486	0.0101079	0.0106401
i	0.0907814	0.0233917	0.192865	0.324423	0.0580826	0.0110049	0.00880744	0.0014396	0.033975	0.23	0.0252288
k	0.0131733	0.00726194	0.106727	0.260041	0.556122	0.00993354	0.00559736	0.0111522	0.00274908	0.0160967	0.0111453
o	0.000888002	0.0030121	0.0454097	0.0997365	0.741247	0.0306197	0.00649769	0.0536648	0.000747122	0.00113482	0.0170425
b	0.000929877	0.00129926	0.0184251	0.0284671	0.918043	0.007265	0.00292234	0.0163218	0.000813606	0.000185414	0.00532803
h	0.0374185	0.0040542	0.0400571	0.043852	0.488985	0.0225493	0.0489974	0.221462	0.00334933	0.000341145	0.0889334
á	0.0574595	0.00572484	0.0387662	0.0668611	0.61062	0.0227836	0.0484624	0.0268603	0.0125097	0.00125183	0.108701
e	0.0176555	0.000981027	0.0835056	0.148391	0.0310096	0.375384	0.221619	0.0180235	0.079911	0.0117477	0.0117716
m	0.00186354	0.00250008	0.0310197	0.0671168	0.100039	0.372623	0.162839	0.176905	0.0228077	0.0288782	0.0334095
b	0.0102859	0.00121735	0.00714814	0.0168766	0.01885	0.0149632	0.0192365	0.00942315	0.125785	0.75954	0.0166749
a	0.00216176	0.00276829	0.00939043	0.0705084	0.129639	0.00537631	0.0161399	0.0439244	0.0925651	0.598586	0.0289411
r	0.00447104	0.00128952	0.0258803	0.119252	0.275779	0.0441671	0.0856619	0.138831	0.102051	0.15313	0.049488
á	0.0143412	0.0064205	0.0224044	0.0634445	0.0269536	0.0533184	0.220146	0.239601	0.0684464	0.0325379	0.252386
a	0.00242893	0.000304103	0.0152723	0.0153348	0.00248072	0.104762	0.235306	0.0625441	0.469951	0.0233848	0.0682305
</S>	0.00227135	0.00213726	0.0291175	0.031542	0.00727354	0.0506014	0.143907	0.0938114	0.401641	0.141124	0.0965734
