 	la	mou-	che	dépose	les	asticots	sur	la	viande	</S>
i	0.292562	0.522989	0.158471	0.00468512	0.00678645	0.00805465	0.00412133	0.00216262	7.19927e-05	9.54587e-05
k	0.0590825	0.854783	0.0467571	0.00753336	0.00134218	0.0257244	0.00136164	0.00190872	0.00013894	0.00136799
i	0.00397164	0.843667	0.0809044	0.00886038	0.00238864	0.0493687	0.00226704	0.00364394	0.000729862	0.00419875
n	0.0267588	0.673373	0.268214	0.00848614	0.00254839	0.00747362	0.00229922	0.0036111	0.00168281	0.00555339
y	0.158542	0.683692	0.102222	0.00751932	0.0063579	0.0028715	0.00631314	0.0044952	0.00119894	0.0267868
i	0.138954	0.504388	0.169514	0.011785	0.0138348	0.00182293	0.0126851	0.00894538	0.0162961	0.121774
l	0.211677	0.0467807	0.514055	0.0813485	0.0399084	0.0119945	0.0356811	0.0115515	0.000493166	0.0465106
í	0.267804	0.0340223	0.174095	0.0722328	0.0729741	0.009184	0.0530184	0.0190446	0.0103241	0.2873
i	0.417687	0.0558017	0.283932	0.0835057	0.0414946	0.00394414	0.0212295	0.0176179	0.0173879	0.0573992
n	0.0163215	0.0204963	0.143143	0.743654	0.01453	0.00631225	0.00803465	0.00564916	0.00119702	0.0406618
y	0.0246172	0.0366186	0.0534396	0.855508	0.00773392	0.0066201	0.00173483	0.00144448	0.0035104	0.00877289
a	0.00650927	0.171608	0.0370742	0.731633	0.0243726	0.00486318	0.00196774	0.00181887	0.0157343	0.00441869
á	0.0214601	0.0694712	0.0918339	0.598036	0.14472	0.0526788	0.00848064	0.00643334	0.00178765	0.00509896
a	0.0474168	0.00520072	0.0431436	0.192077	0.61023	0.0207452	0.049782	0.0147701	0.00639476	0.0102397
k	0.0283825	0.00137129	0.00565966	0.132859	0.492459	0.146157	0.135775	0.0316396	0.0100946	0.0156016
i	0.00199773	0.00209903	0.00526466	0.0702087	0.113363	0.554135	0.156695	0.0512374	0.0018146	0.0431857
s	0.00308419	0.00461125	0.0165737	0.0650859	0.126728	0.599184	0.110138	0.0293165	0.00258891	0.0426899
í	0.0290149	0.0280745	0.0229637	0.062821	0.255147	0.0898756	0.248379	0.0721622	0.0308942	0.160669
s	0.00731245	0.000729622	0.00259774	0.0108319	0.304579	0.0602498	0.405519	0.0937225	0.0262691	0.0881897
a	0.010592	0.00364942	0.00395833	0.0257562	0.249459	0.0420772	0.116902	0.0552782	0.296543	0.195786
a	0.00678285	0.00413791	0.00207114	0.00614423	0.231886	0.0463594	0.237865	0.102482	0.237823	0.124448
m	0.00652243	0.00161411	0.00307214	0.0203935	0.0574686	0.184366	0.415011	0.203703	0.0337616	0.0740868
ó	0.00609623	0.00342957	0.00464126	0.0397419	0.0380802	0.00301527	0.207585	0.506457	0.0673243	0.12363
n	0.0118781	0.0280296	0.0531214	0.0354659	0.0385708	0.119581	0.254676	0.334943	0.0364545	0.0872802
y	0.0355882	0.0148304	0.0141761	0.0422751	0.0436675	0.0308852	0.122702	0.139141	0.4628	0.0939348
a	0.00203654	0.00232077	0.000121784	0.00102633	0.00581982	0.000450664	0.00839652	0.0136572	0.950392	0.0157785
m	0.00822712	0.0060857	0.00357503	0.0146265	0.0518147	0.0920568	0.0774401	0.0931103	0.336818	0.316246
a	0.00820561	0.00634215	0.00180083	0.00127651	0.0387049	0.0287259	0.138541	0.246797	0.218072	0.311534
</S>	0.00902945	0.00046906	0.00100931	0.00120567	0.0161484	0.00631585	0.10592	0.102048	0.0366556	0.721199
