 	notre	mère	a	mis	la	hotte	au	dos	</S>
n	0.76987	0.152617	0.041608	0.0177563	0.0123439	0.00110473	0.00346993	0.00118967	4.02695e-05
g	0.55715	0.441755	0.000428023	0.00030074	0.000239065	8.82651e-06	7.33258e-05	3.99669e-05	5.12516e-06
ó	0.0950091	0.901805	0.00247655	0.000289512	0.000249978	2.84819e-05	2.91768e-05	0.000109151	3.42012e-06
o	0.138497	0.833474	0.0146414	0.00510263	0.0033504	0.000678815	0.000728315	0.0015053	0.00202189
y	0.497901	0.0912423	0.325302	0.0381064	0.0139974	0.00718958	0.0157699	0.000785068	0.00970662
a	0.933206	0.0089522	0.0373482	0.00280743	0.00269129	0.00182438	0.00484123	0.000338978	0.00799088
b	0.967311	0.0012911	0.0263832	0.00110473	0.000649502	0.000565507	0.000939021	4.31517e-05	0.00171257
í	0.957405	0.0011593	0.0170561	0.0063166	0.00704203	0.00350809	0.00221897	0.00418781	0.00110601
s	0.993136	0.00109891	0.00353326	0.000935884	0.000533473	0.000402853	0.000139311	2.31139e-05	0.000197622
í	0.525248	0.0148675	0.304899	0.0188886	0.0237745	0.0146594	0.0164784	0.00238319	0.0788007
á	0.00860761	0.000453578	0.785627	0.151268	0.0236122	0.00320731	0.0148567	0.00120491	0.0111622
m	0.00127188	0.000245553	0.281463	0.628616	0.0704087	0.00525758	0.00449105	0.000922458	0.00732327
i	0.000530579	2.67902e-05	0.340178	0.493812	0.106559	0.022327	0.0176379	0.00214694	0.0167813
k	0.000440547	7.68832e-05	0.172715	0.687846	0.104003	0.0193567	0.00467666	0.00263162	0.00825368
a	2.54424e-05	4.04481e-05	0.0426276	0.676728	0.215547	0.0148777	0.00675221	0.0250278	0.0183744
n	9.90884e-05	7.26082e-05	0.0483243	0.476575	0.373988	0.0699411	0.00644396	0.0124014	0.0121546
á	0.000427246	6.74167e-06	0.0671331	0.541733	0.329231	0.0296296	0.00796378	0.00386566	0.02001
m	0.000919679	4.22649e-05	0.0511401	0.105434	0.320348	0.245909	0.251577	0.0143721	0.010257
ú	0.000799933	3.98642e-06	0.00173687	0.00284574	0.0536815	0.864248	0.0156363	0.000295328	0.0607523
a	2.0209e-05	5.18491e-06	0.00628844	0.0251707	0.223268	0.638422	0.0422412	0.0131114	0.0514733
m	0.000640832	1.81393e-05	0.0036688	0.0101	0.0452816	0.0260053	0.389787	0.485836	0.0386624
ó	9.66733e-05	1.37011e-05	0.00878155	0.00634925	0.0385022	0.290024	0.2146	0.0199496	0.421683
k	9.34338e-05	0.000154549	0.00244429	0.00221592	0.0131896	0.00953521	0.0688985	0.839476	0.0639922
ω	3.41849e-07	2.15673e-06	9.94641e-05	0.00102376	0.00196268	0.000425702	0.00312315	0.982412	0.010951
r	8.08119e-06	1.60971e-06	7.08738e-05	0.00111211	0.00141659	0.000155503	0.00151718	0.993875	0.00184297
ω	5.76227e-05	3.01724e-06	0.000323707	0.00345107	0.0121064	0.004499	0.0115061	0.897091	0.0709615
</S>	0.00157723	5.31974e-06	0.00268544	0.0111218	0.0399995	0.0338731	0.376763	0.20011	0.333865
