 	sa	manière	de	nous	apprendre	à	écrire	est	mauvaise	</S>
e	0.301551	0.63457	0.037785	0.0146976	0.00290254	0.00568003	0.000997894	0.00157207	0.000213733	3.0591e-05
l	0.0304957	0.0433915	0.0318224	0.0311517	0.614472	0.181028	0.048293	0.00316547	0.0138653	0.00231432
a	0.0300202	0.0959424	0.111596	0.007771	0.239725	0.235982	0.123421	0.0129013	0.020491	0.12215
a	0.0232805	0.182763	0.340749	0.0359383	0.134297	0.072373	0.0466127	0.0152215	0.0377211	0.111044
s	0.216526	0.25385	0.374574	0.038126	0.0255151	0.0206597	0.00241932	0.0186978	0.00457609	0.0450561
í	0.155286	0.104289	0.334269	0.0114484	0.18195	0.0712841	0.00879394	0.0261678	0.00839688	0.0981141
l	0.0777129	0.193108	0.319655	0.35103	0.0196793	0.00826169	0.00144816	0.00710448	0.000964311	0.0210355
í	0.0817168	0.0842217	0.391848	0.0782461	0.0556562	0.0533029	0.00203018	0.0154149	0.00279285	0.23477
y	0.104893	0.173377	0.480434	0.103537	0.0494895	0.02189	0.00525919	0.0140538	0.00279621	0.0442695
é	0.0510469	0.0672403	0.517913	0.00743225	0.295979	0.0254501	0.00647577	0.00381876	0.00115636	0.023487
é	0.0564326	0.0969755	0.465386	0.0490283	0.156882	0.0522932	0.010735	0.0196982	0.00321479	0.0893551
l	0.00331503	0.00431764	0.0410324	0.0316152	0.74178	0.114492	0.029749	0.00398594	0.00613422	0.0235794
a	0.00975134	0.00731799	0.231488	0.0256431	0.512013	0.090672	0.0251527	0.00576486	0.016069	0.0761283
a	0.00604823	0.0128351	0.118498	0.0115005	0.582658	0.139611	0.0349368	0.00295065	0.00537296	0.085589
s	0.00421526	0.00979222	0.144488	0.376275	0.206827	0.175572	0.0137057	0.0337174	0.0058163	0.0295906
á	0.0186504	0.00789091	0.162856	0.0243726	0.476533	0.173287	0.0461762	0.015677	0.00336624	0.0711905
w	0.0102517	0.010334	0.0814032	0.65904	0.0687998	0.106	0.0232732	0.0247585	0.00437414	0.011766
a	0.0139048	0.0119843	0.0715866	0.659866	0.0933065	0.0596399	0.0522056	0.0171458	0.0042405	0.01612
b	0.000821493	0.00179691	0.0455569	0.243544	0.131496	0.307604	0.0792306	0.106159	0.0101597	0.0736316
í	0.0314756	0.0185231	0.0621632	0.620097	0.0817161	0.0575968	0.0800137	0.026069	0.00887376	0.0134713
s	0.00347026	0.00766168	0.0303161	0.90652	0.00545826	0.0139652	0.00853996	0.00532981	0.00320406	0.0155342
í	0.00915652	0.00526074	0.0775391	0.300357	0.133787	0.248529	0.0416072	0.0261131	0.0130867	0.144563
i	0.00940289	0.00914206	0.0635923	0.197182	0.0619712	0.173754	0.0510947	0.315242	0.0347535	0.0838653
k	0.000825982	0.000405909	0.0032671	0.00232394	0.05112	0.13296	0.639352	0.0639201	0.0724559	0.0333695
y	7.92526e-05	0.000113848	0.00054	0.000437829	0.0109789	0.0499941	0.862418	0.0123377	0.044399	0.0187009
έ	0.00096828	0.000910912	0.00279763	0.00368839	0.0194741	0.0398812	0.786638	0.0211952	0.0605477	0.0638984
m	0.000645953	0.000600098	0.00625233	0.0113712	0.00679895	0.0834721	0.500329	0.138221	0.101609	0.1507
b	0.00127625	0.000551245	0.00142967	0.00576438	0.00575582	0.0253439	0.656562	0.0756603	0.0546083	0.173048
ε	0.011111	0.00831766	0.0151512	0.0157286	0.00356531	0.034484	0.533591	0.0821	0.0891649	0.206786
é	0.00258225	0.000997063	0.00428316	0.00280076	0.00198171	0.0160881	0.0198168	0.385787	0.254567	0.311096
d	0.00620674	0.00379532	0.0348325	0.0224148	0.0140267	0.0595967	0.00810499	0.468089	0.276068	0.106865
i	0.00348964	0.000932358	0.0107551	0.0058444	0.00415597	0.0207656	0.00261554	0.091436	0.310643	0.549362
e	0.00270001	0.00097394	0.00348437	0.00489075	0.00131119	0.020997	0.00513642	0.241748	0.370274	0.348483
b	0.00146218	0.000843394	0.00242908	0.00815604	0.00510785	0.0101783	0.0127448	0.0684315	0.512499	0.378148
é	0.00128215	0.00248676	0.019681	0.197374	0.0044822	0.0276972	0.0119425	0.0478266	0.629549	0.0576782
</S>	0.00150954	0.00203293	0.00781093	0.0299604	0.00255048	0.00533081	0.0114223	0.00862608	0.452132	0.478625
