 	je	voudrais	le	voir	pour	discuter	avec	lui	de	cette	affaire	</S>
n	0.907712	0.0163959	0.0451165	0.0054986	0.00622562	0.000930106	0.000931248	0.00230346	0.00579063	0.00577021	0.00303364	0.000291989
g	0.994134	0.00267061	0.00175612	0.000572424	0.000289132	3.13165e-06	1.08482e-05	7.95949e-05	0.000137312	0.000290177	3.6759e-05	2.022e-05
á	0.992907	0.00304501	0.0010794	0.00110433	0.000577905	4.0549e-05	6.71651e-05	0.000276195	0.000244041	0.000422221	0.000139139	9.73424e-05
i	0.328861	0.189544	0.0852004	0.0260457	0.0521305	0.0228432	0.0249042	0.0404826	0.0365688	0.060933	0.0376519	0.0948357
d	0.0482708	0.725406	0.0492558	0.0611982	0.0166845	0.013198	0.0130274	0.00989584	0.00804016	0.00345564	0.0111912	0.0403767
í	0.126038	0.478396	0.0697294	0.0297657	0.0245699	0.00993664	0.00676033	0.00904193	0.0052682	0.00225466	0.0048487	0.23339
l	0.0178109	0.526693	0.216685	0.0282642	0.0530678	0.0101816	0.0139116	0.0169327	0.0179376	0.0180306	0.00823191	0.0722529
a	0.0192167	0.657175	0.160465	0.038084	0.0177451	0.00560294	0.00626071	0.0101748	0.00376587	0.00171191	0.000925808	0.0788719
p	0.0019863	0.701855	0.178301	0.0342376	0.0207958	0.00690222	0.00410289	0.00574935	0.00595323	0.00907325	0.00159752	0.029446
ó	0.0020265	0.569777	0.273096	0.0251933	0.0107312	0.0109181	0.00716745	0.0071555	0.00941923	0.00172713	0.0249931	0.057795
s	0.00118527	0.444863	0.368972	0.0738669	0.0318703	0.0167571	0.0120535	0.0104369	0.0114617	0.00549117	0.00170162	0.0213402
á	0.000428236	0.224047	0.376491	0.0797566	0.054572	0.0153462	0.0262224	0.0253562	0.0361744	0.0107734	0.0234657	0.127367
ω	0.00896468	0.0764522	0.356685	0.207185	0.12358	0.0612264	0.0316772	0.023142	0.0216006	0.0414361	0.012928	0.0351232
t	0.00224383	0.0460627	0.168327	0.604649	0.0926009	0.0477574	0.0141642	0.00270041	0.00295903	0.00204281	0.0108374	0.00565552
á	0.000271265	0.0944065	0.277673	0.312048	0.0584145	0.0653119	0.0285256	0.0133627	0.0205428	0.00794243	0.0233853	0.0981165
á	0.000316177	0.0972597	0.145974	0.219613	0.029634	0.0473041	0.0346348	0.0237573	0.0271346	0.0103242	0.0287786	0.335269
w	0.00119004	0.00875357	0.0452096	0.11404	0.266309	0.270799	0.134541	0.0613564	0.0294296	0.0316331	0.0138644	0.0228737
a	0.00214383	0.0165285	0.130486	0.16178	0.107009	0.191575	0.123209	0.0887043	0.069812	0.0258867	0.0151067	0.0677583
m	0.000431705	0.0045398	0.0263401	0.0633654	0.164259	0.27511	0.142509	0.0642163	0.0652203	0.0932072	0.0386822	0.0621196
ó	7.25539e-06	0.000368832	0.00345228	0.00294405	0.0706735	0.27721	0.168624	0.104071	0.0784952	0.192814	0.0385963	0.0627439
i	0.000717835	0.00213675	0.0225625	0.0308922	0.172881	0.154995	0.0702495	0.0492526	0.0658396	0.159153	0.249717	0.0216036
m	8.75186e-05	0.00226924	0.00748022	0.0188482	0.0655063	0.207114	0.184596	0.0578949	0.0840498	0.0525377	0.226203	0.093412
ω	6.44524e-06	0.00035394	0.00189372	0.00105111	0.043953	0.421458	0.204621	0.055282	0.0367705	0.153153	0.0521808	0.0292759
ω	4.0445e-06	0.000345937	0.00191986	0.00234165	0.0637557	0.0814001	0.130793	0.0750599	0.152866	0.236903	0.211696	0.0429158
m	7.14026e-05	0.00218345	0.00701267	0.0107433	0.0419948	0.0621999	0.095974	0.0912704	0.205633	0.185952	0.167532	0.129433
ó	2.89089e-05	0.000600464	0.00285074	0.00133629	0.0480528	0.313714	0.215877	0.0592841	0.054733	0.213545	0.0473384	0.0426392
i	0.000180607	0.0029212	0.0134613	0.00988264	0.0636982	0.0240334	0.0349761	0.0513857	0.128088	0.45055	0.155475	0.0653482
b	0.000122198	0.0058414	0.00855312	0.013027	0.0346482	0.0335101	0.0593533	0.0689602	0.167909	0.177463	0.23999	0.190622
h	0.000125644	0.00087408	0.0201699	0.011786	0.027173	0.00245353	0.0288282	0.063362	0.103574	0.0531363	0.664114	0.0244032
ώ	4.92741e-05	0.000508728	0.00595361	0.00311169	0.0125259	0.00253166	0.0300605	0.101358	0.184877	0.0553417	0.525115	0.0785672
ω	3.04045e-06	0.000564417	0.00183626	0.00266384	0.0274857	0.0132137	0.0608687	0.0808491	0.276171	0.1603	0.144845	0.231199
d	7.43339e-05	0.0012153	0.00694609	0.00935672	0.0465026	0.0161207	0.0612466	0.127317	0.231184	0.275083	0.0597968	0.165157
í	0.000144388	0.00600939	0.00636761	0.014322	0.0242798	0.00357646	0.0237226	0.0684007	0.173449	0.274665	0.0116601	0.393404
i	2.43192e-05	0.00115806	0.00177576	0.0019461	0.0110814	0.00232636	0.00952025	0.033409	0.124051	0.342455	0.037861	0.434391
</S>	0.000494513	0.00802597	0.0139471	0.0155238	0.0499517	0.0305577	0.0556435	0.0699123	0.146173	0.241702	0.0989154	0.269153
