 	je	m'	étonnais	de	voir	quelqu'	un	en	cache-sexe	en	haut	du	palmier	</S>
n	0.895908	0.0413757	0.0206521	0.0251799	0.00267978	0.0084037	0.00206576	0.00161905	0.000295556	0.00107363	0.000283086	0.000307016	0.000145686	1.0497e-05
g	0.920173	0.0552955	0.0196285	0.00329889	0.00021739	0.00065058	0.000194555	0.00013437	0.000292341	4.01593e-05	7.81106e-06	1.32214e-05	5.02861e-05	3.31011e-06
á	0.828179	0.157322	0.00493591	0.00461292	0.00169789	0.00136331	0.000846342	0.000393915	0.000406416	3.45879e-05	1.55532e-05	3.65164e-05	0.000152754	2.56908e-06
í	0.147914	0.294078	0.0574755	0.132502	0.0650096	0.0883917	0.0359612	0.0287567	0.00697908	0.0262603	0.00773197	0.0138802	0.0147452	0.0803148
k	0.0444485	0.0614831	0.533133	0.0297163	0.228375	0.0396631	0.0265105	0.00855544	0.00184234	0.00319639	0.00736433	0.0037127	0.0016941	0.0103051
y	0.00595793	0.0324728	0.588719	0.0763903	0.132893	0.0441874	0.0409516	0.0239873	0.00244409	0.00741499	0.0155933	0.00645896	0.00533525	0.0171938
e	0.0758315	0.161093	0.395431	0.143429	0.107541	0.0562654	0.019735	0.012311	0.00272345	0.00375966	0.00861862	0.00405105	0.00630113	0.00290956
m	0.107913	0.224863	0.319183	0.186286	0.026842	0.0266627	0.0146102	0.0130079	0.00560183	0.0105631	0.0138437	0.00744489	0.0157068	0.0274726
i	0.00415916	0.0386036	0.195395	0.414909	0.0909844	0.0518592	0.0563374	0.0519641	0.0206642	0.014723	0.00122727	0.00778406	0.016752	0.0346377
i	0.0053213	0.0681092	0.0307944	0.529954	0.0909979	0.0553696	0.0380013	0.0391517	0.00728684	0.0193464	0.00362301	0.0118153	0.0196152	0.0806143
é	0.00389591	0.047733	0.0328335	0.29633	0.252864	0.184223	0.0448063	0.0231569	0.00643204	0.00862215	0.0143272	0.00632017	0.00241261	0.0760435
t	0.00137399	0.0263935	0.0189201	0.0989057	0.342118	0.295816	0.129691	0.0290903	0.00850025	0.00523946	0.0111393	0.00375166	0.00164846	0.0274124
έ	0.000219986	0.00391982	0.0695548	0.047169	0.297279	0.385673	0.0940337	0.0274109	0.0138055	0.00471606	0.0328839	0.00781314	0.000856635	0.0146647
í	0.00502002	0.0354854	0.0583929	0.169292	0.0625936	0.205088	0.0587448	0.0475904	0.0308827	0.0270409	0.0235297	0.0369591	0.0124725	0.226908
n	0.00245154	0.0578741	0.00395797	0.314133	0.167119	0.152147	0.145483	0.0724618	0.028836	0.0189423	0.00336493	0.00778021	0.00560098	0.0198476
g	0.0149573	0.308282	0.021387	0.122244	0.098012	0.0746279	0.0640418	0.0380462	0.19705	0.0105455	0.00224275	0.00442399	0.0085803	0.0355591
á	0.0151468	0.24055	0.0475363	0.13435	0.06725	0.0787584	0.0858192	0.0370765	0.256224	0.00683694	0.00141014	0.00902353	0.00554098	0.0144772
m	0.000215989	0.0051452	0.0017977	0.109772	0.04009	0.181889	0.310053	0.189112	0.118601	0.0229376	0.00376731	0.00681291	0.00383776	0.00596837
o	0.000257486	0.00431287	0.000695238	0.0142624	0.0157702	0.0503566	0.284627	0.390146	0.0598307	0.060754	0.00249719	0.0196751	0.0285181	0.0682965
r	0.000182617	0.00109526	0.00354863	0.0244155	0.0108195	0.117572	0.280704	0.293424	0.203974	0.0294617	0.010053	0.00636823	0.00312602	0.0152548
o	0.000955005	0.0047668	0.0485365	0.0240586	0.0125946	0.0743279	0.1487	0.124645	0.513011	0.0235885	0.0022146	0.00406876	0.0056921	0.0128406
m	0.000356821	0.00700473	0.0046861	0.048534	0.0139058	0.0677372	0.208807	0.278586	0.301466	0.0507666	0.00412791	0.00265824	0.00107355	0.0102901
ó	0.000490158	0.00233331	0.00100113	0.00883174	0.00201084	0.0358872	0.101625	0.304571	0.152678	0.15464	0.0135871	0.044548	0.00808694	0.16971
t	0.000666099	0.00243589	0.00180808	0.0171685	0.0146443	0.0623582	0.0958887	0.227533	0.331617	0.146946	0.0374545	0.0197421	0.0146567	0.0270811
s	0.000573358	0.00075674	0.0051595	0.0125901	0.0325168	0.143087	0.107977	0.16883	0.310706	0.0750017	0.0900965	0.0202723	0.00267153	0.0297612
w	2.99223e-05	0.000157716	0.00291151	0.00332026	0.00843409	0.0242295	0.0310127	0.0976837	0.574016	0.0518818	0.156853	0.0142756	0.0120084	0.0231863
έ	0.000422338	0.00251836	0.0215816	0.0162236	0.0246748	0.0481624	0.0396756	0.0649933	0.673722	0.0246124	0.0111208	0.00806452	0.0113263	0.0529016
m	4.10082e-05	0.000374255	0.0058113	0.00734014	0.00221195	0.0340693	0.0646565	0.17447	0.279696	0.117115	0.0346426	0.019357	0.00998894	0.250226
b	0.00046959	0.000474258	0.000213631	0.00564707	0.0026123	0.0127916	0.0299929	0.170679	0.354205	0.251828	0.0152349	0.0447875	0.0453844	0.0656793
έ	0.000399426	0.00190935	0.000870934	0.00756497	0.00182725	0.0437714	0.066702	0.204061	0.435667	0.148732	0.0130997	0.0242087	0.0316091	0.0195772
ó	0.000660968	0.00574456	0.000573174	0.0172227	0.00660836	0.0194772	0.0257346	0.103337	0.109918	0.399044	0.104871	0.046237	0.0141737	0.146397
i	0.00218532	0.0188375	0.00546388	0.0222445	0.0158361	0.0155703	0.0368346	0.0420964	0.0262815	0.130671	0.382381	0.178237	0.0338251	0.0895353
k	0.000114187	0.00335827	0.00897713	0.00543242	0.0051553	0.0284169	0.056915	0.0510398	0.0174532	0.0322566	0.438898	0.0773219	0.0217289	0.252933
o	2.39622e-06	1.94304e-05	0.000972498	0.000326544	0.000611768	0.00864603	0.0140824	0.0153141	0.00475904	0.0115935	0.84062	0.0498892	0.00417272	0.0489899
ó	6.46651e-06	6.5732e-05	0.00230091	0.00040835	0.000642551	0.0208252	0.0169936	0.0201237	0.0212822	0.0249726	0.812022	0.0460055	0.00363009	0.0307214
l	3.23444e-05	0.000717338	0.000444798	0.0024209	0.000626571	0.00557625	0.0133374	0.0261702	0.0175801	0.101185	0.173027	0.370635	0.0883987	0.199848
í	0.000119419	0.000915699	0.000625028	0.00240568	0.00157972	0.00473156	0.0150663	0.0253756	0.0203774	0.0464619	0.135169	0.23202	0.0661808	0.448972
b	0.000871653	0.00267389	0.000652441	0.0072568	0.00202187	0.00241271	0.00414447	0.0115636	0.0227985	0.0549819	0.0272609	0.123523	0.601545	0.138294
í	0.000322871	0.00163539	8.95149e-05	0.00275889	0.00219581	0.000692256	0.00223588	0.00829793	0.00264601	0.0367298	0.0424366	0.0372118	0.845835	0.0169119
a	0.000145544	0.000557357	2.20906e-05	0.000678203	0.00098172	0.000115548	0.000568006	0.00395033	0.00338008	0.0176843	0.0130734	0.0103225	0.911138	0.0373832
</S>	0.000155118	0.000971796	0.00018477	0.00252404	0.00166531	0.00266938	0.00516282	0.00767064	0.00259385	0.0154932	0.073294	0.295391	0.194741	0.397483
