 	elle	cultive	les	aubergine	dans	son	jardin	de	case	</S>
w	0.953138	0.00713532	0.0140887	0.0074792	0.00459958	0.00568748	0.00550267	0.00232965	2.6534e-05	1.25043e-05
a	0.869274	0.0133945	0.0721353	0.0103368	0.0085704	0.00943368	0.0105498	0.00616713	0.000122511	1.57957e-05
l	0.55505	0.1735	0.179383	0.00813605	0.0172195	0.0150783	0.0365826	0.00696127	0.000956338	0.00713315
á	0.107719	0.0314901	0.126193	0.0492462	0.128295	0.0661803	0.0556821	0.0554425	0.0170958	0.362656
a	0.359548	0.0877325	0.133795	0.0461651	0.0473567	0.0269797	0.0804124	0.0446351	0.0532878	0.120088
s	0.0135254	0.954347	0.017337	0.00369648	0.00102421	0.000333149	0.0012417	0.000409781	0.000235895	0.00784928
i	0.0016643	0.990268	0.00322258	0.00112415	0.000185544	5.50719e-05	0.000764415	0.0001099	0.000128796	0.00247739
á	0.0473223	0.803484	0.0760846	0.0247678	0.00936081	0.000986618	0.00293469	0.000752441	0.000265314	0.0340412
t	0.0603366	0.107678	0.662275	0.0904243	0.0309721	0.0228413	0.00783257	0.00850499	0.00352193	0.00561319
s	0.0273453	0.0493882	0.0880403	0.776147	0.0313831	0.0045323	0.00508794	0.00278562	0.00338738	0.0119031
a	0.000897552	0.0432571	0.0275776	0.898414	0.0211208	0.00220014	0.00127455	0.000900746	0.00217983	0.00217811
n	0.00566504	0.0108607	0.0510357	0.743499	0.101533	0.00668299	0.00462575	0.00780794	0.00355069	0.0647395
g	0.0058074	0.0210518	0.178171	0.488111	0.139557	0.0254528	0.0132803	0.0189295	0.00428726	0.105352
í	0.00982615	0.00456964	0.0610579	0.685197	0.0989804	0.0121778	0.034738	0.0150425	0.0222331	0.0561773
m	0.00801074	0.00386275	0.348637	0.115862	0.322394	0.0930282	0.0342143	0.0148986	0.000599733	0.0584926
ó	0.0165947	0.0011745	0.085438	0.0469862	0.242067	0.342518	0.0860554	0.0995184	0.00350702	0.0761411
n	0.0102261	0.0127408	0.144024	0.276519	0.201959	0.181081	0.136319	0.0135429	0.00478591	0.0188027
g	0.00200494	0.00200924	0.0372605	0.0664732	0.0532359	0.0542844	0.663496	0.0195857	0.0634911	0.0381592
ω	0.000120827	0.000124598	0.00299578	0.025101	0.011931	0.0158214	0.9088	0.00539095	0.026455	0.00325957
n	2.70013e-05	0.000128541	0.00206323	0.0299098	0.00270835	0.00299063	0.927585	0.00503841	0.0276336	0.0019154
g	0.00256557	0.00178969	0.0232803	0.0866157	0.168144	0.128493	0.336631	0.046359	0.00701595	0.199106
ω	0.0009627	0.000120011	0.0126531	0.2171	0.294244	0.10938	0.30644	0.0288617	0.00386946	0.026369
a	0.00267115	0.000429204	0.0314202	0.00607795	0.242082	0.321851	0.148996	0.204316	0.00254205	0.0396149
k	0.0126631	0.0119022	0.0808032	0.0128298	0.0922641	0.164996	0.153688	0.380062	0.0290725	0.0617194
u	0.000821774	0.0106127	0.0573703	0.0911418	0.0961891	0.118818	0.0901572	0.145664	0.00893179	0.380294
s	0.0010359	0.00373564	0.0419516	0.0236547	0.109902	0.0700435	0.083264	0.0650016	0.00735992	0.594051
a	0.00106598	0.00092642	0.0263061	0.0170685	0.138426	0.210604	0.131165	0.322409	0.0353107	0.116718
</S>	0.000221592	0.000357481	0.0119439	0.00100719	0.0335064	0.0945331	0.161772	0.285659	0.0192993	0.3917
