 	notre	ami	souffre	de	l'	épilepsie	</S>
o	0.345446	0.244912	0.270367	0.0933242	0.0393875	0.00213643	0.00442602
b	0.00432744	0.962254	0.0175986	0.00877718	0.0020876	0.00362053	0.00133465
i	0.00683874	0.864105	0.0607723	0.0491728	0.00726719	0.009442	0.0024016
a	0.00349975	0.873087	0.0483517	0.0345262	0.0107974	0.016157	0.0135812
y	0.64504	0.0558733	0.220914	0.0381974	0.016078	0.000478289	0.023419
a	0.259327	0.0959531	0.272322	0.101267	0.0965756	0.020073	0.154482
b	0.955118	0.00294416	0.0157702	0.00631018	0.0101524	0.0031324	0.00657261
í	0.992668	0.00159919	0.00225556	0.00124162	0.00107782	0.000712565	0.000445654
s	0.996578	0.000650434	0.00087935	0.000685309	0.000581998	0.000215652	0.000409463
í	0.452227	0.00900374	0.033747	0.0397393	0.0293826	0.0320378	0.403863
a	0.0227664	0.0152315	0.473145	0.247442	0.103744	0.0671006	0.0705699
d	0.000631893	0.00543961	0.25619	0.533657	0.10215	0.0871242	0.0148077
í	0.00161622	0.000881161	0.116257	0.460048	0.108572	0.216541	0.0960844
l	0.0019731	0.000221295	0.0663761	0.327762	0.173646	0.201248	0.228774
o	0.0017862	6.77787e-05	0.0367363	0.205648	0.27188	0.293321	0.190561
t	0.00135517	0.000491293	0.0158015	0.0588068	0.0988053	0.787306	0.0374339
s	0.000163576	0.000258168	0.027161	0.105781	0.032391	0.806784	0.0274621
í	0.00187323	0.00109137	0.0836227	0.263952	0.137001	0.487095	0.0253648
n	0.000230807	5.20714e-05	0.0720143	0.128521	0.0826538	0.392587	0.323941
g	0.000167672	0.000101369	0.0211859	0.0936584	0.103615	0.584471	0.196801
á	0.000377529	0.000148838	0.0236303	0.0679214	0.0585692	0.344034	0.505318
</S>	0.000877246	5.63869e-05	0.0237471	0.0512334	0.294684	0.0622621	0.56714
