 	ngala	a	calé	avec	une	pierre	son	panier	de	manioc	qui	a	failli	tomber	</S>
n	0.877978	0.0701691	0.0134081	0.0125812	0.00552224	0.00303644	0.00164261	0.00312392	0.00580857	0.00334155	0.00149053	0.000835124	9.47487e-05	0.000921054	4.65867e-05
g	0.99249	0.00631481	0.000177623	0.000252938	5.99054e-05	1.51935e-05	5.96047e-05	6.96583e-05	8.67893e-05	3.24563e-06	1.92646e-05	1.84437e-05	4.61126e-05	0.000372436	1.42689e-05
a	0.998237	0.00145271	8.14321e-05	8.17309e-05	3.2008e-05	1.19777e-05	1.24346e-05	8.04417e-06	1.31273e-05	5.30195e-06	7.84612e-06	7.04262e-06	9.82592e-06	3.76626e-05	1.622e-06
l	0.292678	0.449172	0.101867	0.0350925	0.0120221	0.000911878	0.00519302	0.00352834	0.00376248	0.000451771	0.00389042	0.0104394	0.00906956	0.0165507	0.0553708
a	0.591527	0.217261	0.0293892	0.0300547	0.0126313	0.00439505	0.0134178	0.00842648	0.00762457	0.00229152	0.00877956	0.0134053	0.00345064	0.0115825	0.045764
á	0.0924549	0.275498	0.111856	0.0602167	0.0440857	0.0167994	0.0413701	0.0323417	0.0312262	0.00837575	0.0273865	0.0256132	0.0128752	0.0308864	0.189014
s	0.00412399	0.139148	0.748621	0.0326986	0.00619505	0.00153655	0.00293537	0.00176829	0.00116146	0.00103172	0.00148469	0.0115574	0.0103436	0.00306192	0.0343328
ú	0.00526023	0.126673	0.857192	0.00348078	0.000539183	4.33031e-05	0.000311556	0.000143734	8.84837e-05	2.21063e-05	0.000184822	0.00146522	0.00266909	0.000222886	0.00170322
b	0.0968354	0.316994	0.527014	0.0355242	0.00784287	0.000284127	0.0025366	0.0018921	0.00151738	5.5307e-05	0.00243554	0.00186504	0.00125435	0.00160151	0.0023475
h	0.00105024	0.148124	0.202538	0.276331	0.197537	0.0268219	0.0290616	0.0239056	0.0321048	0.0114159	0.0151387	0.00836398	0.00293014	0.013988	0.0106889
u	0.00151806	0.0487316	0.400115	0.17595	0.112963	0.0104353	0.0328541	0.0341753	0.0456751	0.00484025	0.0396179	0.0193726	0.00385038	0.0164747	0.0534262
m	0.000393725	0.101714	0.060461	0.597278	0.125069	0.0370782	0.022773	0.0160383	0.0148393	0.00295405	0.00572406	0.00572793	0.000886945	0.00430299	0.00475888
ú	1.25616e-05	0.0472452	0.0725498	0.297161	0.0568027	0.169263	0.186436	0.0816248	0.0474934	0.00088186	0.0248621	0.00663034	4.95806e-05	0.000730207	0.00825742
a	6.22884e-05	0.0273517	0.0465078	0.249217	0.238289	0.311123	0.0559576	0.0258113	0.0137907	0.0179977	0.00515575	0.00296878	0.000333623	0.00233837	0.00309521
m	0.000458694	0.00917833	0.0117109	0.0920451	0.28892	0.259144	0.0922045	0.0541332	0.0436522	0.0935779	0.0215649	0.0138919	0.00383558	0.00968671	0.00599578
í	1.84483e-05	0.0061303	0.0270608	0.0311472	0.0805702	0.337812	0.226404	0.114056	0.0511106	0.0108618	0.0588118	0.0310922	0.000558448	0.00392442	0.0204418
k	0.000114418	0.00313153	0.00319322	0.0173295	0.0622381	0.342814	0.155885	0.0992802	0.059638	0.140622	0.0344217	0.0174159	0.00418516	0.033449	0.0262821
ώ	3.46177e-05	0.000456201	0.00120015	0.010911	0.23938	0.257075	0.0741105	0.0379206	0.0240609	0.29739	0.0153858	0.00726837	0.00353067	0.0127553	0.0185216
ώ	1.14091e-05	0.000381715	0.00138931	0.0108897	0.0632204	0.110749	0.0306286	0.0270551	0.0370374	0.609094	0.0265054	0.0102645	0.00615265	0.0390784	0.0275431
m	1.77222e-05	0.0024896	0.000912004	0.0110933	0.0241103	0.101896	0.17945	0.257515	0.170316	0.050023	0.11265	0.0695655	0.00710428	0.00368069	0.00917553
