 	cet	homme	m'	a	donné	50	francs	</S>
m	0.585959	0.357973	0.0458898	0.0054887	0.00136106	0.00281105	0.000389159	0.000128477
o	0.853294	0.0935437	0.0393889	0.0116317	0.000426111	0.000767383	2.1307e-05	0.000926584
r	0.830541	0.159547	0.00240043	0.00351938	0.00243796	0.000240309	0.000488434	0.00082636
o	0.617008	0.233157	0.08328	0.00347823	0.0023821	0.00517926	0.00365853	0.0518575
w	0.61241	0.281995	0.0708776	0.0190545	0.00109718	0.000596556	0.000184551	0.0137839
ó	0.137592	0.039611	0.322264	0.31624	0.0770911	0.0370137	0.0134077	0.0567805
á	0.0360514	0.056115	0.27006	0.281934	0.0174371	0.0207838	0.00825773	0.309361
p	0.00201466	0.00880976	0.0420232	0.581732	0.310339	0.024123	0.0136494	0.0173096
έ	0.000930967	0.0133498	0.0152479	0.585751	0.345416	0.0166962	0.00985537	0.0127532
n	0.0373197	0.0391086	0.126889	0.309983	0.34919	0.109008	0.0100605	0.0184408
g	0.0553184	0.0136266	0.623462	0.223955	0.0220936	0.0520717	0.00210917	0.00736357
á	0.140669	0.0162715	0.590365	0.149553	0.0268692	0.067263	0.00144715	0.00756246
a	0.0340135	0.011074	0.443914	0.0721213	0.134257	0.15693	0.0674422	0.080248
p	0.00368459	0.0130357	0.0988503	0.123207	0.441331	0.190076	0.115803	0.0140127
á	0.000387001	0.00250763	0.00607129	0.0239891	0.666722	0.0928414	0.199693	0.00778933
r	0.000833155	0.00774112	0.0647851	0.0809928	0.659517	0.0738779	0.0748673	0.0373852
a	0.00394388	0.00155627	0.0275843	0.0338963	0.690816	0.152744	0.0195829	0.0698757
d	0.00169968	0.000714643	0.0168274	0.037906	0.227042	0.546464	0.13359	0.0357561
z	0.00184899	0.00118	0.00442511	0.00186542	0.137938	0.363409	0.265635	0.223698
ó	0.00978833	0.00183351	0.00171516	0.00532592	0.175322	0.273921	0.432746	0.0993489
m	0.00140465	0.00117092	0.00120304	0.00403722	0.0974445	0.234517	0.600128	0.060095
i	0.00574546	0.00325165	0.000730347	0.00185874	0.0780381	0.199085	0.392708	0.318583
</S>	0.00297124	0.00095628	0.00143085	0.00399873	0.0327532	0.138202	0.284471	0.535217
