 	beaucoup	de	guerriers	meurent	au	combat	</S>
a	0.433361	0.484969	0.0760627	0.00110325	0.00158451	0.00284046	7.97341e-05
m	0.168976	0.690405	0.116519	0.0171529	0.00305769	0.00347161	0.000417395
a	0.021787	0.188756	0.77043	0.0033026	0.0015225	0.000498031	0.013704
n	0.307916	0.395481	0.163539	0.0359172	0.0126364	0.0107993	0.0737114
i	0.131931	0.516964	0.295143	0.0128325	0.0078607	0.00168098	0.0335873
a	0.063662	0.18541	0.698433	0.0330906	0.00851646	0.00125706	0.00963031
y	0.132817	0.128583	0.370283	0.302741	0.0443629	0.00141782	0.0197943
í	0.186846	0.122951	0.372683	0.28856	0.0183957	0.000108061	0.0104569
í	0.106993	0.0868763	0.347735	0.249005	0.046853	0.000762448	0.161776
b	0.0511459	0.0412676	0.278886	0.545434	0.0549977	0.00358179	0.0246873
á	0.141449	0.134342	0.148568	0.137134	0.17315	0.165017	0.100341
a	0.28432	0.115584	0.169614	0.1039	0.0938577	0.115215	0.117509
w	0.00210217	0.00262039	0.0154599	0.827749	0.125277	0.00461127	0.0221802
á	0.0153111	0.0373832	0.0679853	0.358877	0.403872	0.0580924	0.058479
á	0.0231893	0.0106045	0.0180414	0.233691	0.319814	0.0805058	0.314154
s	0.0170873	0.0115304	0.0308441	0.125904	0.465191	0.176906	0.172537
á	0.0246828	0.0123194	0.0334463	0.477775	0.264481	0.0124103	0.174885
b	0.0355766	0.0177589	0.0152562	0.0456623	0.224142	0.617486	0.0441179
i	0.00113178	0.0031515	0.00172694	0.000723858	0.00684716	0.98537	0.00104894
r	0.000814283	0.00103456	0.000534226	0.000993471	0.0257872	0.949832	0.0210045
á	0.0025442	0.0024965	0.0010021	0.0143126	0.109219	0.652592	0.217833
</S>	0.0215635	0.00973061	0.0137311	0.0255826	0.136663	0.184218	0.608511
