 	il	est	asthmatique	</S>
w	0.778201	0.188818	0.0287477	0.00423345
a	0.743162	0.194745	0.0604937	0.00160007
a	0.221632	0.421745	0.0891494	0.267474
d	0.163463	0.463329	0.07247	0.300737
í	0.0815156	0.421207	0.0520633	0.445214
í	0.0240678	0.147317	0.110405	0.71821
l	0.0815596	0.369395	0.38849	0.160555
a	0.0367319	0.207229	0.396153	0.359886
n	0.0441096	0.119698	0.706355	0.129838
g	0.0208711	0.193867	0.593244	0.192018
a	0.015959	0.114825	0.698679	0.170537
a	0.0293274	0.128854	0.382866	0.458953
y	0.0307777	0.162303	0.337614	0.469306
á	0.0204103	0.230756	0.532631	0.216203
t	0.0122279	0.0653272	0.763212	0.159233
ó	0.00816364	0.0265773	0.661272	0.303987
o	0.00166169	0.013675	0.37865	0.606014
</S>	0.0118717	0.131006	0.0916795	0.765443
