 	j'	ai	juré	au	nom	ma	mère	</S>
n	0.905971	0.0484176	0.0032508	0.0144573	0.00576239	0.0219379	9.34126e-05	0.000109609
g	0.98947	0.00248553	4.51465e-06	0.000186948	0.00106075	0.00668174	0.000105234	5.44347e-06
á	0.976272	0.0159929	9.3573e-05	0.000454585	0.00239847	0.00223312	0.00254331	1.2556e-05
í	0.295371	0.36398	0.00834337	0.0158206	0.0268915	0.0836619	0.00362079	0.202311
l	0.0029978	0.633502	0.346348	0.00507103	0.00143911	0.000127333	0.000565973	0.00994881
a	0.00663255	0.278857	0.672987	0.0163799	0.00461174	0.000694927	0.0010188	0.0188182
b	0.00578884	0.255161	0.675511	0.0283497	0.00387097	0.00103643	0.000517578	0.0297643
h	0.015702	0.355016	0.423928	0.18129	0.0117614	0.00158589	0.00163552	0.00908237
i	0.00292629	0.0317836	0.839029	0.0629095	0.0237358	0.00607281	0.000432745	0.0331102
e	0.00663647	0.0384783	0.0386821	0.751167	0.120746	0.019317	0.0032847	0.0216887
b	0.000872046	0.0150189	0.0660692	0.79943	0.0865733	0.00198338	0.00706896	0.0229839
o	0.00114653	0.019636	0.390136	0.502502	0.0328719	0.00281798	0.0122022	0.038687
á	0.000133372	0.0122853	0.512671	0.299978	0.00856632	0.000854155	0.00763099	0.15788
n	0.00306551	0.014899	0.00597726	0.400586	0.411727	0.140146	0.00544171	0.0181582
g	0.00831558	0.00680621	0.000780769	0.0770968	0.604547	0.216187	0.0359244	0.0503427
á	0.0210742	0.00580935	0.000261992	0.105835	0.362343	0.245526	0.244321	0.0148298
l	0.000358716	0.00206102	0.000999266	0.30269	0.435107	0.183981	0.0538239	0.0209786
á	0.00477922	0.0141705	0.00613868	0.160382	0.295541	0.113132	0.0731453	0.332712
n	0.000518406	0.00358358	0.000548949	0.0426526	0.136147	0.521878	0.236959	0.0577128
g	0.0030768	0.000731636	6.73058e-05	0.00959994	0.125697	0.29308	0.559715	0.00803299
ó	0.000657866	0.000162943	1.63949e-05	0.0032519	0.0242852	0.0452501	0.919676	0.00669972
o	5.63344e-05	0.000105666	0.000149299	0.00452034	0.00516935	0.0146753	0.956093	0.0192312
</S>	0.000386978	0.00148563	6.89995e-05	0.0122309	0.0700032	0.338862	0.202855	0.374108
