 	on	a	construit	un	dispensaire	au	bout	du	village	</S>
á	0.792566	0.187033	0.00564376	0.00901201	0.00139681	0.00225567	0.000504175	0.00134848	0.000129496	0.000110607
t	0.0446007	0.748024	0.179639	0.0234001	0.0022878	0.000573758	0.000742806	0.000378862	0.000197717	0.000154715
ó	0.0410679	0.236072	0.435111	0.0971707	0.119402	0.0124195	0.0132401	0.00647829	0.00449185	0.0345468
n	0.0360784	0.399469	0.293646	0.0899077	0.0921848	0.020466	0.016861	0.0167952	0.0165852	0.0180067
g	0.11225	0.172586	0.476692	0.102447	0.0565997	0.0172851	0.0115274	0.00858515	0.0080884	0.0339389
i	0.150768	0.139384	0.53167	0.112877	0.0156365	0.00875152	0.00573922	0.00387603	0.00232912	0.0289682
o	0.171187	0.0987172	0.0916352	0.364167	0.087776	0.0664669	0.0197676	0.0445212	0.0031597	0.0526022
p	0.00150611	0.0158693	0.0824646	0.139702	0.702034	0.0411078	0.0114106	0.000813364	0.00420139	0.00089124
i	0.000162576	0.00295797	0.0183919	0.0255362	0.929397	0.0114305	0.00342247	0.000322186	0.00687247	0.00150647
t	0.000546078	0.00637579	0.0373164	0.104183	0.797004	0.0390034	0.00694029	0.00167362	0.00315366	0.00380376
á	0.0058197	0.0064347	0.0090746	0.0386756	0.862242	0.0312773	0.0156604	0.00524715	0.00606101	0.0195076
á	0.0420794	0.0188091	0.00979564	0.132865	0.210784	0.240281	0.0852254	0.1023	0.0754822	0.0823783
l	0.0241893	0.0114646	0.00866392	0.0411086	0.00864292	0.407961	0.231687	0.226414	0.00874395	0.0311246
e	0.0211205	0.0143432	0.0359315	0.0334238	0.0219398	0.146706	0.206695	0.201861	0.0193465	0.298633
m	0.00241988	0.00413406	0.00903571	0.033705	0.017163	0.329448	0.275313	0.200357	0.065183	0.0632424
í	0.00284405	0.00472598	0.00559674	0.0482719	0.00430299	0.331596	0.435052	0.0721889	0.0243143	0.0711072
b	0.000845272	0.00530638	0.00540776	0.0392843	0.0140094	0.208349	0.566595	0.102784	0.0254769	0.0319419
o	0.00544232	0.016285	0.0154737	0.0322599	0.097703	0.162851	0.522346	0.0465587	0.0582218	0.0428585
ó	5.86961e-05	0.000519678	0.00343369	0.0116068	0.0610482	0.227394	0.298628	0.023379	0.323151	0.0507816
l	0.000695221	0.00114144	0.0015625	0.00957481	0.00116561	0.0588797	0.314385	0.270424	0.0509764	0.291196
á	0.00179682	0.0027692	0.00597895	0.020553	0.0103007	0.0550129	0.176464	0.124675	0.0460711	0.556378
p	0.00821133	0.00392781	0.00371378	0.0105506	0.00540016	0.0171565	0.037561	0.0680688	0.79401	0.0513998
o	0.000257424	0.000510326	0.000995209	0.0010467	0.00443131	0.00112305	0.00382974	0.00332192	0.975124	0.00936054
o	0.000585443	0.000243338	0.000572345	0.000843041	0.0104463	0.00269897	0.00629431	0.00387701	0.954464	0.0199754
</S>	0.00107075	0.00188097	0.0018992	0.0109664	0.00214312	0.0189197	0.0571183	0.161303	0.022523	0.722176
