 	le	fou	a	porté	des	habits	déchirés	</S>
e	0.822428	0.152356	0.00934812	0.00299226	0.00727493	0.00536684	0.000131872	0.000102096
b	0.0418895	0.93586	0.00226621	0.0126561	0.00154852	0.00296795	0.00223275	0.00057929
h	0.00682521	0.98988	0.000464723	0.00155916	0.000280472	0.000735784	0.000129681	0.000125277
ó	0.0301051	0.944629	0.00278307	0.00992357	0.00177103	0.00729582	8.58941e-05	0.00340685
a	0.357671	0.577177	0.0456466	0.00433764	0.00587951	0.00598196	0.000407344	0.00289871
é	0.592643	0.0684792	0.287272	0.0185791	0.00993748	0.00577928	0.000794539	0.0165154
l	0.0468313	0.0101132	0.465306	0.367558	0.0362526	0.0290867	0.0115172	0.0333352
á	0.010241	0.0150717	0.352232	0.508165	0.033964	0.0358463	0.00137775	0.0431028
r	0.0794207	0.00418817	0.228555	0.489922	0.102741	0.0411461	0.00271632	0.0513102
i	0.158323	0.00398317	0.281736	0.296944	0.199157	0.0240366	0.00859427	0.0272254
i	0.0478833	0.00168242	0.369629	0.112111	0.3539	0.0644974	0.00781881	0.0424776
k	0.00584558	0.00620298	0.0497499	0.406868	0.356217	0.1159	0.0288353	0.0303815
á	0.0029044	0.00809159	0.0159535	0.331703	0.369218	0.106717	0.132008	0.0334046
n	0.00379257	0.00944915	0.0492375	0.308359	0.274248	0.21625	0.0318874	0.106777
d	0.00737748	0.00846183	0.0608905	0.414312	0.221332	0.126475	0.00295764	0.158194
á	0.0323705	0.00764519	0.149715	0.220676	0.278697	0.110463	0.00261079	0.197822
m	0.00549024	0.000796541	0.026944	0.0403103	0.326131	0.458122	0.0705567	0.0716493
í	0.0200046	0.00184974	0.0140805	0.0033964	0.190718	0.570521	0.0233178	0.176112
p	0.0103745	0.00221175	0.0119965	0.00943787	0.123573	0.569266	0.197831	0.0753099
a	0.000180183	0.000146179	0.000350784	0.000416957	0.00433365	0.0163759	0.961399	0.0167975
s	0.000241796	0.000215116	0.000392743	0.00180229	0.00339388	0.00891921	0.941904	0.0431305
á	0.00032639	0.000206426	0.000331754	0.00156434	0.0103633	0.0302961	0.893638	0.063274
p	0.0017859	0.00115957	0.00602974	0.00881811	0.0228853	0.110083	0.36411	0.485128
a	0.0017336	0.000986002	0.00258431	0.00138998	0.00427105	0.0107002	0.771546	0.206789
s	0.000492953	0.000246917	0.000801233	0.00269676	0.00357609	0.00872387	0.792658	0.190805
a	0.00191339	0.00188101	0.00310008	0.0138676	0.0271698	0.0734994	0.622716	0.255852
</S>	0.00191343	0.000398493	0.00535546	0.00477962	0.0125129	0.0346443	0.183601	0.756795
