 	aucun	homme	n'	est	venu	hier	</S>
s	0.65448	0.267747	0.0274664	0.0438793	0.00471835	0.000908684	0.000800263
i	0.373798	0.307679	0.178165	0.0494022	0.038214	0.0118911	0.040851
i	0.343722	0.351865	0.22231	0.0372499	0.0217887	0.00914204	0.013923
b	0.0981546	0.267104	0.0525494	0.0643457	0.0603552	0.0270961	0.430395
a	0.0848145	0.756595	0.0464801	0.0462582	0.00679587	0.0136472	0.0454094
a	0.407562	0.428461	0.0492394	0.026085	0.0112956	0.00404262	0.0733137
i	0.317587	0.169107	0.16772	0.15238	0.0588307	0.00304703	0.131329
p	0.0741192	0.195132	0.157419	0.116997	0.171042	0.0590468	0.226244
ω	0.0962514	0.10133	0.162942	0.176504	0.143179	0.0867108	0.233083
ώ	0.177349	0.222711	0.161848	0.138737	0.10595	0.0450635	0.148341
í	0.0610809	0.0259273	0.251223	0.416104	0.198679	0.00874184	0.0382434
d	0.00613559	0.0277072	0.153282	0.214153	0.514871	0.0427333	0.0411183
z	0.00151565	0.00693557	0.0960586	0.082341	0.0991799	0.0337032	0.680266
e	0.0791176	0.0490036	0.612116	0.0320049	0.0517003	0.0413115	0.134747
ω	0.0194898	0.0129393	0.118368	0.436113	0.240201	0.0646502	0.108239
y	0.00505209	0.0115276	0.0174216	0.0351299	0.438927	0.424497	0.067445
a	0.00113091	0.00377665	0.0276659	0.0256091	0.601816	0.201879	0.138123
a	0.00188836	0.0019325	0.0400733	0.063348	0.225558	0.103275	0.563925
l	0.00356499	0.00123668	0.0352267	0.177616	0.275152	0.106737	0.400467
a	0.0266265	0.0052381	0.0434744	0.068927	0.400825	0.114605	0.340304
a	0.0726431	0.0105287	0.0618261	0.0713267	0.234943	0.237739	0.310993
p	0.0252612	0.0126958	0.0252053	0.036621	0.257328	0.46376	0.179129
ó	0.00877238	0.00342556	0.0117546	0.074724	0.124014	0.558306	0.219003
a	0.00366806	0.0011714	0.0105711	0.0423306	0.158159	0.370607	0.413494
k	0.0211001	0.00690767	0.0433436	0.0748161	0.167241	0.101755	0.584837
a	0.0776863	0.00692043	0.0160817	0.0824851	0.129307	0.377481	0.310038
á	0.0271627	0.00282571	0.00588133	0.0201437	0.0426674	0.0883005	0.813019
</S>	0.0286083	0.00924867	0.0494907	0.0654719	0.113536	0.0323275	0.701316
