 	les	pêcheurs	sont	en	train	d'	attraper	les	poissons	</S>
a	0.948112	0.0305027	0.0121156	0.00232065	0.00366456	0.00201771	8.65344e-05	0.000822684	0.000324763	3.31374e-05
t	0.0755437	0.909831	0.00762279	0.000381999	0.00119184	0.00122416	0.00365619	0.000396982	4.26796e-05	0.000108949
ó	0.043461	0.942355	0.0031768	0.0010084	0.00133665	0.000541275	0.00739533	0.000100275	9.4075e-05	0.000530969
i	0.0141926	0.970456	0.00294687	0.000802803	0.00280635	0.000577093	0.00746567	0.000154775	1.90213e-06	0.000596248
á	0.191624	0.0737105	0.520802	0.0851689	0.0954588	0.0211124	0.000987825	0.00513919	0.000223534	0.00577213
b	0.0249753	0.0112959	0.272444	0.18755	0.0664816	0.353437	0.0244086	0.00981665	0.00257825	0.047013
h	0.0176666	0.0170274	0.0297386	0.104807	0.0178563	0.681219	0.043852	0.0316043	0.00227743	0.0539519
i	0.0292081	0.026526	0.0461085	0.190098	0.0250386	0.47498	0.136833	0.0368049	0.00292307	0.031479
b	0.0238744	0.00805876	0.118168	0.33492	0.0975562	0.221018	0.113751	0.0388099	0.0146936	0.0291502
á	0.03497	0.00903947	0.0780645	0.44205	0.101318	0.211699	0.0201382	0.0531972	0.0223577	0.0271655
a	0.0366883	0.00132758	0.15401	0.321583	0.0345607	0.108603	0.019396	0.0597441	0.202419	0.0616686
p	0.000777577	0.00486348	0.0030366	0.00380653	0.00155207	0.205686	0.676392	0.0692771	0.00569419	0.0289144
i	4.11272e-05	0.000255882	0.000130761	0.00028525	0.000109257	0.00793428	0.98149	0.00151376	0.000272098	0.0079675
i	0.0002535	0.000459262	0.00070991	0.0020535	0.000168713	0.021244	0.938641	0.0076288	0.00024702	0.0285942
g	0.00107262	0.000182682	0.00285682	0.00254765	0.000139548	0.105479	0.314452	0.449547	0.00975046	0.113972
h	0.0160382	0.00126837	0.00707364	0.0279417	0.00122619	0.0729149	0.184368	0.146233	0.0864809	0.456456
á	0.0140896	0.00649792	0.00704523	0.0420915	0.00804151	0.0362577	0.171675	0.21356	0.208597	0.292144
a	0.00110886	6.74849e-05	0.00364861	0.00598013	0.000332401	0.00883517	0.00452427	0.635576	0.112046	0.227881
s	0.0102228	0.00240054	0.00400167	0.00352738	0.00139142	0.0643872	0.0536543	0.359613	0.357848	0.142954
w	0.00541534	0.0002679	0.00476776	0.00251921	0.000793408	0.00898524	0.00908379	0.102626	0.436824	0.428717
é	0.00136449	1.65239e-05	0.000802357	0.000758391	0.000132773	0.00131257	0.00156553	0.0883228	0.838421	0.0673033
</S>	0.000343209	5.27986e-05	0.000564835	0.00123272	0.000153522	0.00634747	0.0128189	0.102927	0.132908	0.742651
