 	on	leur	a	donné	des	parts	égales	la	manière	dont	il	a	boudé	la	sienne	cache	quelque	chose	</S>
á	0.53175	0.399913	0.0364152	0.00214344	0.0053051	0.00285257	0.000781681	0.00372027	0.00103842	0.00110619	0.00313535	0.00730471	0.000165823	0.00259727	0.000498083	0.000623754	0.000568079	5.69847e-05	2.38563e-05
p	0.0125637	0.0205403	0.207959	0.709554	0.0359813	0.000426479	0.000703096	0.00802915	0.00111127	0.000141441	0.000343726	0.000641114	0.000628424	0.000290861	7.73154e-05	0.000241951	0.000150707	0.000344882	0.000271544
έ	0.006028	0.00877722	0.0504882	0.504785	0.093919	0.00833968	0.0374128	0.00667266	0.00128501	0.00197035	0.00542281	0.0126823	0.0780974	0.0126746	0.0174059	0.0186353	0.00811103	0.00943297	0.117859
ε	0.0179512	0.0643192	0.170217	0.421704	0.246233	0.0159455	0.00946125	0.00194354	0.000411374	0.000464061	0.00195488	0.00647687	0.00677724	0.00433776	0.00623489	0.0071577	0.00269197	0.00149886	0.0142201
b	0.0596517	0.118871	0.169342	0.185906	0.225934	0.0473504	0.0291682	0.0120518	0.00604163	0.008505	0.0128782	0.0142566	0.00323211	0.0125198	0.0138146	0.0142421	0.00947462	0.00482474	0.0519349
á	0.0673597	0.394294	0.0220555	0.0801867	0.211111	0.106285	0.024151	0.00582164	0.007182	0.00498192	0.00622539	0.00706868	0.0029531	0.00746555	0.0146733	0.0255004	0.00867401	0.000261275	0.00375034
a	0.030981	0.18791	0.0220103	0.0263639	0.114005	0.359032	0.0339749	0.00301966	0.00790716	0.0105926	0.0269833	0.0188661	0.00583891	0.0101748	0.0387609	0.0404807	0.020536	0.00104874	0.0415141
a	0.00602175	0.0058307	0.0530835	0.197492	0.494275	0.183118	0.00807502	0.00386463	0.00192101	0.004176	0.00553607	0.00515635	0.00672194	0.00207874	0.00588954	0.00491035	0.00260692	0.000215038	0.00902744
k	0.00283143	0.0030458	0.0475197	0.102427	0.337619	0.231641	0.0363066	0.00712031	0.00206602	0.00597405	0.0115328	0.0286006	0.0261137	0.0122781	0.0237739	0.0262999	0.012262	0.00294226	0.0796455
a	0.000419206	0.000365971	0.00443588	0.0588627	0.182585	0.542391	0.0497109	0.0105527	0.00783423	0.00664576	0.00679415	0.0083565	0.0791159	0.00900538	0.00807974	0.0106782	0.00490367	0.000854334	0.00840933
b	0.000318617	0.000565176	0.00401531	0.0188657	0.0983622	0.637099	0.0415729	0.00272105	0.0042452	0.00640854	0.00684366	0.00579297	0.136582	0.00466181	0.00339325	0.00556627	0.00293482	0.00224172	0.0178098
h	0.00218264	0.00197924	0.0117325	0.109638	0.160229	0.310329	0.0669057	0.0281563	0.0321674	0.0255262	0.0326194	0.0415871	0.0831176	0.0228136	0.0175689	0.0193986	0.00972915	0.000448919	0.0238709
e	0.00216021	0.000396326	0.00163745	0.00868412	0.102535	0.27157	0.339143	0.0699105	0.0407873	0.0304247	0.030612	0.0258108	0.0276474	0.0111632	0.0055531	0.00819189	0.00393976	0.00129818	0.0185345
i	0.00100647	0.000307688	0.00403062	0.00910915	0.109847	0.0552205	0.198053	0.0303174	0.018801	0.12636	0.157515	0.12763	0.075343	0.0246821	0.0110889	0.00887486	0.00534303	0.00239105	0.0340795
m	0.00387611	0.0017026	0.00657801	0.0219071	0.0671176	0.0187549	0.0566423	0.0273147	0.00615577	0.0488127	0.101692	0.280064	0.169373	0.0588045	0.0640383	0.0258525	0.0131053	0.00308093	0.0251282
b	0.0145933	0.00916391	0.0091018	0.00573587	0.0860674	0.0257297	0.287951	0.105582	0.00529049	0.0145846	0.0328643	0.221394	0.0322694	0.03329	0.050363	0.0267034	0.00743042	0.000979863	0.0309059
v	0.00395198	0.00186963	0.00180674	0.00305966	0.0341433	0.0591575	0.294986	0.0472993	0.00526822	0.0287114	0.0426055	0.144266	0.0937115	0.0870898	0.0723758	0.0360174	0.00648955	0.00914084	0.0280497
a	0.00123028	0.00048913	0.000347015	0.00150037	0.0263625	0.0584267	0.155429	0.0207261	0.00732293	0.0463859	0.0644856	0.137778	0.178903	0.137505	0.0780123	0.0438979	0.00679646	0.00501874	0.0293828
e	0.00125357	0.00114917	0.000759267	0.00118098	0.0285645	0.0436155	0.325677	0.0343102	0.0383847	0.0770666	0.114679	0.155759	0.0918728	0.0164644	0.0202432	0.0130673	0.00422916	0.000706899	0.0310164
k	0.00108089	0.000453529	0.0036481	0.00623613	0.0198237	0.00331671	0.0112862	0.00803578	0.0019682	0.0126976	0.0572492	0.459098	0.224182	0.0502442	0.0831882	0.0214305	0.00949868	0.00289543	0.0236669
i	0.00012967	4.24433e-05	0.000256394	0.000945476	0.00501665	0.00562043	0.00345495	0.000817438	0.000279951	0.000641942	0.00402225	0.018838	0.919016	0.0161847	0.0147893	0.00487298	0.0014457	0.000578968	0.00304632
n	0.000347346	0.000219011	0.000474823	0.000590076	0.00620778	0.0160985	0.010116	0.00100825	0.000718628	0.00679336	0.0260973	0.0692239	0.694234	0.0385443	0.0599157	0.0271814	0.0100028	0.0020731	0.0301536
í	0.00164342	0.000693328	0.000616715	0.0023384	0.00570636	0.00311214	0.00552256	0.00299605	0.0049514	0.0196845	0.0697513	0.0958335	0.589191	0.0311867	0.0465234	0.024294	0.0114702	0.00186549	0.0826198
l	0.00162877	0.00110325	0.00278424	0.00117904	0.00420367	0.000713103	0.00440585	0.00831234	0.00325	0.0378378	0.197856	0.435026	0.0326383	0.0998015	0.114445	0.0291233	0.00729316	0.00105283	0.0173457
í	0.00229071	0.00180865	0.00203483	0.00651627	0.00915344	0.00115588	0.0129637	0.00652505	0.00331478	0.0167305	0.0420406	0.146602	0.163604	0.168228	0.176391	0.0530764	0.0184317	0.0182065	0.150926
y	0.00489618	0.00433068	0.00685474	0.00178258	0.00307956	0.000376764	0.00190057	0.0083302	0.00281967	0.00895179	0.0259058	0.0987247	0.140366	0.269146	0.276709	0.0463739	0.0151637	0.0580457	0.0262415
é	0.00128802	0.00223537	0.0147815	0.013234	0.00666156	0.000198198	0.00753924	0.00590442	0.000409069	0.00354126	0.0222761	0.149252	0.0315984	0.242011	0.232094	0.0521438	0.013134	0.120622	0.0810766
é	5.91908e-05	6.4218e-05	0.000681949	0.000684506	0.00131938	0.000105221	0.00230002	0.0037416	0.000703765	0.00392426	0.0196917	0.132693	0.0575469	0.331405	0.234637	0.0603447	0.0158845	0.0666498	0.0675633
k	0.000139701	0.000139318	0.00153302	0.00198579	0.00470173	0.000406272	0.00221058	0.00188441	0.000369563	0.001168	0.00537904	0.130813	0.0535367	0.172264	0.289611	0.171193	0.0488615	0.0368963	0.0769085
i	6.12541e-05	9.32595e-05	0.000267604	0.000940058	0.00307817	0.00158936	0.00341082	0.000411044	0.000127418	0.000162499	0.00202651	0.0354372	0.276412	0.101342	0.212867	0.20207	0.0755003	0.0160339	0.0681702
n	0.000107017	0.00013195	0.000234975	0.000300456	0.00170978	0.00275869	0.00285989	0.000113076	7.60582e-05	0.000376438	0.00367114	0.0222954	0.201788	0.0977912	0.267712	0.203825	0.0678915	0.00811102	0.118247
í	0.000488698	0.000157261	0.000233688	0.00110673	0.00190874	0.000542498	0.00213043	0.00204706	0.0031555	0.0047766	0.0107619	0.034951	0.291513	0.128343	0.261522	0.108151	0.0277467	0.0135127	0.106951
w	0.000387594	0.000381674	0.000607627	0.000251102	0.000875996	0.000178913	0.000797358	0.000671109	0.000402584	0.00274892	0.0205875	0.0596448	0.00601933	0.210299	0.288732	0.216442	0.105631	0.0185443	0.0667965
á	0.00147971	0.00185215	0.000605115	0.000728718	0.00152965	0.000901797	0.00220304	0.0054373	0.0210436	0.0279211	0.0664969	0.0706707	0.0112738	0.125371	0.31113	0.153109	0.141624	0.0124263	0.0441952
i	0.0018834	0.000752223	0.000297041	6.1447e-05	0.000381722	0.000297183	0.000930587	0.000914487	0.00143583	0.00752424	0.0215031	0.0209553	0.002868	0.10161	0.325674	0.187047	0.206906	0.0312905	0.0876677
b	0.000425547	0.000429003	0.000277604	0.000296681	0.00124489	0.000583918	0.00115988	0.000458351	0.000262739	0.000806654	0.00210223	0.0119544	0.0242488	0.0494537	0.265627	0.215438	0.143964	0.0957048	0.185562
h	0.000991483	0.00162573	0.000558403	0.000710036	0.00673726	0.00568603	0.0103399	0.00743042	0.00170787	0.000548801	0.00322897	0.0395443	0.018215	0.0510525	0.118195	0.393002	0.283809	0.0147134	0.0419042
ώ	0.000255012	0.000159413	0.000207191	0.000643082	0.00447009	0.00585719	0.00503112	0.0031746	0.000797643	0.000420981	0.0013903	0.0148187	0.0365452	0.067117	0.114057	0.419188	0.21322	0.0292455	0.0834016
ω	3.37979e-05	5.3969e-05	1.8038e-05	2.63305e-05	0.00026207	0.000448607	0.000652746	0.00040469	0.000249133	0.001577	0.00723289	0.0221249	0.022663	0.129202	0.212999	0.278073	0.189455	0.0181474	0.116377
í	9.28296e-05	6.7779e-05	0.000110022	0.000152568	0.000979716	0.000430018	0.000595386	0.00045659	0.000252235	0.000846982	0.00172391	0.0112304	0.00613945	0.0519631	0.0788401	0.178552	0.216604	0.141933	0.30903
d	0.000439	0.000139122	0.00601221	0.00436451	0.0105183	0.000440528	0.00319437	0.00548006	0.000548401	0.00233609	0.0066782	0.0683404	0.00398399	0.0354541	0.0399741	0.0966069	0.253877	0.277073	0.18454
i	1.6527e-05	1.68259e-05	0.000212186	0.000536871	0.00153173	7.43645e-05	0.00694709	0.00188072	3.47069e-05	7.04435e-05	0.000324791	0.00878594	0.00155885	0.00514105	0.00438716	0.038634	0.0542974	0.254417	0.621133
</S>	2.92388e-05	1.61763e-05	0.00011907	0.000188306	0.0018805	0.00019131	0.00404945	0.0102066	0.000614287	0.000449175	0.00189659	0.0318003	0.00122332	0.0186882	0.0162622	0.081513	0.214606	0.222099	0.394167
