 	ils	se	boudèrent	longtemps	</S>
b	0.594931	0.401214	0.00295103	0.000649572	0.000253671
á	0.977084	0.0208963	0.0014354	0.000429285	0.000155608
a	0.985632	0.0129187	0.000482843	0.000153792	0.000812623
á	0.0820848	0.857027	0.0238252	0.0061404	0.0309222
f	0.00703785	0.149067	0.77854	0.0529353	0.01242
ú	0.00204524	0.0924622	0.707121	0.120102	0.0782688
ú	0.0104767	0.109415	0.794751	0.0559907	0.0293664
s	0.136823	0.454515	0.106335	0.123964	0.178364
á	0.00409098	0.146141	0.347815	0.0945648	0.407388
l	0.0746488	0.103443	0.053083	0.128847	0.639979
a	0.0312295	0.0727898	0.0616521	0.297506	0.536822
b	0.0121466	0.0447751	0.101688	0.599932	0.241458
i	0.246217	0.120692	0.0243971	0.534557	0.0741361
a	0.0115932	0.0393028	0.0218409	0.232859	0.694404
o	0.000479578	0.0130904	0.0318837	0.166995	0.787551
l	0.000581145	0.0172134	0.0571487	0.207794	0.717263
a	7.29189e-05	0.0127729	0.0229542	0.435605	0.528595
á	0.000432385	0.0099828	0.0372987	0.14724	0.805046
</S>	0.0342887	0.169212	0.0337194	0.0916711	0.671108
