 	je	ne	comprends	pas	ce	que	tu	dis	tu	bredouilles	</S>
n	0.321776	0.0252183	0.0191297	0.335619	0.0828663	0.125349	0.0588305	0.0199596	0.0109235	0.00025863	6.91681e-05
g	0.966106	0.00255187	0.00106393	0.00258179	0.00436291	0.00739237	0.0137506	0.00061051	0.00155176	1.62163e-05	1.15941e-05
á	0.945435	0.0155617	0.0045963	0.00065117	0.00115248	0.00188445	0.0234196	0.00153447	0.00538964	0.000353775	2.14683e-05
i	0.147021	0.340989	0.151898	0.0268725	0.0308608	0.0478598	0.0679474	0.0259008	0.0707595	0.0216199	0.0682719
d	0.0220055	0.445962	0.293698	0.00896269	0.00674535	0.00621092	0.0246437	0.0264332	0.0254281	0.0810389	0.0588711
í	0.0779882	0.62163	0.149916	0.00732979	0.0122414	0.00655358	0.0106197	0.0184101	0.00746567	0.00582286	0.0820233
o	0.0220503	0.208403	0.157227	0.239724	0.14224	0.0914195	0.0434773	0.0351817	0.0107264	0.00201769	0.0475331
k	0.000582598	0.0734923	0.842977	0.0554109	0.0168825	0.00312258	0.000885239	0.00349027	0.000205978	0.00169788	0.00125268
o	3.68289e-05	0.0257797	0.840035	0.0798493	0.0102569	0.00215968	0.000994241	0.0185019	0.000600036	0.0155425	0.00624353
b	4.84589e-05	0.00688032	0.762346	0.163017	0.0344815	0.00886254	0.00150077	0.0117085	0.000726664	0.00646339	0.00396491
h	0.00120523	0.0158941	0.380671	0.350573	0.130334	0.0328294	0.00951162	0.0138277	0.00228569	0.00232134	0.060547
á	0.00236941	0.0102535	0.178868	0.223293	0.312834	0.122734	0.0213121	0.0304503	0.0101257	0.00455365	0.0832056
y	0.00242771	0.00747112	0.0175336	0.162898	0.379411	0.366009	0.0317267	0.0267706	0.00392069	0.000357097	0.00147402
é	0.00130172	0.00373619	0.0107732	0.10349	0.479044	0.303832	0.0329276	0.0439041	0.0108155	0.00219105	0.00798595
é	0.00237627	0.0044994	0.00850786	0.101646	0.349328	0.347311	0.0860127	0.0670632	0.0165426	0.00494377	0.0117696
s	0.000694974	0.0335561	0.029528	0.0779647	0.11603	0.0800911	0.182141	0.416912	0.0198306	0.0238795	0.0193722
ε	0.000606598	0.0219088	0.0405455	0.0359143	0.174574	0.0911841	0.124301	0.360539	0.0147084	0.0324267	0.103291
r	0.0001487	0.0097936	0.0309537	0.0673311	0.255521	0.126351	0.087248	0.298564	0.0103055	0.013728	0.100056
έ	0.000378999	0.00979808	0.0583124	0.181438	0.20411	0.176447	0.0997707	0.142719	0.0240878	0.0206607	0.082277
n	0.00041049	0.00216949	0.00329976	0.036577	0.190765	0.295796	0.232213	0.186789	0.0394758	0.00200076	0.0105034
ω	0.0090386	0.000931288	0.00216585	0.00879508	0.121968	0.127266	0.460735	0.0806046	0.167179	0.00398487	0.0173323
k	0.00222106	0.00107051	0.00109776	0.0105535	0.0648864	0.0956863	0.261602	0.352343	0.132697	0.0222164	0.0556258
a	0.000245197	0.00127746	0.0059804	0.156645	0.131312	0.161944	0.178556	0.261451	0.0605126	0.0170062	0.0250701
á	0.00112376	0.000365485	0.000712132	0.0215381	0.0337757	0.0699828	0.18731	0.252537	0.190199	0.0483531	0.194103
n	0.00216001	0.00566738	0.00156288	0.00476044	0.0167515	0.0297161	0.169256	0.146696	0.384568	0.0863931	0.152469
ω	0.068454	0.00281749	0.00151312	0.0018951	0.0131153	0.0188561	0.325126	0.0521624	0.433093	0.0228372	0.0601306
l	0.000365913	0.000653175	0.000618945	0.00383825	0.0146053	0.0201351	0.101465	0.252492	0.182284	0.155511	0.268032
ó	0.000973535	0.00631327	0.00489426	0.00787764	0.0155881	0.0133875	0.0555701	0.119677	0.0715547	0.268624	0.435541
o	0.000762909	0.00162941	0.00257501	0.0160785	0.0499523	0.0522208	0.051781	0.261362	0.108143	0.31517	0.140325
t	1.01912e-05	0.00635014	0.0231485	0.0039427	0.00197503	0.000829405	0.00596286	0.0434688	0.013095	0.849661	0.051556
i	1.49131e-06	0.00116006	0.0138885	0.0041224	0.00180945	0.00127889	0.0115136	0.0570376	0.0178768	0.765917	0.125394
á	1.65644e-06	0.00128269	0.00509832	0.00520859	0.00245125	0.0022676	0.0106723	0.0564223	0.0241785	0.437067	0.455349
s	0.00180197	0.00549316	0.00523556	0.0130691	0.0391063	0.0427539	0.0656975	0.045133	0.23383	0.116463	0.431417
ó	0.000544969	0.00147793	0.00790403	0.0060864	0.0376814	0.0178139	0.0434879	0.0460751	0.0933193	0.307048	0.438561
n	0.00425589	0.00166885	0.00211857	0.0106099	0.0515868	0.0767313	0.104002	0.0771668	0.272888	0.261606	0.137366
ω	0.01108	0.000142763	0.00104945	0.00179859	0.014894	0.0202333	0.138102	0.0178438	0.360511	0.153893	0.280452
ω	0.000440178	0.000279319	0.000460149	0.00107513	0.00604121	0.0119385	0.058259	0.0433095	0.119487	0.146099	0.612611
</S>	0.00117851	0.0144166	0.0165039	0.022057	0.021221	0.0191467	0.0177206	0.0301683	0.0428877	0.248679	0.56602
