 	le	pagne	que	tu	as	porté	est	transparent	</S>
i	0.840361	0.087143	0.0521863	0.0112487	0.00276632	0.0017084	0.00276145	0.00169658	0.000128034
p	0.0539821	0.932564	0.00141925	0.000327758	0.00107083	0.00431556	0.000589021	0.0045492	0.00118209
f	0.0014086	0.995936	0.00081041	0.000376159	0.000146264	0.000187028	8.34034e-05	0.000771351	0.000281046
u	0.0420745	0.944726	0.00728828	0.000596786	0.000413026	0.00202576	0.000524887	0.00209033	0.00026002
t	0.119287	0.75657	0.0393114	0.00666986	0.00224961	0.0082965	0.0188314	0.0254256	0.0233591
a	0.168064	0.770225	0.00754869	0.000389166	0.000330288	0.000921642	0.00566402	0.00753783	0.039319
l	0.133545	0.337371	0.425516	0.0189169	0.0111445	0.00935673	0.0117028	0.00191543	0.0505321
í	0.289284	0.0996911	0.257668	0.0783579	0.0962687	0.0442149	0.0382922	0.00824764	0.0879759
í	0.226907	0.0410148	0.480659	0.113296	0.0590429	0.0247533	0.0154501	0.00235389	0.0365235
l	0.0429868	0.00950492	0.0312904	0.0316864	0.0733029	0.720296	0.0301072	0.0115271	0.0492987
á	0.0140091	0.00990304	0.0177105	0.0106831	0.0298154	0.825532	0.0174438	0.0086987	0.0662046
r	0.017427	0.023052	0.0319196	0.0259334	0.0369944	0.792431	0.0117766	0.0128794	0.0475868
í	0.0471022	0.0473319	0.449638	0.247968	0.131342	0.0390142	0.0221094	0.00208362	0.0134111
n	0.0209563	0.0180674	0.386236	0.227959	0.227506	0.0331097	0.0506812	0.0122776	0.0232069
ω	0.0267996	0.00688717	0.267759	0.289535	0.35913	0.0298997	0.00912148	0.0021898	0.00867802
i	0.0145105	0.00746787	0.289522	0.219031	0.256092	0.0977108	0.0681328	0.00596317	0.0415702
d	0.072063	0.0202808	0.0194204	0.0139174	0.0420046	0.313362	0.259587	0.173432	0.0859326
i	0.0050778	0.0011067	0.00177244	0.00238062	0.00690534	0.668707	0.141195	0.0994206	0.0734336
f	0.00267883	0.000200194	0.00302743	0.00420748	0.0081993	0.468707	0.287425	0.140164	0.0853901
á	0.00536639	0.022736	0.0224143	0.0304882	0.0411447	0.0912448	0.30835	0.285848	0.192407
á	0.00538548	0.00883556	0.0342593	0.107775	0.0884893	0.029857	0.219841	0.389743	0.115814
f	0.00408	0.00141996	0.0102555	0.00898299	0.0321041	0.0566747	0.288411	0.364467	0.233604
á	0.00220842	0.0197446	0.00665032	0.01267	0.0101407	0.0123229	0.0802093	0.776207	0.0798471
á	0.00199793	0.00391283	0.00775778	0.0439156	0.0242646	0.0153992	0.0846319	0.739394	0.0787259
</S>	0.00132526	0.000628684	0.0123345	0.0110161	0.0373883	0.0184533	0.19422	0.341264	0.383371
