 	l'	enfant	boude	parce	que	sa	mère	lui	a	refusé	la	nourriture	</S>
m	0.789145	0.174916	0.00457002	0.00799443	0.00565056	0.0136983	0.000562685	0.00114586	0.000538816	0.00048835	0.000758072	0.000453938	7.72667e-05
w	0.0280341	0.964079	0.00330328	0.000266009	0.000566547	0.000174536	0.000241326	0.00136155	0.000488308	0.000408002	0.000383089	5.39179e-06	0.000688393
á	0.00572813	0.991911	0.000985622	0.000381271	0.000592659	4.70558e-05	0.000169122	5.74598e-05	1.03112e-05	2.13747e-05	1.98085e-06	9.0057e-05	3.85424e-06
n	0.432248	0.538414	0.00382144	0.00399133	0.00578014	0.00206335	0.000444766	0.00310699	0.000686488	0.000985003	0.000220352	0.000170981	0.00806757
a	0.0791968	0.433495	0.0719765	0.0583953	0.0596716	0.0322542	0.0249966	0.0799571	0.0339303	0.0150596	0.00388714	0.000853808	0.106327
á	0.669864	0.0607936	0.136571	0.0464728	0.0133589	0.0278534	0.00166654	0.00625999	0.00784385	0.00514629	0.0142673	0.0022239	0.00767842
m	0.108133	0.0770186	0.688938	0.0215774	0.0158979	0.00284962	0.00722796	0.00526488	0.0218413	0.0227089	0.00495052	0.000623199	0.022968
i	0.0271428	0.0867002	0.574773	0.130448	0.0754788	0.00609088	0.0319345	0.0161511	0.0164754	0.00817837	0.00403547	0.00032102	0.0222701
f	0.00513099	0.0116862	0.89383	0.0130664	0.0177861	0.000687392	0.0046991	0.00170738	0.00372494	0.00907396	0.00195124	0.000124105	0.0365321
ú	0.0344026	0.00509267	0.707076	0.0429966	0.0663367	0.00591838	0.0137668	0.00604574	0.0114175	0.0387023	0.00278438	0.000273382	0.0651872
ú	0.0099736	0.00947987	0.783197	0.0577461	0.0474057	0.00650481	0.00143761	0.00498563	0.00709853	0.0142308	0.00841798	0.00100806	0.0485143
s	0.00339486	0.000752008	0.0656234	0.330034	0.453281	0.0508926	0.00334785	0.0288988	0.0154076	0.00497195	0.0151499	0.00582626	0.0224192
a	0.00413838	0.000366063	0.047544	0.340637	0.478404	0.0867511	0.00178099	0.00816755	0.0085277	0.00454755	0.00394029	0.000633364	0.0145621
t	0.00248717	0.000330477	0.0130408	0.320588	0.272936	0.285993	0.0233074	0.0528161	0.0138578	0.00238133	0.00358066	0.00143694	0.00724422
s	0.00453907	0.000480077	0.0182856	0.207111	0.409515	0.16858	0.0210347	0.0639313	0.0285266	0.0207589	0.00495238	0.0119631	0.0403229
í	0.0035184	0.000135969	0.0202746	0.298717	0.313173	0.157547	0.0338024	0.0351666	0.0237865	0.0251819	0.0101689	0.0435849	0.0349421
n	0.0051843	0.000858777	0.0139984	0.400529	0.190303	0.147051	0.142584	0.0241899	0.0157784	0.0197616	0.00256203	0.0108131	0.0263866
a	0.00555944	0.000797043	0.00328188	0.145755	0.299353	0.204945	0.109287	0.0393933	0.0269791	0.0362523	0.00411303	0.00137393	0.122911
n	0.00218311	0.000234318	0.00684808	0.0683048	0.169738	0.236566	0.0809994	0.202358	0.163391	0.0385091	0.0153422	0.000917437	0.014607
g	0.00525858	0.000329855	0.00272088	0.0503839	0.232347	0.299156	0.214978	0.0616219	0.0426956	0.0444085	0.00719569	0.000374686	0.0385289
ó	0.000277515	5.75524e-05	0.000734331	0.0176192	0.0790666	0.0626148	0.751233	0.0146508	0.0146339	0.0516592	0.00321118	0.000173016	0.00406928
o	0.000519696	0.000219071	0.00137644	0.0354936	0.0415521	0.0238737	0.692567	0.0425571	0.0199704	0.107987	0.0124016	0.00117716	0.020305
á	0.000864344	0.000126055	0.000788199	0.011544	0.0333547	0.0479688	0.0888327	0.470471	0.189204	0.0662191	0.0613032	0.0121463	0.0171773
n	0.00761787	0.000400676	0.0119568	0.00280649	0.0102031	0.00442381	0.016402	0.0184318	0.17029	0.580798	0.0547076	0.0181043	0.103857
y	0.00304967	0.000754391	0.00597027	0.0172986	0.0319885	0.0359958	0.101076	0.0710951	0.186321	0.430565	0.0280795	0.00251474	0.085291
í	0.00282736	0.000107187	0.00686395	0.0357979	0.103655	0.0788401	0.0318357	0.0328741	0.106005	0.540871	0.0373021	0.00610789	0.0169129
m	0.00012029	9.88666e-06	0.00198134	0.00943903	0.0224003	0.0452339	0.0115192	0.024872	0.116368	0.600309	0.119616	0.0015374	0.0465926
i	0.00183335	0.000691576	0.00832994	0.00956395	0.0689437	0.0536019	0.0081463	0.08836	0.142912	0.134527	0.133621	0.0445324	0.304937
w	0.000741812	4.40519e-05	0.00184251	0.0117743	0.0251617	0.0822526	0.00363569	0.135512	0.119572	0.0693324	0.204996	0.153142	0.191993
a	0.00231328	0.000116712	0.00360161	0.0213935	0.0304367	0.126576	0.00151884	0.104449	0.196011	0.172286	0.114201	0.1487	0.078397
b	0.000629447	8.93451e-05	0.000513035	0.00433999	0.010203	0.0554396	0.00316373	0.0802181	0.068451	0.116846	0.357977	0.100393	0.201737
e	0.000220571	0.00010829	0.000476568	0.00970711	0.010815	0.0275693	0.000221402	0.0175322	0.0528859	0.103179	0.0627704	0.683218	0.0312964
a	0.00027514	4.52079e-05	0.000151236	0.00163253	0.00226916	0.0103719	0.000629377	0.0160174	0.0346623	0.0884751	0.0814055	0.412173	0.351892
</S>	0.000644142	7.95298e-06	0.00237563	0.00148859	0.00576638	0.00559091	0.000338399	0.0145378	0.0575491	0.117684	0.381817	0.0521863	0.360014
