 	chez	vous	il	n'	y	a	jamais	du	poisson	salé	</S>
m	0.352067	0.171143	0.0398139	0.0105064	0.0369909	0.0543914	0.0521303	0.0995187	0.0538069	0.128277	0.00135538
v	0.525727	0.297072	0.07629	0.0255904	0.0113077	0.0198694	0.00637176	0.00440765	0.0108446	0.0177033	0.00481634
á	0.916404	0.0505004	0.00505487	0.00459846	0.00415933	0.00468261	0.00128928	0.00606151	0.00449952	0.000718107	0.00203161
a	0.637698	0.184259	0.0339203	0.00972369	0.00483508	0.00666339	0.00211512	0.00302785	0.00462163	0.00229252	0.110844
b	0.0251853	0.27656	0.323682	0.0845425	0.0412739	0.0602129	0.00503955	0.023773	0.0364922	0.00351883	0.11972
í	0.0283646	0.509412	0.225816	0.0614833	0.035643	0.0385045	0.00687004	0.0163818	0.0304177	0.00325052	0.0438566
n	0.0287341	0.692137	0.070733	0.011894	0.0182504	0.0250118	0.0051807	0.0146802	0.0232383	0.011261	0.0988795
í	0.0758321	0.658284	0.0741632	0.00746235	0.0130779	0.0193841	0.00157604	0.0110378	0.0224451	0.000924538	0.115812
a	0.00645019	0.114204	0.332467	0.153587	0.167901	0.129271	0.0363798	0.0219066	0.0177434	0.00224146	0.0178481
k	0.00106187	0.0171798	0.154546	0.402554	0.170262	0.117223	0.0672324	0.0268583	0.0159841	0.0126801	0.0144176
a	0.000177594	0.00557796	0.0807822	0.263385	0.172422	0.103274	0.231138	0.072584	0.015092	0.0388099	0.0167571
á	0.0004962	0.00912281	0.0768025	0.160237	0.171077	0.108829	0.197706	0.0927637	0.0169781	0.0826235	0.0833642
b	0.00131719	0.0129533	0.0269377	0.0564241	0.164404	0.201272	0.0712817	0.138077	0.257661	0.0286199	0.0410526
o	0.000635995	0.0323872	0.0377198	0.0446159	0.119788	0.117207	0.123866	0.198723	0.182365	0.0353312	0.107362
á	0.000230513	0.00891009	0.0615627	0.0555044	0.127185	0.133352	0.206133	0.178431	0.0417127	0.0958922	0.0910862
d	0.00135874	0.00496839	0.00782394	0.0194517	0.0650182	0.0982106	0.0254339	0.154348	0.491117	0.0888315	0.0434385
i	0.000266051	0.000722378	0.00201393	0.00736631	0.0467576	0.0837443	0.0225195	0.164025	0.459266	0.0229133	0.190406
í	0.000232659	0.00184335	0.00540473	0.0137351	0.0529551	0.0904892	0.0588351	0.191417	0.31878	0.133699	0.132609
k	0.00102047	0.00654126	0.0091929	0.023676	0.0456288	0.0576422	0.0508364	0.230243	0.291193	0.207204	0.0768223
a	6.37151e-05	0.000154627	0.000737086	0.00283758	0.00542584	0.00465177	0.0714818	0.058518	0.0154318	0.818384	0.0223138
á	0.000242902	0.000175849	0.00101497	0.00320376	0.0087812	0.00649058	0.0307131	0.0509757	0.015784	0.730247	0.152371
</S>	0.000374258	0.0014197	0.00517252	0.00788955	0.0112641	0.0247235	0.00341271	0.0534428	0.418526	0.092351	0.381424
