 	ma	femme	a	un	foulard	rouge	celui	de	ta	femme	est	noir	</S>
m	0.827824	0.0627382	0.00619259	0.00613314	0.0482584	0.0140881	0.00745172	0.0154113	0.0106266	0.000387078	0.000566376	0.000285905	3.65729e-05
w	0.0555546	0.909373	0.0144788	0.00480608	0.00245299	0.000609772	0.000979522	0.00122031	0.00132593	0.0057579	0.00146705	0.000262924	0.00171103
á	0.295728	0.421138	0.00437582	0.00783943	0.0444441	0.0126839	0.0186249	0.0612742	0.07122	0.0602356	0.000328405	0.00177411	0.000333633
s	0.955762	0.00895174	0.001066	0.00117514	0.00194727	0.00201641	0.00185628	0.00762922	0.00987362	0.00318044	0.000975124	0.000521059	0.00504517
í	0.243871	0.0680588	0.0210927	0.0229804	0.0146171	0.0257962	0.0338416	0.119946	0.233969	0.0968734	0.0181509	0.0124827	0.0883203
y	0.452589	0.0770847	0.0913837	0.0238664	0.00506913	0.0312104	0.0472453	0.03463	0.0561883	0.00890518	0.08085	0.00284893	0.0881286
a	0.294036	0.188817	0.0901912	0.0413233	0.0153566	0.0653719	0.0520962	0.0755062	0.0594721	0.0647826	0.0268653	0.00468836	0.0214935
n	0.873176	0.0188054	0.0231442	0.00774921	0.00169374	0.00629849	0.00821296	0.011918	0.0289863	0.0099601	0.00439723	0.000312193	0.00534611
g	0.774055	0.040253	0.0192075	0.00644429	0.00414746	0.005821	0.00780268	0.00797274	0.10884	0.00729385	0.00489689	0.000692292	0.0125731
á	0.363397	0.175528	0.0977586	0.0364887	0.023402	0.0307219	0.0227191	0.0258391	0.095686	0.0436706	0.0125013	0.00673804	0.0655497
a	0.0429881	0.0161085	0.64745	0.149901	0.0239591	0.0193155	0.0173998	0.0140075	0.0114115	0.00932837	0.0286362	0.00235155	0.0171432
d	0.00497195	0.00990646	0.505277	0.356281	0.054426	0.00671536	0.00337242	0.00445034	0.00195472	0.00290168	0.0353666	0.00481273	0.00956345
í	0.00650124	0.0169396	0.355978	0.317364	0.070057	0.0320202	0.0206754	0.0191192	0.00341811	0.00772653	0.0439237	0.00423346	0.102043
l	0.0239455	0.00231708	0.116408	0.342751	0.195715	0.0924633	0.0317836	0.0502304	0.0199466	0.00587172	0.0542762	0.0129893	0.0513026
i	0.00241679	0.00139519	0.0598525	0.263211	0.27318	0.117175	0.0455682	0.0533274	0.0115628	0.0105828	0.0384873	0.0103268	0.112914
t	0.0020655	0.000287988	0.0137117	0.0980357	0.643425	0.107297	0.0372446	0.0316323	0.00576108	0.00896046	0.00792545	0.017792	0.0258612
a	0.000147731	0.000176718	0.0178845	0.0950851	0.772994	0.0386385	0.0121245	0.0132861	0.00119387	0.00135056	0.00296615	0.036676	0.0074766
m	5.765e-05	0.000105414	0.0567814	0.227948	0.515663	0.0662376	0.0139003	0.0171789	0.0019564	0.00176105	0.0110531	0.0197594	0.0675975
b	0.00362806	0.000167736	0.00918482	0.114616	0.526237	0.173389	0.0818208	0.054053	0.00827013	0.00421882	0.00509508	0.00235097	0.0169678
á	0.000681161	0.000240879	0.00897358	0.0597247	0.818719	0.0293434	0.00843678	0.00833337	0.00183472	0.00128421	0.00329333	0.00601909	0.0531164
l	0.000495263	0.000178595	0.0152002	0.038744	0.065112	0.270979	0.260506	0.221798	0.057432	0.0265249	0.0245654	0.00283052	0.0156338
a	0.00355418	0.000356103	0.0120981	0.0468295	0.0566037	0.14123	0.233529	0.171022	0.0386846	0.016995	0.0418615	0.023392	0.213844
l	0.000362296	3.61724e-05	0.000617811	0.00201276	0.00676592	0.198474	0.337032	0.278233	0.0660907	0.0814335	0.0120927	0.00997363	0.00687582
á	0.00294809	0.000441318	0.00550311	0.0215954	0.0398304	0.174327	0.29274	0.268389	0.0572165	0.0316064	0.0316846	0.0290395	0.0446776
t	0.00106279	0.00011184	0.00230992	0.00506918	0.00914349	0.0900734	0.234692	0.314398	0.117133	0.140761	0.0465969	0.0226795	0.0159694
s	0.000529634	2.41802e-05	0.00108913	0.00414345	0.0155691	0.0935507	0.254736	0.419248	0.0871313	0.0240803	0.0223859	0.0680507	0.0094613
ω	4.6415e-05	3.78279e-06	0.00181782	0.0135252	0.0426919	0.123224	0.169213	0.271287	0.0396052	0.00413796	0.0835233	0.159905	0.0910189
l	0.000224867	3.68976e-06	0.00197174	0.0049212	0.013442	0.157159	0.150476	0.262173	0.157046	0.00955409	0.139036	0.0731908	0.0308012
á	0.000433057	3.87836e-05	0.00709549	0.0154786	0.0285255	0.0825399	0.111233	0.136925	0.0434044	0.0102843	0.0675375	0.192203	0.304301
m	0.00199076	7.21615e-05	0.000660222	0.00125475	0.0013652	0.0171724	0.0702982	0.172501	0.304538	0.182174	0.169861	0.0452401	0.0328729
w	0.000485649	0.000645211	0.000877718	0.00288291	0.00239899	0.0480741	0.116898	0.111155	0.057877	0.446799	0.060596	0.0408152	0.110495
á	0.000807881	0.00038406	0.000182478	0.000749131	0.00390346	0.0430915	0.147961	0.20932	0.103481	0.30927	0.0135648	0.0952107	0.0720744
s	0.00238548	0.000123238	0.000617206	0.00404431	0.0103755	0.0450968	0.0479235	0.201485	0.317287	0.0594375	0.0924336	0.101972	0.116819
í	0.0109547	0.000955541	0.0038595	0.010987	0.0144533	0.0180472	0.0564918	0.240388	0.221655	0.0818112	0.0328459	0.119282	0.188269
