 	les	bananes	sont	mures	</S>
a	0.673838	0.309385	0.0131688	0.00312046	0.000488182
t	0.0894833	0.877769	0.0186888	0.0123788	0.00167995
ω	0.00410999	0.978743	0.00342156	0.00815524	0.00557065
r	0.0784346	0.780005	0.0787165	0.0359611	0.0268829
ω	0.106991	0.816756	0.0205462	0.00536078	0.0503462
á	0.278824	0.154211	0.522969	0.012094	0.0319021
d	0.169864	0.0112382	0.784439	0.00385837	0.0306
í	0.0550482	0.000946658	0.251789	0.000765294	0.691451
a	0.10066	0.00699726	0.513709	0.0326188	0.346014
b	0.0918491	0.015049	0.394027	0.181935	0.317139
ε	0.00649296	0.00718571	0.0366884	0.934245	0.0153877
n	0.0100614	0.0332346	0.0173984	0.716692	0.222613
g	0.29601	0.0945037	0.0647658	0.481782	0.0629385
έ	0.118801	0.00915626	0.00668109	0.84478	0.020581
b	0.0151518	0.00149243	0.0433559	0.769916	0.170084
ε	0.102798	0.00692381	0.463737	0.307891	0.11865
n	0.00950251	0.00556087	0.0247894	0.243284	0.716863
g	0.0699662	0.0100107	0.0928197	0.56397	0.263233
ε	0.057273	0.00327334	0.0307851	0.242585	0.666083
</S>	0.0261037	0.00131811	0.0932836	0.034029	0.845266
