 	c'	est	un	enfant	avancé	pour	son	âge	</S>
m	0.545355	0.152961	0.206202	0.059852	0.00562232	0.0122668	0.0147833	0.00236754	0.000589494
w	0.00971591	0.00305312	0.00383703	0.975571	0.000705201	0.000951803	0.0016949	0.000362132	0.00410888
á	0.0190575	0.0511731	0.0126445	0.916265	0.000341493	0.000331048	5.03324e-05	0.000101925	3.49611e-05
n	0.254005	0.150236	0.220497	0.32158	0.00595579	0.00805606	0.00290599	0.00293202	0.0338328
a	0.040098	0.0364379	0.0500097	0.472928	0.0402334	0.026301	0.0219982	0.0111091	0.300885
a	0.174228	0.134211	0.636304	0.0270374	0.00416527	0.00531644	0.0110025	0.0046924	0.00304277
d	0.127778	0.350647	0.123197	0.0599648	0.140747	0.068432	0.038704	0.0165919	0.0739385
í	0.0282783	0.486035	0.135699	0.0331696	0.0377907	0.0294285	0.0112852	0.00372968	0.234584
l	0.0315175	0.14548	0.330698	0.0511788	0.0559631	0.0531031	0.0474453	0.0308541	0.25376
a	0.030688	0.0346736	0.0858747	0.0829293	0.134482	0.0943291	0.0587855	0.0133464	0.464891
o	0.0253477	0.0558477	0.13889	0.0486833	0.320179	0.132804	0.0573403	0.0263822	0.194525
b	0.00925555	0.0751515	0.0933458	0.00827236	0.516978	0.145005	0.0195056	0.072895	0.0595913
h	0.0171813	0.118693	0.0649749	0.0129691	0.455679	0.136314	0.0144025	0.137456	0.04233
ó	0.00556424	0.102863	0.0549355	0.00464455	0.383884	0.194855	0.0317152	0.141997	0.0795414
m	0.014446	0.107321	0.104331	0.00754913	0.316443	0.174559	0.027576	0.04329	0.204485
í	0.0290138	0.0358757	0.218352	0.0138512	0.339918	0.220978	0.0682659	0.0407799	0.0329653
m	0.0128159	0.0165304	0.0924533	0.0224497	0.362057	0.332278	0.0719901	0.0185004	0.0709253
a	0.0341727	0.0222891	0.0315172	0.0281915	0.252853	0.195392	0.179155	0.0712956	0.185135
m	0.0101366	0.0128591	0.0286685	0.00297695	0.189999	0.372115	0.1226	0.219239	0.0414053
b	0.0120853	0.019215	0.00984661	0.00455262	0.105122	0.190719	0.153743	0.113646	0.391071
v	0.00215027	0.0168166	0.0289311	0.0107228	0.159698	0.209457	0.120381	0.303727	0.148115
ú	0.00190104	0.00841242	0.0147677	0.00393691	0.139492	0.23222	0.113839	0.124342	0.361089
l	0.0040697	0.00904926	0.0361274	0.00877621	0.0879219	0.269004	0.113766	0.0716748	0.39961
á	0.0030573	0.0065151	0.0334343	0.00357256	0.0768182	0.474245	0.210513	0.108905	0.0829391
y	0.0049163	0.00476487	0.0146625	0.00144921	0.0660014	0.157787	0.374253	0.150626	0.22554
a	0.021212	0.0408379	0.0712862	0.00238135	0.10806	0.193433	0.369464	0.111876	0.0814497
w	0.0122825	0.0125167	0.0405283	0.0022245	0.0245795	0.0715131	0.493579	0.21494	0.127836
a	0.00567693	0.0102247	0.0142541	0.00112418	0.0796793	0.208353	0.380112	0.239192	0.061384
k	0.000237866	0.000416401	0.00172115	0.000113721	0.0160683	0.10035	0.473585	0.190014	0.217494
a	0.0006985	0.00271049	0.0010355	9.36583e-05	0.0169514	0.0912556	0.214305	0.404899	0.268051
á	0.000487234	0.00154668	0.00077907	0.00019482	0.00892832	0.0413349	0.0471902	0.275308	0.624231
</S>	0.0015145	0.00182799	0.00230472	0.000601979	0.0070751	0.0205987	0.148473	0.123572	0.694032
