 	le	chacal	est	comme	un	chien	</S>
e	0.962866	0.00664868	0.00817461	0.011705	0.00923997	0.00131113	5.45515e-05
m	0.3384	0.655228	0.00376517	0.000929892	0.00055789	0.000551967	0.00056742
b	0.157953	0.804555	0.0136425	0.0133573	0.000515257	0.00526744	0.00471022
ó	0.026483	0.95799	0.00194666	0.00717571	0.000506506	0.00574031	0.00015821
i	0.130946	0.703186	0.0176791	0.102759	0.00188127	0.0408631	0.00268458
ó	0.685296	0.187159	0.0785811	0.0170113	0.0129281	0.00104526	0.0179794
é	0.151496	0.311005	0.416132	0.0653495	0.0259338	0.0127604	0.0173237
d	0.0502694	0.220057	0.457264	0.135362	0.0307559	0.0316354	0.0746565
í	0.012963	0.30615	0.465121	0.0941273	0.0342982	0.0030254	0.0843145
m	0.0238305	0.0439768	0.431798	0.128605	0.118754	0.0075379	0.245498
b	0.00985141	0.00895322	0.0825679	0.767554	0.0966968	0.0253878	0.0089885
v	0.00486384	0.0271949	0.06675	0.664563	0.106566	0.0903513	0.0397116
a	0.00653789	0.061158	0.0616047	0.496019	0.116731	0.108328	0.149622
l	0.0141248	0.0221523	0.163737	0.242627	0.161264	0.158927	0.237169
a	0.0122257	0.00942957	0.125046	0.31283	0.199578	0.110155	0.230735
m	0.00557079	0.0032435	0.155568	0.232091	0.485857	0.0291962	0.088473
b	0.0195388	0.00185016	0.0249798	0.290233	0.227195	0.210093	0.22611
v	0.00220947	0.00096598	0.00625299	0.228268	0.107357	0.623677	0.0312697
á	0.000961909	0.00869805	0.00311581	0.100836	0.048756	0.778578	0.0590545
n	0.00370905	0.00156618	0.0108649	0.163485	0.250351	0.342081	0.227942
d	0.00295831	0.00649425	0.0119055	0.125777	0.221744	0.520947	0.110175
é	0.000760486	0.0020193	0.00401862	0.0392232	0.0855924	0.519002	0.349384
</S>	0.00166693	0.00170057	0.0328111	0.0783988	0.363734	0.0864699	0.435219
