 	il	se	plaint	parce	qu'	il	n'	a	pas	d'	argent	</S>
w	0.485987	0.200156	0.0803089	0.0424331	0.0192011	0.0152161	0.00698025	0.0126719	0.0714617	0.0608138	0.00312745	0.00164188
a	0.474693	0.130836	0.0754575	0.0776007	0.0399264	0.0547001	0.00888584	0.0175564	0.0116913	0.0634075	0.0447392	0.000506179
l	0.162253	0.232115	0.148856	0.116883	0.049682	0.0519723	0.0380697	0.0465563	0.0322335	0.0913187	0.0130714	0.0169898
á	0.0657961	0.0698309	0.0870523	0.0374717	0.0367788	0.0505781	0.0405469	0.0582592	0.0356363	0.0717201	0.0607296	0.3856
a	0.076414	0.109722	0.378559	0.177186	0.0360441	0.0454384	0.0138758	0.0172181	0.012307	0.0385837	0.0152186	0.0794324
w	0.049846	0.550356	0.223578	0.0191064	0.00970554	0.00850842	0.0279344	0.0193946	0.0157908	0.00622351	0.002696	0.0668605
á	0.0434048	0.574473	0.165254	0.0425063	0.0141222	0.00813411	0.0301198	0.0180457	0.0156354	0.00967898	0.00953164	0.0690933
m	0.0433619	0.0977747	0.341501	0.233278	0.0516684	0.0532191	0.0303341	0.0247435	0.00976275	0.0169217	0.00314978	0.0942848
í	0.0309787	0.0262693	0.335696	0.334366	0.14245	0.0657149	0.00953145	0.00868667	0.00660151	0.0130017	0.00420648	0.022497
n	0.0254319	0.0340251	0.148202	0.263815	0.236729	0.135273	0.0431684	0.0202103	0.0125538	0.0183096	0.00198886	0.0602919
á	0.0503577	0.0343874	0.173466	0.377314	0.149374	0.0746799	0.00440109	0.00729466	0.00377328	0.0154903	0.0264292	0.0830319
t	0.00379586	0.00772477	0.139857	0.20555	0.261321	0.176778	0.0647066	0.0414627	0.0171773	0.041905	0.0112474	0.0284749
s	0.0218704	0.0341515	0.26681	0.324527	0.0971221	0.0524559	0.0679304	0.0110799	0.0249827	0.0117111	0.00770718	0.0796521
í	0.00354675	0.0144706	0.245722	0.188123	0.105372	0.0665033	0.147182	0.042328	0.0905965	0.0306558	0.00571007	0.0597899
n	0.00503101	0.0297102	0.0753185	0.260761	0.151507	0.0861472	0.054586	0.0236911	0.0296324	0.0149969	0.0267446	0.241874
a	0.00823651	0.00778828	0.0426044	0.167639	0.0926223	0.122283	0.00940125	0.0104859	0.00476931	0.00848019	0.0246592	0.501031
á	0.00511827	0.00510313	0.052452	0.0744632	0.157833	0.241782	0.202698	0.119746	0.0438496	0.073361	0.00747358	0.0161202
m	0.00388812	0.0143149	0.0171293	0.00324901	0.0179287	0.051888	0.35499	0.318789	0.0813179	0.0522864	0.0218827	0.0623354
i	0.00126842	0.00488568	0.00593169	0.00165185	0.0088738	0.0258358	0.131227	0.207026	0.126693	0.325305	0.0498906	0.11141
k	0.00127899	0.00628451	0.00631394	0.000577659	0.0026799	0.00723139	0.159247	0.221265	0.225855	0.142427	0.068339	0.158501
á	0.000104824	0.00216227	0.00467944	0.000550775	0.00209724	0.0042504	0.161424	0.132981	0.493264	0.0693484	0.00346189	0.125676
m	0.000307356	0.00256676	0.00884436	0.0040999	0.0076129	0.0161034	0.250678	0.179047	0.294929	0.0797891	0.0130826	0.14294
b	0.000726385	0.00115835	0.00982811	0.00280708	0.0121845	0.0242307	0.0297082	0.0775477	0.11249	0.281748	0.213608	0.233963
á	0.00461291	0.00343253	0.0212685	0.0473605	0.0523234	0.0529333	0.0151282	0.0322775	0.0557328	0.053569	0.323969	0.337393
b	0.00429301	0.0016578	0.0212374	0.025542	0.0578824	0.148412	0.034593	0.0917249	0.104721	0.313668	0.0542324	0.142037
e	0.00431832	0.0143073	0.0317426	0.0282566	0.0356493	0.11353	0.0518537	0.091628	0.100192	0.360807	0.113166	0.054548
a	0.000780556	0.00335407	0.00699654	0.00817595	0.0100469	0.0307228	0.0194378	0.0443349	0.163223	0.352963	0.0945581	0.265407
b	0.00113089	0.00211064	0.00888153	0.00280765	0.0116807	0.0174706	0.0433879	0.121355	0.123529	0.228614	0.0120223	0.42701
ó	0.00172282	0.0103233	0.0266367	0.00618054	0.0133015	0.0217294	0.0507067	0.114869	0.239601	0.415345	0.0104557	0.0891287
k	0.000757685	0.00165779	0.00454253	0.00195679	0.00688435	0.00973186	0.0254351	0.063864	0.140047	0.467939	0.0603802	0.216804
u	0.00027069	0.000965007	0.00527252	0.00112342	0.00203319	0.00385396	0.024935	0.0666289	0.448627	0.164235	0.00205224	0.280004
l	0.000731515	0.000689522	0.00455814	0.000877417	0.00114916	0.00243814	0.0250332	0.0460845	0.404926	0.116382	0.0138013	0.383329
u	0.000284863	0.000196702	0.00188666	0.000743283	0.000927209	0.00196605	0.0123188	0.0516419	0.536485	0.133775	0.0293106	0.230464
</S>	0.00086833	0.000700205	0.00533463	0.00251744	0.00759587	0.00689566	0.0181546	0.0653659	0.150213	0.350876	0.0186823	0.372796
