 	j'	ai	occupé	une	place	dans	la	plaine	là-bas	pour	faire	un	champ	</S>
n	0.941681	0.0449833	0.00532808	0.0037018	0.000693869	0.000966035	0.00138107	0.000255161	0.000540284	0.000148816	9.09575e-05	0.000202221	1.81397e-05	8.88618e-06
g	0.993426	0.00601645	5.03363e-05	4.26556e-05	8.03904e-05	0.000101251	0.000127032	4.43981e-05	3.62311e-06	3.68555e-06	2.29855e-06	9.38025e-06	8.92031e-05	2.83379e-06
á	0.972686	0.0244637	0.000120157	0.000169024	0.000350662	0.000188599	0.000367481	0.000693023	1.46324e-05	3.04219e-05	2.29581e-05	1.70249e-05	0.000874072	2.61204e-06
í	0.115876	0.418393	0.0315979	0.0133971	0.00508569	0.00856662	0.0126915	0.0189395	0.0180992	0.0124717	0.0115932	0.0271308	0.000922939	0.305235
m	0.024514	0.699323	0.213802	0.0152651	0.00944047	0.00463928	0.00385424	0.00639934	0.0016793	0.00225442	0.00866752	0.00308964	0.000120816	0.00695054
i	0.00121392	0.667994	0.271314	0.0273968	0.00576285	0.00174618	0.00294617	0.00446176	0.00163987	0.00562939	0.0034328	0.00330775	8.2697e-06	0.0031457
k	0.000439615	0.187358	0.789533	0.0100886	0.00280537	0.00144377	0.00110548	0.00218546	0.000610327	0.000635511	0.0010159	0.000730849	1.69795e-06	0.00204646
o	1.377e-05	0.00571887	0.986046	0.00585305	0.000619538	0.000152329	0.000111391	0.0004016	0.000228964	0.000148741	0.000349431	7.82911e-05	2.11721e-06	0.000275896
b	3.70096e-05	0.00323343	0.971167	0.010121	0.00266164	0.00137027	0.00122137	0.00347276	0.00228761	0.000688516	0.000816043	0.0012987	0.000187398	0.00143757
h	0.00039022	0.00921017	0.837452	0.0957785	0.016401	0.00689341	0.0052814	0.00389146	0.00220927	0.00538061	0.00805093	0.00376336	0.000679249	0.00461811
á	0.000968954	0.0103635	0.364682	0.193907	0.0851257	0.0496457	0.0155539	0.00605319	0.0368794	0.0335527	0.0115905	0.0650894	0.00254927	0.124038
l	0.0139976	0.0510159	0.0236838	0.488617	0.202324	0.106843	0.0555776	0.0085978	0.0183193	0.0119249	0.00434694	0.00968663	0.000278276	0.0047878
e	0.00423974	0.00605487	0.00973659	0.271078	0.276881	0.11743	0.0634917	0.0258834	0.026869	0.0286962	0.0157266	0.034274	0.00356261	0.116076
b	0.00138603	0.00401548	0.0282527	0.572535	0.281686	0.0303055	0.00921977	0.0399891	0.00320662	0.00299007	0.00367035	0.000956049	0.00180701	0.0199806
h	0.00176936	0.00629927	0.206192	0.516513	0.0806736	0.0149085	0.0120781	0.115264	0.00391186	0.0103765	0.0244074	0.00165589	0.00010588	0.00584332
ó	3.11364e-05	0.0019781	0.402735	0.336681	0.059097	0.0186377	0.0104298	0.10819	0.00573193	0.0139585	0.023962	0.00298862	0.000261195	0.0153177
n	1.73705e-05	0.00105343	0.0972773	0.506042	0.178665	0.0889986	0.0296511	0.0491509	0.0146006	0.00768139	0.00898224	0.00469769	0.000624377	0.0125588
d	0.000245976	0.0035559	0.181662	0.183527	0.0930508	0.0554644	0.0237265	0.0748245	0.0253541	0.0248173	0.0318028	0.0164358	0.00343305	0.2821
á	0.00110678	0.00197452	0.0209378	0.0787536	0.257619	0.0732166	0.0151855	0.253729	0.00939727	0.00477302	0.00292958	0.00340093	0.040629	0.236347
s	0.000384324	0.00177975	0.000766899	0.0914462	0.136168	0.389444	0.217878	0.0646149	0.0406962	0.0184324	0.00869747	0.0102196	0.000153234	0.0193191
ó	0.000806654	0.00106657	0.000748885	0.028615	0.154542	0.332243	0.283267	0.089286	0.0395383	0.0118681	0.00791657	0.0103336	0.00209497	0.0376728
l	0.00534436	0.00118401	0.000873001	0.0231314	0.0799023	0.189626	0.251856	0.274145	0.0527947	0.0161417	0.00962292	0.00587361	0.0673375	0.0221678
ω	0.00500863	0.00198356	0.00234373	0.018431	0.0928243	0.149587	0.16798	0.411084	0.0293261	0.0275196	0.025812	0.00887898	0.0223325	0.0368887
n	9.61517e-05	0.000571768	0.0010093	0.0143339	0.0262993	0.0136694	0.0121101	0.903132	0.00664395	0.00458726	0.0117217	0.00061595	0.00119754	0.0040118
g	8.56967e-05	0.000332631	0.00309043	0.00825241	0.0204549	0.0505207	0.0887204	0.607831	0.0594463	0.0270907	0.0306837	0.0141982	0.0075771	0.0817161
ώ	7.04117e-05	0.00010183	0.000542866	0.00423305	0.0252614	0.0306552	0.0258124	0.725595	0.0259521	0.00899376	0.0063651	0.00582677	0.0453585	0.0952313
p	4.47796e-05	0.000377894	0.000185595	0.00412518	0.00484157	0.031053	0.0632056	0.0461877	0.504961	0.153749	0.108296	0.0463053	0.000898675	0.0357681
é	0.00189414	0.000499743	0.000364989	0.00405847	0.00244255	0.00845027	0.0220839	0.019706	0.147197	0.129747	0.423559	0.060136	0.00562869	0.174232
</S>	0.000261007	0.000131817	0.000312375	0.00271187	0.00339316	0.00744721	0.012875	0.0210099	0.290228	0.165173	0.307936	0.0338428	0.004613	0.150065
