 	cet	arbre-ci	est	gros	</S>
i	0.828095	0.159956	0.00901327	0.00282003	0.000116072
b	0.706675	0.231046	0.0394883	0.0121297	0.0106609
v	0.0741728	0.886573	0.0310492	0.00601792	0.00218681
ú	0.0736039	0.919868	0.00297232	0.0021305	0.00142507
a	0.406599	0.524569	0.0170779	0.0442269	0.00752627
d	0.514513	0.0437327	0.194799	0.00654511	0.24041
í	0.347506	0.0585217	0.0390733	0.0575748	0.497324
í	0.081253	0.0465036	0.569804	0.0433099	0.25913
d	0.104653	0.0348874	0.521052	0.0976221	0.241786
í	0.00787721	0.0135878	0.219347	0.115778	0.643409
l	0.00643086	0.00958917	0.318015	0.187744	0.478221
a	0.0049084	0.00346415	0.120195	0.402082	0.46935
m	0.0125768	0.0350208	0.0555966	0.81047	0.0863362
b	0.0168216	0.0572951	0.0791945	0.564606	0.282082
í	0.00965585	0.280113	0.153438	0.361951	0.194842
m	0.00631892	0.0905725	0.165328	0.172746	0.565034
b	0.0405675	0.0481654	0.0720702	0.128677	0.71052
a	0.041454	0.126182	0.0214466	0.611675	0.199242
</S>	0.00740765	0.00614597	0.17949	0.126988	0.679969
